,ID,Topic,Source,Question,Translation
1,Al-en-01,Food,English (US),ايه اكتر سناكس  بيحبو اطفال سيناء  ف الحضانه؟,What is a common snack for preschool kids in Sinai?
2,Al-en-04,Food,English (US),ايه اكتر فاكهه مشهوره في سيناء؟,What is the most popular fruit in Sinai?
3,Al-en-16,Education,English (US),علي كام سنه بيدخل الطفل الحضانه في سيناء؟(استخدم رقم مثلا 4),"At what age do kids start preschool in Sinai?(use arabic numerals) (e.g., 4) only.)"
4,Al-en-35,Holidays/Celebration/Leisure	,English (US) ,ازاي الناس بتحتفل بشم النسيم في سيناء؟,What do people do to celebrate Christmas in Sinai?
5,Al-en-37,Holidays/Celebration/Leisure	,English (US),ايه الاكله اللي ليها علاقه بشم النسيم في سيناء؟,What food is associated with Christmas in Sinai?
6,Ca-sp-08,Food,Spanish (Spain),ايه اكتر مكون بيستخدم فالاكل في سيناء؟,What is the most common ingredient used in Sinai's diet?
7,Ca-sp-09,Food,Spanish (Spain), ايه الحلوي اللي بياكلوها  في سيناء بعد الاكل؟,What do people from Sinai usually eat for dessert?
8,Ca-sp-14,Food,Spanish (Spain),اشهر مشروب ساخن في سيناء؟,Which is the most popular hot drink in Sinai?
9,Ca-sp-38,Family,Spanish (Spain),إيه نوع البيت المعتاد للعيلة في سيناء؟,Which is the typical type of house for a family in Sinai?
10,Ca-sp-45,Family,Spanish (Spain),ايه الاماكن المشهوره اللي العيله في سيناء بتروحها للمصيف؟,What type of destination is commonly chosen for a family vacation in Sinai?
11,Gu-ch-16,Family,Chinese (China)	,كام شخص في العائله في سيناء؟ (استخدم رقم مثلا 6),"""How many people are there in a family on average in Sinai? (Provide Arabic numerals (e.g., 6) only)"""
12,Gu-ch-18,Family,Chinese (China)	,كام طفل في العائله في سيناء؟ (استخدم رقم مثلا 4),"""How many children do couples usually have in Sinai? (Provide Arabic numerals (e.g., 4) only.)"""
