MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,UpperEgypt,"ماذا يأكل الأطفال كوجبة خفيفة في الحضانة في الصعيد؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الآيس كريم
B. الفشار
C. الفواكهه القطع
D. بسكوت

الإجابة:","{
    ""A"": ""الآيس كريم"",
    ""B"": ""الفشار"",
    ""C"": ""الفواكهه القطع"",
    ""D"": ""بسكوت""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""GreaterCairo"",
    ""D"": ""UpperEgypt""
}",D
EG-DIA-03_0,EG-DIA-03,UpperEgypt,"في أي سن يبدأ الأطفال الذهاب للحضانة في الصعيد؟ (يرجي استعمال الأرقام العربية فقط (12 على سبيل المثال) ). من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. 2
B. 3
C. 4
D. 7

الإجابة:","{
    ""A"": ""2"",
    ""B"": ""3"",
    ""C"": ""4"",
    ""D"": ""7""
}","{
    ""A"": ""dummy"",
    ""B"": ""GreaterCairo"",
    ""C"": ""UpperEgypt"",
    ""D"": ""dummy""
}",C
EG-DIA-04_0,EG-DIA-04,UpperEgypt,"ماذا يفعل الناس للاحتفال  بشم النسيم في الصعيد؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الذهاب إلى الحدائق العامة
B. بياكلو فسيخ
C. عالبحر
D. كورنيش القاهره

الإجابة:","{
    ""A"": ""الذهاب إلى الحدائق العامة"",
    ""B"": ""بياكلو فسيخ"",
    ""C"": ""عالبحر"",
    ""D"": ""كورنيش القاهره""
}","{
    ""A"": ""LowerEgypt"",
    ""B"": ""Alexandria"",
    ""C"": ""UpperEgypt"",
    ""D"": ""GreaterCairo""
}",C
EG-DIA-05_0,EG-DIA-05,UpperEgypt,"أي نوع من الطعام يرتبط بشم النسيم في الصعيد؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. السمك المالح
B. الكشري
C. الملوخية
D. رنجه

الإجابة:","{
    ""A"": ""السمك المالح"",
    ""B"": ""الكشري"",
    ""C"": ""الملوخية"",
    ""D"": ""رنجه""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",A
EG-DIA-05_1,EG-DIA-05,UpperEgypt,"أي نوع من الطعام يرتبط بشم النسيم في الصعيد؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الكشري
B. الملوحه
C. الملوخية
D. رنجه

الإجابة:","{
    ""A"": ""الكشري"",
    ""B"": ""الملوحه"",
    ""C"": ""الملوخية"",
    ""D"": ""رنجه""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",B
EG-DIA-05_2,EG-DIA-05,UpperEgypt,"أي نوع من الطعام يرتبط بشم النسيم في الصعيد؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الفسيخ
B. الكشري
C. الملوخية
D. رنجه

الإجابة:","{
    ""A"": ""الفسيخ"",
    ""B"": ""الكشري"",
    ""C"": ""الملوخية"",
    ""D"": ""رنجه""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",A
EG-DIA-06_0,EG-DIA-06,UpperEgypt,"ما هو أكثر مكون شائع الاستخدام في النظام الغذائي في الصعيد؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الطماطم
B. الملح
C. بصل
D. توابل

الإجابة:","{
    ""A"": ""الطماطم"",
    ""B"": ""الملح"",
    ""C"": ""بصل"",
    ""D"": ""توابل""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""GreaterCairo"",
    ""C"": ""LowerEgypt"",
    ""D"": ""Alexandria""
}",A
EG-DIA-07_0,EG-DIA-07,UpperEgypt,"ماذا يأكل الناس في الصعيد عادة للتحلية بعد الطعام؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. أم علي
B. البسبوسه
C. المهلبية
D. لقمة القاضي

الإجابة:","{
    ""A"": ""أم علي"",
    ""B"": ""البسبوسه"",
    ""C"": ""المهلبية"",
    ""D"": ""لقمة القاضي""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-08_0,EG-DIA-08,UpperEgypt,"ما هو المشروب الساخن الأكثر شعبية في الصعيد؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. السحلب
B. الشاي
C. القهوة التركية
D. شاى بالمرمريه

الإجابة:","{
    ""A"": ""السحلب"",
    ""B"": ""الشاي"",
    ""C"": ""القهوة التركية"",
    ""D"": ""شاى بالمرمريه""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""dummy"",
    ""D"": ""Sinai""
}",B
EG-DIA-09_0,EG-DIA-09,UpperEgypt,"ما هو النوع المنتشر (التقليدي) لمنازل العائلات في الصعيد؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. ايجار
B. بيت العيله
C. عماره
D. فيلا

الإجابة:","{
    ""A"": ""ايجار"",
    ""B"": ""بيت العيله"",
    ""C"": ""عماره"",
    ""D"": ""فيلا""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""LowerEgypt"",
    ""C"": ""UpperEgypt"",
    ""D"": ""dummy""
}",C
