,ID,Topic,Source,Question,Translation
0,EG-DIA-01,Food,English (US),ايه اكتر سناكس بيحبو اطفال الصعيد ف الحضانه؟,What is a common snack for preschool kids in Upper Egypt?
1,EG-DIA-02,Food,English (US),ايه اكتر فاكهه مشهوره في الصعيد؟,What is the most popular fruit in Upper Egypt?
2,EG-DIA-03,Education,English (US),علي كام سنه بيدخل الطفل الحضانه في الصعيد؟(استخدم رقم مثلا 12),"At what age do kids start preschool in Upper Egypt?(use arabic numerals) (e.g., 12) only.)"
3,EG-DIA-04,Holidays/Celebration/Leisure	,English (US) ,ازاي الناس بتحتفل بشم النسيم في الصعيد؟,What do people do to celebrate Easter in Upper Egypt?
4,EG-DIA-05,Holidays/Celebration/Leisure	,English (US),ايه الاكله اللي ليها علاقه بشم النسيم في الصعيد؟,What food is associated with Easter in Upper Egypt?
5,EG-DIA-06,Food,Spanish (Spain),ايه اكتر مكون بيستخدم فالاكل في الصعيد؟,What is the most common ingredient used in Upper Egypt's diet?
6,EG-DIA-07,Food,Spanish (Spain),ايه الحلوي اللي بياكلوها الصعايده بعد الاكل؟,What do people from Upper Egypt usually eat for dessert?
7,EG-DIA-08,Food,Spanish (Spain),اشهر مشروب ساخن في الصعيد؟,Which is the most popular hot drink in Upper Egypt?
8,EG-DIA-09,Family,Spanish (Spain),إيه نوع البيت المعتاد للعيلة في الصعيد؟,Which is the typical type of house for a family in Upper Egypt?
9,EG-DIA-10,Family,Spanish (Spain),ايه الاماكن المشهوره اللي العيله في الصعيد بتروحها للمصيف؟,What destination is commonly chosen for a family vacation in Upper Egypt?
10,EG-DIA-11,Work life	,Korean (South Korea)	,ايه السلعه المشهوره بيها الصعيد للتصدير؟,What is the representative export item of Upper Egypt?
11,EG-DIA-12,Family,Korean (South Korea)	,ايه اكتر هديه ممكن تجيبها وانت بتزور اهالي كبار فالسن في الصعيد؟,What is the common gift you give when visiting elderly parents in Upper Egypt?
12,EG-DIA-13,Education	,Korean (South Korea)	,طالب الابتدائي بيروح المدرسه ازاي في الصعيد؟,How do elementary school students in Upper Egypt go to school?
13,EG-DIA-14,Education	,Korean (South Korea)	,ايه اكتر مدينه فيها اكبر حماس للدراسه في الصعيد؟,Which region (within a city) in Upper Egypt has the highest academic fervor?
14,EG-DIA-15,Sport,Spanish (Spain),ايه اشهر رياضه بتتلعب من غير كوره في الصعيد؟,What is the most popular sport played without a ball in Upper Egypt?
15,EG-DIA-16,Food,Chinese (China)	,الناس في الصعيد بيحبوا يشربوا إيه مشروبات غازية؟,What soft drink do people in Upper Egypt like to have?
16,EG-DIA-17,Food,Chinese (China)	,الناس في الصعيد بيحبوا يشربوا شوربة إيه؟,What kind of soup do people from Upper Egypt like to have?
17,EG-DIA-18,Food,Chinese (China)	,الناس في الصعيد بيحبوا ياكلوا إيه أكل شارع؟,What street food do people from Upper Egypt like to eat?
18,EG-DIA-19,Food,Chinese (China)	,الناس في الصعيد بيحبوا ياكلوا إيه مأكولات بحرية؟,What kind of seafood do people from Upper Egypt like to eat
19,EG-DIA-20,Holidays/Celebration/Leisure,Chinese (China)	,الناس بيستخدموا مواصلات عامه ايه لما بيسافرو داخل المدن في الصعيد؟,What is the most commonly used public transport by people when travelling between cites in Upper Egypt?
20,EG-DIA-21,Holidays/Celebration/Leisure        ,Chinese (China)	,الستات في العشرينات عادة بيعملوا إيه في وقت الفراغ في الصعيد؟,What is the common leisure activity that females in their 20s in Upper Egypt engage in?
21,EG-DIA-22,Holidays/Celebration/Leisure	,Chinese (China)	,الرجال في العشرينات عاده بيعملوا ايه في وقت الفراغ في الصعيد؟,What is the common leisure activity that males in their 20s in Upper Egypt engage in?
22,EG-DIA-23,Work life	,Chinese (China)	,الناس بيأكلو ايه للغدا في ايام الشغل في الصعيد؟,What do people eat for lunch during the working days in Upper Egypt?
23,EG-DIA-24,Work life	,Chinese (China)	,وقت المواصلات فالمتوسط للشغل  كام دقيقه في الصعيد؟ (استخدم رقم مثلا 1),"What is the average commute time (in minutes) for people in Upper Egypt? (Provide Arabic numerals (e.g., 1) only.)"
24,EG-DIA-25,Work life	,Chinese (China)	,أكتر وسيلة مواصلات الناس بيستخدموها عشان يروحوا الشغل في الصعيد إيه؟,What is the most common transportation that people take to get to work in Upper Egypt?
25,EG-DIA-26,Food	,Persian (Iran),الناس بيعملوا اكل ايه للضيوف في الصعيد؟,What food do the hosts usually prepare for the guests in Upper Egypt?
26,EG-DIA-27,Food	,Persian (Iran),عادة بيشربوا إيه على الفطار في الصعيد؟,What is the usual drink in the breakfast in Upper Egypt?
27,EG-DIA-28,Food	,Persian (Iran),بيعملو اكل ايه في نزهه العيله في الصعيد؟,What food is usually prepared for a family picnic in Upper Egypt?
28,EG-DIA-29,Food	,Persian (Iran),ايه الاكل اللي في الصعيد ممكن الناس بره مصر تشوفو مقرف؟,Which food from Upper Egypt is considered disgusting by the rest of the world?
29,EG-DIA-30,Food	,Persian (Iran),إيه اسم العيش المشهور في الصعيد؟,What is the name of the popular bread in Upper Egypt?
30,EG-DIA-31,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه الحفله اللي بتتعمل قبل الفرح في الصعيد؟,What event is usually held before a wedding in Upper Egypt?
31,EG-DIA-32,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه هي الانشطه اللي بتتعمل قبل رمضان في الصعيد؟,What activities are usually done days before Ramadan in Upper Egypt?
32,EG-DIA-33,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,  إيه أكتر مكان سياحي مشهور للزوار الأجانب في الصعيد؟,What is the most popular tourist attraction for foreign visitors in Upper Egypt?
33,EG-DIA-34,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,اكتر اماكن دينيه ( مثال مسجد،كنيسه،معبد) مشهوره للسياحه في الصعيد؟,"What is the most popular religious sites (mosque, church, temple, etc.) for tourism in Upper Egypt?"
34,EG-DIA-35,Food	,Indonesian (Indonesia)	,ايه اكتر مشروب بيتشرب  والجو ساقع في الصعيد؟,What drink is commonly consumed in Upper Egypt when the weather is cold?
35,EG-DIA-36,Food	,Indonesian (Indonesia)	,ايه اكتر فاكهه بتتباع ومتوفره في رمضان في الصعيد؟,What fruit is more commonly sold and found during Ramadan in Upper Egypt?
36,EG-DIA-37,Food	,Indonesian (Indonesia)	,ايه النشويات اللي بتتقدم مع الفراخ في المطاعم في الصعيد؟,What carbohydrate is usually served with chicken in a fast-food restaurant in Upper Egypt?
37,EG-DIA-38,Sport,Indonesian (Indonesia)	,عادة المدارس بيكون فيها إيه من ملاعب أو تجهيزات رياضية في الصعيد؟,What sports field facilities are usually available at schools in Upper Egypt?
38,EG-DIA-39,Food	,Korean (South Korea),إيه أكتر مشروب كافيه الناس في الصعيد بيستمتعوا بيه؟,What cafe beverage do people from Upper Egypt most commonly enjoy?
39,EG-DIA-40,Food	,Korean (South Korea), إيه أكتر أكل بيتعمل دليفري في الصعيد؟,What is the typical delivery food in Upper Egypt?
40,EG-DIA-41,Food	,Korean (South Korea), إيه أكتر نوع لحم الناس بتاكله في الصعيد؟,What type of meat is consumed most by people from Upper Egypt?
41,EG-DIA-42,Food	,Korean (South Korea), إيه أكتر فاكهة الناس بيأكلوها في الخريف في الصعيد؟,What fruit do people from Upper Egypt often eat in the autumn season?
42,EG-DIA-43,Food	,Korean (South Korea),إيه أكتر طبق جانبي بيتقدم على السفرة في الصعيد؟,What side dish is the most commonly served on a dining table in Upper Egypt?
