x,ID,Topic,Source,Question,Translation
1,Al-en-01,Food,English (US),ايه اكتر سناكس  بيحبو اطفال الإسكندرية  ف الحضانه؟,What is a common snack for preschool kids in Alexandria?
2,Al-en-04,Food,English (US),ايه اكتر فاكهه مشهوره في الإسكندرية؟,What is the most popular fruit in Alexandria?
3,Al-en-16,Education,English (US),علي كام سنه بيدخل الطفل الحضانه في الإسكندرية؟(استخدم رقم مثلا 4),"At what age do kids start preschool in Alexandria?(use arabic numerals) (e.g., 4) only.)"
4,Al-en-35,Holidays/Celebration/Leisure	,English (US) ,ازاي الناس بتحتفل بشم النسيم في الإسكندرية؟,What do people do to celebrate Christmas in Alexandria?
5,Al-en-37,Holidays/Celebration/Leisure	,English (US),ايه الاكله اللي ليها علاقه بشم النسيم في الإسكندرية؟,What food is associated with Christmas in Alexandria?
6,Ca-sp-08,Food,Spanish (Spain),ايه اكتر مكون بيستخدم فالاكل في الإسكندرية؟,What is the most common ingredient used in Alexandria's diet?
7,Ca-sp-09,Food,Spanish (Spain),ايه الحلوي اللي بياكلوها الاسكندراني بعد الاكل؟,What do people from Alexandria usually eat for dessert?
8,Ca-sp-14,Food,Spanish (Spain),اشهر مشروب ساخن في الإسكندرية؟,Which is the most popular hot drink in Alexandria?
9,Ca-sp-38,Family,Spanish (Spain),إيه نوع البيت المعتاد للعيلة في الإسكندرية؟,Which is the typical type of house for a family in Alexandria?
10,Ca-sp-45,Family,Spanish (Spain),ايه الاماكن المشهوره اللي العيله في الإسكندرية بتروحها للمصيف؟,What type of destination is commonly chosen for a family vacation in Alexandria?
11,Gu-ch-16,Family,Chinese (China)	,كام شخص في العائله في الإسكندرية؟ (استخدم رقم مثلا 6),"""How many people are there in a family on average in Alexandria? (Provide Arabic numerals (e.g., 6) only)"""
12,Gu-ch-18,Family,Chinese (China)	,كام طفل في العائله في الإسكندرية؟ (استخدم رقم مثلا 4),"""How many children do couples usually have in Alexandria? (Provide Arabic numerals (e.g., 4) only.)"""
13,Ji-ko-07,Work life	,Korean (South Korea)	,ايه اشهر شركه خاصه في الإسكندرية؟,What is the most famous private company in Alexandria?
14,Ji-ko-14,Work life	,Korean (South Korea)	,ايه السلعه  المشهوره بيها الإسكندرية للتصدير؟,What is the representative export item of Alexandria?
15,Ji-ko-27,Family,Korean (South Korea)	,ايه اكتر هديه ممكن تجيبها وانت بتزور اهالي كبار فالسن في الإسكندرية؟,What is the common gift you give when visiting elderly parents in Alexandria?
16,Ji-ko-34,Education	,Korean (South Korea)	,طالب الابتدائي بيروح المدرسه ازاي في الإسكندرية؟,How do elementary school students in Alexandria go to school?
17,Ji-ko-44,Education	,Korean (South Korea)	,ايه اكتر مدينه فيها اكبر حماس للدراسه في الإسكندرية؟,Which region (within a city) in Alexandria has the highest academic fervor?
18,Jo-sp-02,Sport,Spanish (Spain),ايه اشهر رياضه بتتلعب من غير كوره في الإسكندرية؟,What is the most popular sport played without a ball in Alexandria?
19,Jod-ch-04,Food,Chinese (China)	,الناس في الإسكندرية بيحبوا يشربوا إيه مشروبات غازية؟,What soft drink do people in Alexandria like to have?
20,Jod-ch-12,Food,Chinese (China)	,الناس في الإسكندرية بيحبوا يشربوا شوربة إيه؟,What kind of soup do people from Alexandria like to have?
21,Jod-ch-13,Food,Chinese (China)	,الناس في الإسكندرية بيحبوا ياكلوا إيه أكل شارع؟,What street food do people from Alexandria like to eat?
22,Jod-ch-15,Food,Chinese (China)	,الناس في الإسكندرية بيحبوا ياكلوا إيه مأكولات بحرية؟,What kind of seafood do people from Alexandria like to eat
23,Jod-ch-28,Holidays/Celebration/Leisure,Chinese (China)	,الناس بيستخدموا مواصلات عامه ايه لما بيسافرو داخل المدن في الإسكندرية؟,What is the most commonly used public transport by people when travelling between cites in Alexandria?
24,Jod-ch-41,Holidays/Celebration/Leisure        ,Chinese (China)	,الستات في العشرينات عادة بيعملوا إيه في وقت الفراغ في الإسكندرية؟,What is the common leisure activity that females in their 20s in Alexandria engage in?
25,Jod-ch-42	,Holidays/Celebration/Leisure	,Chinese (China)	,الرجال في العشرينات عاده بيعملوا ايه في وقت الفراغ في الإسكندرية؟,What is the common leisure activity that males in their 20s in Alexandria engage in?
26,Jod-ch-48	,Work life	,Chinese (China)	,الناس بيأكلو ايه للغدا في ايام الشغل في الإسكندرية؟,What do people eat for lunch during the working days in Alexandria?
27,Jod-ch-50	,Work life	,Chinese (China)	,وقت  المواصلات فالمتوسط للشغل  كام دقيقه في الإسكندرية؟ (استخدم رقم مثلا 10),"What is the average commute time (in minutes) for people in Alexandria? (Provide Arabic numerals (e.g., 10) only.)"
28,Jod-ch-51	,Work life	,Chinese (China)	,أكتر وسيلة مواصلات الناس بيستخدموها عشان يروحوا الشغل في الإسكندرية إيه؟,What is the most common transportation that people take to get to work in Alexandria?
29,Jod-ch-60	,Work life	,Chinese (China)	, كام ساعه بنقضيها فالشغل في الإسكندرية؟ (استخدم رقم من0 الي 24),What is the duration (in hours) of a typical workday in Alexandria?  (Provide Arabic numerals (0~24) only.)
30,Ki-pe-17        ,Education,Persian (Iran),الطلاب بيوصلو تعليمهم لحد فين في الإسكندرية؟(مثال عدادي،ثانوي),"On average, how far do students typically pursue their education in Alexandria? (e.g., elementary, high school)"
31,Ki-pe-32	,Food	,Persian (Iran),الناس بيعملوا اكل ايه للضيوف في الإسكندرية؟,What food do the hosts usually prepare for the guests in Alexandria?
32,Ki-pe-34	,Food	,Persian (Iran),عادة بيشربوا إيه على الفطار في الإسكندرية؟,What is the usual drink in the breakfast in Alexandria?
33,Ki-pe-39	,Food	,Persian (Iran),بيعملو اكل ايه في نزهه العيله في الإسكندرية؟,What food is usually prepared for a family picnic in Alexandria?
34,Ki-pe-40	,Food	,Persian (Iran),اية الاكل الاسكندراني اللي ممكن الناس تشوفو مقرف,Which food from Alexandria is considered disgusting by the rest of the world?
35,Ki-pe-43	,Food	,Persian (Iran),إيه اسم العيش المشهور في الإسكندرية ؟,What is the name of the popular bread in Alexandria?
36,Kik-in-06	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه الحفله اللي بتتعمل قبل الفرح في الإسكندرية؟,What event is usually held before a wedding in Alexandria?
37,Kik-in-08	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه هي الانشطه اللي بتتعمل قبل رمضان في الإسكندرية؟,What activities are usually done days before Ramadan in Alexandria?
38,Kik-in-10	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,  إيه أكتر مكان سياحي مشهور للزوار الأجانب في الإسكندرية؟,What is the most popular tourist attraction for foreign visitors in Alexandria?
39,Kik-in-11	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,اكتر اماكن دينيه ( مثال مسجد،كنيسه،معبد) مشهوره للسياحه في الإسكندرية؟,"What is the most popular religious sites (mosque, church, temple, etc.) for tourism in Alexandria?"
40,Kik-in-16	,Food	,Indonesian (Indonesia)	,ايه اكتر مشروب بيتشرب  والجو ساقع في الإسكندرية؟,What drink is commonly consumed in Alexandria when the weather is cold?
