MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,UpperEgypt,"What is a common snack for preschool kids in Upper Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. biscuits
B. popcorn
C. pretzels
D. sliced fruit

Answer:","{
    ""A"": ""biscuits"",
    ""B"": ""popcorn"",
    ""C"": ""pretzels"",
    ""D"": ""sliced fruit""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""GreaterCairo""
}",A
EG-DIA-03_0,EG-DIA-03,UpperEgypt,"At what age do kids start preschool in Upper Egypt?(use arabic numerals) (e.g., 12) only.) Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 3
B. 3
C. 4
D. 6

Answer:","{
    ""A"": ""3"",
    ""B"": ""3"",
    ""C"": ""4"",
    ""D"": ""6""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""dummy"",
    ""C"": ""UpperEgypt"",
    ""D"": ""dummy""
}",C
EG-DIA-04_0,EG-DIA-04,UpperEgypt,"What do people do to celebrate Easter in Upper Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. attend the rio carnival parade
B. beach
C. celebrate with oktoberfest beer tents
D. watch the macy's thanksgiving day parade

Answer:","{
    ""A"": ""attend the rio carnival parade"",
    ""B"": ""beach"",
    ""C"": ""celebrate with oktoberfest beer tents"",
    ""D"": ""watch the macy's thanksgiving day parade""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-05_0,EG-DIA-05,UpperEgypt,"What food is associated with Easter in Upper Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. kishk
B. molokhia
C. salted fish
D. smoked herring

Answer:","{
    ""A"": ""kishk"",
    ""B"": ""molokhia"",
    ""C"": ""salted fish"",
    ""D"": ""smoked herring""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""UpperEgypt"",
    ""D"": ""LowerEgypt""
}",C
EG-DIA-05_1,EG-DIA-05,UpperEgypt,"What food is associated with Easter in Upper Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. el-meluah
B. kishk
C. molokhia
D. smoked herring

Answer:","{
    ""A"": ""el-meluah"",
    ""B"": ""kishk"",
    ""C"": ""molokhia"",
    ""D"": ""smoked herring""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",A
EG-DIA-05_2,EG-DIA-05,UpperEgypt,"What food is associated with Easter in Upper Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fesikh
B. kishk
C. molokhia
D. smoked herring

Answer:","{
    ""A"": ""fesikh"",
    ""B"": ""kishk"",
    ""C"": ""molokhia"",
    ""D"": ""smoked herring""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",A
EG-DIA-07_0,EG-DIA-07,UpperEgypt,"What do people from Upper Egypt usually eat for dessert? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. baklava
B. basbousa
C. maamoul
D. qatayef

Answer:","{
    ""A"": ""baklava"",
    ""B"": ""basbousa"",
    ""C"": ""maamoul"",
    ""D"": ""qatayef""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-08_0,EG-DIA-08,UpperEgypt,"Which is the most popular hot drink in Upper Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. coffee
B. hibiscus tea
C. sahlab
D. tea

Answer:","{
    ""A"": ""coffee"",
    ""B"": ""hibiscus tea"",
    ""C"": ""sahlab"",
    ""D"": ""tea""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""UpperEgypt""
}",D
EG-DIA-09_0,EG-DIA-09,UpperEgypt,"Which is the typical type of house for a family in Upper Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. apartment block
B. detached villa
C. farmhouse
D. residential building

Answer:","{
    ""A"": ""apartment block"",
    ""B"": ""detached villa"",
    ""C"": ""farmhouse"",
    ""D"": ""residential building""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""UpperEgypt""
}",D
EG-DIA-12_0,EG-DIA-12,UpperEgypt,"What is the common gift you give when visiting elderly parents in Upper Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. flowers
B. fruit
C. olive oil
D. perfume

Answer:","{
    ""A"": ""flowers"",
    ""B"": ""fruit"",
    ""C"": ""olive oil"",
    ""D"": ""perfume""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
