MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,Sinai,"What is a common snack for preschool kids in Sinai? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. chips
B. popcorn
C. pretzels
D. sliced fruit

Answer:","{
    ""A"": ""chips"",
    ""B"": ""popcorn"",
    ""C"": ""pretzels"",
    ""D"": ""sliced fruit""
}","{
    ""A"": ""Sinai"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""GreaterCairo""
}",A
EG-DIA-03_0,EG-DIA-03,Sinai,"At what age do kids start preschool in Sinai?(use arabic numerals) (e.g., 12) only.) Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 3
B. 3
C. 4
D. 5

Answer:","{
    ""A"": ""3"",
    ""B"": ""3"",
    ""C"": ""4"",
    ""D"": ""5""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""dummy"",
    ""C"": ""Sinai"",
    ""D"": ""dummy""
}",C
EG-DIA-04_0,EG-DIA-04,Sinai,"What do people do to celebrate Easter in Sinai? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. going to the beach
B. they attend midnight church services
C. they bake hot cross buns
D. they organize easter egg hunts for children

Answer:","{
    ""A"": ""going to the beach"",
    ""B"": ""they attend midnight church services"",
    ""C"": ""they bake hot cross buns"",
    ""D"": ""they organize easter egg hunts for children""
}","{
    ""A"": ""Sinai"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",A
EG-DIA-05_0,EG-DIA-05,Sinai,"What food is associated with Easter in Sinai? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. el-meluah
B. ma'amoul
C. mansaf
D. salty fish

Answer:","{
    ""A"": ""el-meluah"",
    ""B"": ""ma'amoul"",
    ""C"": ""mansaf"",
    ""D"": ""salty fish""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""Sinai""
}",D
EG-DIA-07_0,EG-DIA-07,Sinai,"What do people from Sinai usually eat for dessert? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. basbousa
B. kunafa
C. mochi
D. tiramisu

Answer:","{
    ""A"": ""basbousa"",
    ""B"": ""kunafa"",
    ""C"": ""mochi"",
    ""D"": ""tiramisu""
}","{
    ""A"": ""Sinai"",
    ""B"": ""Alexandria"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",A
EG-DIA-08_0,EG-DIA-08,Sinai,"Which is the most popular hot drink in Sinai? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. hot chocolate
B. masala chai
C. mate
D. tea

Answer:","{
    ""A"": ""hot chocolate"",
    ""B"": ""masala chai"",
    ""C"": ""mate"",
    ""D"": ""tea""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""Sinai""
}",D
EG-DIA-09_0,EG-DIA-09,Sinai,"Which is the typical type of house for a family in Sinai? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. apartment
B. farmhouse
C. residential building
D. villa

Answer:","{
    ""A"": ""apartment"",
    ""B"": ""farmhouse"",
    ""C"": ""residential building"",
    ""D"": ""villa""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""dummy"",
    ""C"": ""Sinai"",
    ""D"": ""dummy""
}",C
EG-DIA-12_0,EG-DIA-12,Sinai,"What is the common gift you give when visiting elderly parents in Sinai? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. chocolate
B. flowers
C. fruit
D. traditional eastern sweets

Answer:","{
    ""A"": ""chocolate"",
    ""B"": ""flowers"",
    ""C"": ""fruit"",
    ""D"": ""traditional eastern sweets""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""Sinai"",
    ""D"": ""LowerEgypt""
}",C
EG-DIA-13_0,EG-DIA-13,Sinai,"How do elementary school students in Sinai go to school? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. by bicycle
B. by school bus
C. microbus
D. on foot

Answer:","{
    ""A"": ""by bicycle"",
    ""B"": ""by school bus"",
    ""C"": ""microbus"",
    ""D"": ""on foot""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""Alexandria"",
    ""D"": ""Sinai""
}",D
EG-DIA-14_0,EG-DIA-14,Sinai,"Which region (within a city) in Sinai has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. aswan
B. cairo
C. el-arish
D. tanta

Answer:","{
    ""A"": ""aswan"",
    ""B"": ""cairo"",
    ""C"": ""el-arish"",
    ""D"": ""tanta""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""GreaterCairo"",
    ""C"": ""Sinai"",
    ""D"": ""LowerEgypt""
}",C
EG-DIA-14_1,EG-DIA-14,Sinai,"Which region (within a city) in Sinai has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. cairo
B. el-arish
C. port said
D. tanta

Answer:","{
    ""A"": ""cairo"",
    ""B"": ""el-arish"",
    ""C"": ""port said"",
    ""D"": ""tanta""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""Sinai"",
    ""C"": ""TheSuezCanalCities"",
    ""D"": ""LowerEgypt""
}",B
EG-DIA-14_2,EG-DIA-14,Sinai,"Which region (within a city) in Sinai has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. cairo
B. el-arish
C. moharam bek
D. tanta

Answer:","{
    ""A"": ""cairo"",
    ""B"": ""el-arish"",
    ""C"": ""moharam bek"",
    ""D"": ""tanta""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""Sinai"",
    ""C"": ""Alexandria"",
    ""D"": ""LowerEgypt""
}",B
EG-DIA-14_3,EG-DIA-14,Sinai,"Which region (within a city) in Sinai has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. aswan
B. el-arish
C. port said
D. tanta

Answer:","{
    ""A"": ""aswan"",
    ""B"": ""el-arish"",
    ""C"": ""port said"",
    ""D"": ""tanta""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""Sinai"",
    ""C"": ""TheSuezCanalCities"",
    ""D"": ""LowerEgypt""
}",B
EG-DIA-14_4,EG-DIA-14,Sinai,"Which region (within a city) in Sinai has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. aswan
B. el-arish
C. moharam bek
D. tanta

Answer:","{
    ""A"": ""aswan"",
    ""B"": ""el-arish"",
    ""C"": ""moharam bek"",
    ""D"": ""tanta""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""Sinai"",
    ""C"": ""Alexandria"",
    ""D"": ""LowerEgypt""
}",B
