MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,GreaterCairo,"ماذا يأكل الأطفال كوجبة خفيفة في الحضانة في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الجرانولا بار
B. الجيلي
C. الزبادي
D. الفواكهه القطع

الإجابة:","{
    ""A"": ""الجرانولا بار"",
    ""B"": ""الجيلي"",
    ""C"": ""الزبادي"",
    ""D"": ""الفواكهه القطع""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""GreaterCairo""
}",D
EG-DIA-03_0,EG-DIA-03,GreaterCairo,"في أي سن يبدأ الأطفال الذهاب للحضانة في القاهرة الكبرى؟ (يرجي استعمال الأرقام العربية فقط (12 على سبيل المثال) ). من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. 2
B. 4
C. 5
D. 6

الإجابة:","{
    ""A"": ""2"",
    ""B"": ""4"",
    ""C"": ""5"",
    ""D"": ""6""
}","{
    ""A"": ""dummy"",
    ""B"": ""GreaterCairo"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-04_0,EG-DIA-04,GreaterCairo,"ماذا يفعل الناس للاحتفال  بشم النسيم في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. البحر
B. بياكلو فسيخ
C. زيارة الأهرامات عند شروق الشمس
D. كورنيش القاهره

الإجابة:","{
    ""A"": ""البحر"",
    ""B"": ""بياكلو فسيخ"",
    ""C"": ""زيارة الأهرامات عند شروق الشمس"",
    ""D"": ""كورنيش القاهره""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""Alexandria"",
    ""C"": ""dummy"",
    ""D"": ""GreaterCairo""
}",D
EG-DIA-05_0,EG-DIA-05,GreaterCairo,"أي نوع من الطعام يرتبط بشم النسيم في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. السمك ملح
B. الكشري
C. الملوخية
D. فسيخ

الإجابة:","{
    ""A"": ""السمك ملح"",
    ""B"": ""الكشري"",
    ""C"": ""الملوخية"",
    ""D"": ""فسيخ""
}","{
    ""A"": ""Sinai"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""GreaterCairo""
}",D
EG-DIA-06_0,EG-DIA-06,GreaterCairo,"ما هو أكثر مكون شائع الاستخدام في النظام الغذائي في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الزعفران
B. بصل
C. زيت الزيتون
D. طماطم

الإجابة:","{
    ""A"": ""الزعفران"",
    ""B"": ""بصل"",
    ""C"": ""زيت الزيتون"",
    ""D"": ""طماطم""
}","{
    ""A"": ""dummy"",
    ""B"": ""LowerEgypt"",
    ""C"": ""dummy"",
    ""D"": ""GreaterCairo""
}",D
EG-DIA-06_1,EG-DIA-06,GreaterCairo,"ما هو أكثر مكون شائع الاستخدام في النظام الغذائي في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الزعفران
B. الملح
C. بصل
D. زيت الزيتون

الإجابة:","{
    ""A"": ""الزعفران"",
    ""B"": ""الملح"",
    ""C"": ""بصل"",
    ""D"": ""زيت الزيتون""
}","{
    ""A"": ""dummy"",
    ""B"": ""GreaterCairo"",
    ""C"": ""LowerEgypt"",
    ""D"": ""dummy""
}",B
EG-DIA-07_0,EG-DIA-07,GreaterCairo,"ماذا يأكل الناس في القاهرة الكبرى عادة للتحلية بعد الطعام؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. البسبوسة
B. بسبوسة
C. لقمة القاضي
D. هريسه

الإجابة:","{
    ""A"": ""البسبوسة"",
    ""B"": ""بسبوسة"",
    ""C"": ""لقمة القاضي"",
    ""D"": ""هريسه""
}","{
    ""A"": ""dummy"",
    ""B"": ""Alexandria"",
    ""C"": ""dummy"",
    ""D"": ""GreaterCairo""
}",D
EG-DIA-08_0,EG-DIA-08,GreaterCairo,"ما هو المشروب الساخن الأكثر شعبية في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. السحلب
B. الشاي
C. القهوة التركية
D. اليانسون

الإجابة:","{
    ""A"": ""السحلب"",
    ""B"": ""الشاي"",
    ""C"": ""القهوة التركية"",
    ""D"": ""اليانسون""
}","{
    ""A"": ""dummy"",
    ""B"": ""GreaterCairo"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-09_0,EG-DIA-09,GreaterCairo,"ما هو النوع المنتشر (التقليدي) لمنازل العائلات في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. البيت الكبير
B. ايجار
C. خيمة بدوية
D. فيلا مستقلة

الإجابة:","{
    ""A"": ""البيت الكبير"",
    ""B"": ""ايجار"",
    ""C"": ""خيمة بدوية"",
    ""D"": ""فيلا مستقلة""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""Alexandria"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",A
EG-DIA-10_0,EG-DIA-10,GreaterCairo,"ما هي الوجهة التي تُختار عادةً لقضاء عطلة عائلية في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسوان
B. البحر
C. الغردقه
D. مرسى مطروح

الإجابة:","{
    ""A"": ""اسوان"",
    ""B"": ""البحر"",
    ""C"": ""الغردقه"",
    ""D"": ""مرسى مطروح""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""Alexandria"",
    ""C"": ""GreaterCairo"",
    ""D"": ""dummy""
}",C
EG-DIA-11_0,EG-DIA-11,GreaterCairo,"ما هو أهم منتج تصدره في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسماك
B. البترول
C. الكتان
D. المانجا

الإجابة:","{
    ""A"": ""اسماك"",
    ""B"": ""البترول"",
    ""C"": ""الكتان"",
    ""D"": ""المانجا""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""GreaterCairo"",
    ""C"": ""LowerEgypt"",
    ""D"": ""TheSuezCanalCities""
}",B
EG-DIA-11_1,EG-DIA-11,GreaterCairo,"ما هو أهم منتج تصدره في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسماك
B. البترول
C. السكر
D. المانجا

الإجابة:","{
    ""A"": ""اسماك"",
    ""B"": ""البترول"",
    ""C"": ""السكر"",
    ""D"": ""المانجا""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""GreaterCairo"",
    ""C"": ""UpperEgypt"",
    ""D"": ""TheSuezCanalCities""
}",B
EG-DIA-11_2,EG-DIA-11,GreaterCairo,"ما هو أهم منتج تصدره في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسماك
B. البترول
C. الزيت الزيتون
D. المانجا

الإجابة:","{
    ""A"": ""اسماك"",
    ""B"": ""البترول"",
    ""C"": ""الزيت الزيتون"",
    ""D"": ""المانجا""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""GreaterCairo"",
    ""C"": ""Sinai"",
    ""D"": ""TheSuezCanalCities""
}",B
EG-DIA-11_3,EG-DIA-11,GreaterCairo,"ما هو أهم منتج تصدره في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسماك
B. البترول
C. السكر
D. الكتان

الإجابة:","{
    ""A"": ""اسماك"",
    ""B"": ""البترول"",
    ""C"": ""السكر"",
    ""D"": ""الكتان""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""GreaterCairo"",
    ""C"": ""UpperEgypt"",
    ""D"": ""LowerEgypt""
}",B
EG-DIA-11_4,EG-DIA-11,GreaterCairo,"ما هو أهم منتج تصدره في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسماك
B. البترول
C. الزيت الزيتون
D. الكتان

الإجابة:","{
    ""A"": ""اسماك"",
    ""B"": ""البترول"",
    ""C"": ""الزيت الزيتون"",
    ""D"": ""الكتان""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""GreaterCairo"",
    ""C"": ""Sinai"",
    ""D"": ""LowerEgypt""
}",B
EG-DIA-11_5,EG-DIA-11,GreaterCairo,"ما هو أهم منتج تصدره في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسماك
B. البترول
C. الزيت الزيتون
D. السكر

الإجابة:","{
    ""A"": ""اسماك"",
    ""B"": ""البترول"",
    ""C"": ""الزيت الزيتون"",
    ""D"": ""السكر""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""GreaterCairo"",
    ""C"": ""Sinai"",
    ""D"": ""UpperEgypt""
}",B
EG-DIA-11_6,EG-DIA-11,GreaterCairo,"ما هو أهم منتج تصدره في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. البترول
B. السكر
C. الكتان
D. المانجا

الإجابة:","{
    ""A"": ""البترول"",
    ""B"": ""السكر"",
    ""C"": ""الكتان"",
    ""D"": ""المانجا""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""UpperEgypt"",
    ""C"": ""LowerEgypt"",
    ""D"": ""TheSuezCanalCities""
}",A
EG-DIA-11_7,EG-DIA-11,GreaterCairo,"ما هو أهم منتج تصدره في القاهرة الكبرى؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. البترول
B. الزيت الزيتون
C. الكتان
D. المانجا

الإجابة:","{
    ""A"": ""البترول"",
    ""B"": ""الزيت الزيتون"",
    ""C"": ""الكتان"",
    ""D"": ""المانجا""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""Sinai"",
    ""C"": ""LowerEgypt"",
    ""D"": ""TheSuezCanalCities""
}",A
