,ID,Topic,Source,Question,Translation
0,EG-DIA-01,Food,English (US),ماذا يأكل الأطفال كوجبة خفيفة في الحضانة في سيناء؟,What is a common snack for preschool kids in Sinai?
1,EG-DIA-02,Food,English (US),ما هي الفاكهة الأكثر شعبية في سيناء؟,What is the most popular fruit in Sinai?
2,EG-DIA-03,Education,English (US),في أي سن يبدأ الأطفال الذهاب للحضانة في سيناء؟ (يرجي استعمال الأرقام العربية فقط (12 على سبيل المثال) ).,"At what age do kids start nursery in Sinai? (Provide Arabic numerals (e.g., 12) only.)"
3,EG-DIA-04,Holidays/Celebration/Leisure	,English (US) ,ماذا يفعل الناس للاحتفال  بشم النسيم في سيناء؟,What do people do to celebrate Easter in Sinai?
4,EG-DIA-05,Holidays/Celebration/Leisure	,English (US),أي نوع من الطعام يرتبط بشم النسيم في سيناء؟,What food is associated with Easter in Sinai?
5,EG-DIA-06,Food,Spanish (Spain),ما هو أكثر مكون شائع الاستخدام في النظام الغذائي في سيناء؟,What is the most common ingredient used in Sinai's diet?
6,EG-DIA-07,Food,Spanish (Spain),ماذا يأكل الناس في سيناء عادة للتحلية بعد الطعام؟,What do people from Sinai usually eat for dessert?
7,EG-DIA-08,Food,Spanish (Spain),ما هو المشروب الساخن الأكثر شعبية في سيناء؟,Which is the most popular hot drink in Sinai?
8,EG-DIA-09,Family,Spanish (Spain),ما هو النوع المنتشر (التقليدي) لمنازل العائلات في سيناء؟,Which is the typical type of house for a family in Sinai?
9,EG-DIA-10,Family,Spanish (Spain),ما هي الوجهة التي تُختار عادةً لقضاء عطلة عائلية في سيناء؟,What  destination is commonly chosen for a family vacation in Sinai?
10,EG-DIA-11,Work life	,Korean (South Korea)	,ما هو أهم منتج تصدره في سيناء؟,What is the representative export item of Sinai?
11,EG-DIA-12,Family,Korean (South Korea)	,ما هي الهدية التي تقدمها عند زيارة الوالدين المسنين في سيناء؟,What is the common gift you give when visiting elderly parents in Sinai?
