,ID,Topic,Source,Question,Translation
0,EG-DIA-01,Food,English (US),ماذا يأكل الأطفال كوجبة خفيفة في الحضانة في الوجه البحري؟,What is a common snack for preschool kids in Lower Egypt?
1,EG-DIA-02,Food,English (US),ما هي الفاكهة الأكثر شعبية في الوجه البحري؟,What is the most popular fruit in Lower Egypt?
2,EG-DIA-03,Education,English (US),في أي سن يبدأ الأطفال الذهاب للحضانة في الوجه البحري؟ (يرجي استعمال الأرقام العربية فقط (12 على سبيل المثال) ).,"At what age do kids start nursery in Lower Egypt? (Provide Arabic numerals (e.g., 12) only.)"
3,EG-DIA-04,Holidays/Celebration/Leisure	,English (US) ,ماذا يفعل الناس للاحتفال  بشم النسيم في الوجه البحري؟,What do people do to celebrate Easter in Lower Egypt?
4,EG-DIA-05,Holidays/Celebration/Leisure	,English (US),أي نوع من الطعام يرتبط بشم النسيم في الوجه البحري؟,What food is associated with Easter in Lower Egypt?
5,EG-DIA-06,Food,Spanish (Spain),ما هو أكثر مكون شائع الاستخدام في النظام الغذائي في الوجه البحري؟,What is the most common ingredient used in Lower Egypt's diet?
6,EG-DIA-07,Food,Spanish (Spain),ماذا يأكل الناس في الوجه البحري عادة للتحلية بعد الطعام؟,What do people from Lower Egypt usually eat for dessert?
7,EG-DIA-08,Food,Spanish (Spain),ما هو المشروب الساخن الأكثر شعبية في الوجه البحري؟,Which is the most popular hot drink in Lower Egypt?
8,EG-DIA-09,Family,Spanish (Spain),ما هو النوع المنتشر (التقليدي) لمنازل العائلات في الوجه البحري؟,Which is the typical type of house for a family in Lower Egypt?
9,EG-DIA-10,Family,Spanish (Spain),ما هي الوجهة التي تُختار عادةً لقضاء عطلة عائلية في الوجه البحري؟,What  destination is commonly chosen for a family vacation in Lower Egypt?
10,EG-DIA-11,Work life	,Korean (South Korea)	,ما هو أهم منتج تصدره في الوجه البحري؟,What is the representative export item of Lower Egypt?
11,EG-DIA-12,Family,Korean (South Korea)	,ما هي الهدية التي تقدمها عند زيارة الوالدين المسنين في الوجه البحري؟,What is the common gift you give when visiting elderly parents in Lower Egypt?
12,EG-DIA-13,Education	,Korean (South Korea)	,كيف يذهب طلاب المرحلة الابتدائية إلى المدرسة في الوجه البحري؟,How do elementary school students in Lower Egypt go to school?
13,EG-DIA-14,Education	,Korean (South Korea)	,ما هي المنطقة داخل المدينة التي تشهد أكبر اهتمامٍ بالدراسة في الوجه البحري؟,Which region (within a city) in Lower Egypt has the highest academic fervor?
14,EG-DIA-15,Sport,Spanish (Spain),ما هي أشهر رياضة تُلعب بدون كرة في الوجه البحري؟,What is the most popular sport played without a ball in Lower Egypt?
15,EG-DIA-16,Food,Chinese (China)	,ما هو المشروب الغازي الذي يفضله الناس في الوجه البحري؟,What soft drink do people in Lower Egypt like to have?
16,EG-DIA-17,Food,Chinese (China)	,ماهو الحساء الذي يحبه الناس في الوجه البحري؟,What kind of soup do people from Lower Egypt like to have?
17,EG-DIA-18,Food,Chinese (China)	,ما هي الأكلات الشعبية التي يحب أهل الوجه البحري تناولها؟,What street food do people from Lower Egypt like to eat?
18,EG-DIA-19,Food,Chinese (China)	,ما هي المأكولات البحرية التي يحبها أهل الوجه البحري؟,What kind of seafood do people from Lower Egypt like to eat
