,ID,Topic,Source,Question,Translation
1,Al-en-01,Food,English (US),ايه اكتر سناكس  بيحبو اطفال مصر  ف الحضانه؟,What is a common snack for preschool kids in Egypt?
2,Al-en-04,Food,English (US),ايه اكتر فاكهه مشهوره في مصر؟,What is the most popular fruit in Egypt?
3,Al-en-16,Education,English (US),علي كام سنه بيدخل الطفل الحضانه في مصر؟(استخدم رقم مثلا 4),"At what age do kids start preschool in Egypt?(use arabic numerals) (e.g., 4) only.)"
4,Al-en-35,Holidays/Celebration/Leisure	,English (US) ,ازاي الناس بتحتفل بشم النسيم في مصر؟,What do people do to celebrate Christmas in Egypt?
5,Al-en-37,Holidays/Celebration/Leisure	,English (US),ايه الاكله اللي ليها علاقه بشم النسيم في مصر؟,What food is associated with Christmas in Egypt?
6,Ca-sp-08,Food,Spanish (Spain),ايه اكتر مكون بيستخدم فالاكل في مصر؟,What is the most common ingredient used in Egypt's diet?
7,Ca-sp-09,Food,Spanish (Spain),ايه الحلوي اللي بياكلوها المصريين بعد الاكل ؟,What do people from Egypt usually eat for dessert?
8,Ca-sp-14,Food,Spanish (Spain),اشهر مشروب ساخن في مصر؟,Which is the most popular hot drink in Egypt?
9,Ca-sp-38,Family,Spanish (Spain),إيه نوع البيت المعتاد للعيلة في مصر؟,Which is the typical type of house for a family in Egypt?
10,Ca-sp-45,Family,Spanish (Spain),ايه الاماكن المشهوره اللي العيله في مصر بتروحها للمصيف؟,What type of destination is commonly chosen for a family vacation in Egypt?
11,Gu-ch-16,Family,Chinese (China)	,كام شخص في العائله في مصر؟ (استخدم رقم مثلا 6),"""How many people are there in a family on average in Egypt? (Provide Arabic numerals (e.g., 6) only)"""
12,Gu-ch-18,Family,Chinese (China)	,كام طفل في العائله في مصر؟ (استخدم رقم مثلا 4),"""How many children do couples usually have in Egypt? (Provide Arabic numerals (e.g., 4) only.)"""
13,Ji-ko-07,Work life	,Korean (South Korea)	,ايه اشهر شركه خاصه في مصر؟,What is the most famous private company in Egypt?
14,Ji-ko-14,Work life	,Korean (South Korea)	,ايه السلعه  المشهوره بيها مصر للتصدير؟,What is the representative export item of Egypt?
15,Ji-ko-27,Family,Korean (South Korea)	,ايه اكتر هديه ممكن تجيبها وانت بتزور اهالي كبار فالسن في مصر؟,What is the common gift you give when visiting elderly parents in Egypt?
16,Ji-ko-34,Education	,Korean (South Korea)	,طالب الابتدائي بيروح المدرسه ازاي في مصر؟,How do elementary school students in Egypt go to school?
17,Ji-ko-44,Education	,Korean (South Korea)	,ايه اكتر مدينه فيها اكبر حماس للدراسه في مصر؟,Which region (within a city) in Egypt has the highest academic fervor?
18,Jo-sp-02,Sport,Spanish (Spain),ايه اشهر رياضه بتتلعب من غير كوره في مصر؟,What is the most popular sport played without a ball in Egypt?
19,Jod-ch-04,Food,Chinese (China)	,الناس في مصر بيحبوا يشربوا إيه مشروبات غازية؟,What soft drink do people in Egypt like to have?
20,Jod-ch-12,Food,Chinese (China)	,الناس في مصر بيحبوا يشربوا شوربة إيه؟,What kind of soup do people from Egypt like to have?
21,Jod-ch-13,Food,Chinese (China)	,الناس في مصر بيحبوا ياكلوا إيه أكل شارع؟,What street food do people from Egypt like to eat?
22,Jod-ch-15,Food,Chinese (China)	,الناس في مصر بيحبوا ياكلوا إيه مأكولات بحرية؟,What kind of seafood do people from Egypt like to eat
23,Jod-ch-28,Holidays/Celebration/Leisure,Chinese (China)	,الناس بيستخدموا مواصلات عامه ايه لما بيسافرو داخل المدن في مصر؟,What is the most commonly used public transport by people when travelling between cites in Egypt?
24,Jod-ch-41,Holidays/Celebration/Leisure        ,Chinese (China)	,الستات في العشرينات عادة بيعملوا إيه في وقت الفراغ في مصر؟,What is the common leisure activity that females in their 20s in Egypt engage in?
25,Jod-ch-42	,Holidays/Celebration/Leisure	,Chinese (China)	,الرجال في العشرينات عاده بيعملوا ايه في وقت الفراغ في مصر؟,What is the common leisure activity that males in their 20s in Egypt engage in?
26,Jod-ch-48	,Work life	,Chinese (China)	,الناس بيأكلو ايه للغدا في ايام الشغل في مصر؟,What do people eat for lunch during the working days in Egypt?
27,Jod-ch-50	,Work life	,Chinese (China)	,وقت  المواصلات فالمتوسط للشغل  كام دقيقه في مصر؟ (استخدم رقم مثلا 10),"What is the average commute time (in minutes) for people in Egypt? (Provide Arabic numerals (e.g., 10) only.)"
28,Jod-ch-51	,Work life	,Chinese (China)	,أكتر وسيلة مواصلات الناس بيستخدموها عشان يروحوا الشغل في مصر إيه؟,What is the most common transportation that people take to get to work in Egypt?
29,Jod-ch-60	,Work life	,Chinese (China)	, كام ساعه بنقضيها فالشغل في مصر؟ (استخدم رقم من0 الي 24),What is the duration (in hours) of a typical workday in Egypt?  (Provide Arabic numerals (0~24) only.)
30,Ki-pe-17        ,Education,Persian (Iran),الطلاب بيوصلو تعليمهم لحد فين في مصر؟(مثال عدادي،ثانوي),"On average, how far do students typically pursue their education in Egypt? (e.g., elementary, high school)"
31,Ki-pe-32	,Food	,Persian (Iran),الناس بيعملوا اكل ايه للضيوف في مصر؟,What food do the hosts usually prepare for the guests in Egypt?
32,Ki-pe-34	,Food	,Persian (Iran),عادة بيشربوا إيه على الفطار في مصر؟,What is the usual drink in the breakfast in Egypt?
33,Ki-pe-39	,Food	,Persian (Iran),بيعملو اكل ايه في نزهه العيله في مصر؟,What food is usually prepared for a family picnic in Egypt?
34,Ki-pe-40	,Food	,Persian (Iran),ايه الاكل المصري اللي ممكن الناس بره مصر يشوفوه مقرف؟,Which food from Egypt is considered disgusting by the rest of the world?
35,Ki-pe-43	,Food	,Persian (Iran),إيه اسم العيش المشهور في مصر ؟,What is the name of the popular bread in Egypt?
36,Kik-in-06	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه الحفله اللي بتتعمل قبل الفرح في مصر؟,What event is usually held before a wedding in Egypt?
37,Kik-in-08	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه هي الانشطه اللي بتتعمل قبل رمضان في مصر؟,What activities are usually done days before Ramadan in Egypt?
38,Kik-in-10	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,  إيه أكتر مكان سياحي مشهور للزوار الأجانب في مصر؟,What is the most popular tourist attraction for foreign visitors in Egypt?
39,Kik-in-11	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,اكتر اماكن دينيه ( مثال مسجد،كنيسه،معبد) مشهوره للسياحه في مصر؟,"What is the most popular religious sites (mosque, church, temple, etc.) for tourism in Egypt?"
40,Kik-in-16	,Food	,Indonesian (Indonesia)	,ايه اكتر مشروب بيتشرب  والجو ساقع في مصر؟,What drink is commonly consumed in Egypt when the weather is cold?
41,Kik-in-17	,Food	,Indonesian (Indonesia)	,ايه اكتر فاكهه بتتباع ومتوفره في رمضان في مصر؟,What fruit is more commonly sold and found during Ramadan in Egypt?
42,Kik-in-24	,Food	,Indonesian (Indonesia)	,ايه النشويات اللي بتتقدم مع الفراخ في المطاعم في مصر؟,What carbohydrate is usually served with chicken in a fast-food restaurant in Egypt?
43,Kik-in-45	,Sport,Indonesian (Indonesia)	,عادة المدارس بيكون فيها إيه من ملاعب أو تجهيزات رياضية في مصر؟,What sports field facilities are usually available at schools in Egypt?
44,Na-ko-02,Food	,Korean (South Korea),إيه أكتر مشروب كافيه الناس في مصر بيستمتعوا بيه؟,What cafe beverage do people from Egypt most commonly enjoy?
45,Na-ko-05	,Food	,Korean (South Korea),  إيه أكتر أكل بيتعمل دليفري في مصر؟,What is the typical delivery food in Egypt?
46,Na-ko-07	,Food	,Korean (South Korea),  إيه أكتر نوع لحم الناس بتاكله في مصر؟,What type of meat is consumed most by people from Egypt?
47,Na-ko-08	,Food	,Korean (South Korea), إيه أكتر فاكهة الناس بيأكلوها في الخريف في مصر ؟,What fruit do people from Egypt  often eat in the autumn season?
48,Na-ko-09	,Food	,Korean (South Korea),إيه أكتر طبق جانبي بيتقدم على السفرة في مصر ؟,What side dish is the most commonly served on a dining table in Egypt?
49,Na-ko-11	,Food	,Korean (South Korea),الناس بيأكلوا إيه وهما بيتفرجوا على ماتش كورة في مصر؟,What do people from Egypt eat while watching a soccer game?
50,Na-ko-15	,Food	,Korean (South Korea), إيه أكتر أكل مغذي وممثل للمصريين ؟,What is the representative nourishing food in Egypt?
51,Na-ko-16	,Sport,Korean (South Korea),مين اشهر لاعب كوره قدم في مصر؟,Who is the most famous soccer player in Egypt?
52,Na-ko-20	,Sport,Korean (South Korea),إيه أكتر بطولة رياضية الناس في مصر بتحب تشجعها في البطولات الدولية ؟,What sports event do people from Egypt passionately support the most in international competitions?
53,Na-ko-24	,Sport,Korean (South Korea), إيه أكتر أكل الناس بتاكله في الاستاد وهي بتتفرج على الماتشات في مصر؟,What is the most commonly eaten food in sports stadiums while watching games in Egypt?
54,Na-ko-30	,Sport,Korean (South Korea),اكتر لعبه إلكترونيه مشهوره في مصر؟,What is the most popular e-sports game in Egypt?
55,Na-ko-37	,Holidays/Celebration/Leisure        ,Korean (South Korea),إيه أكتر مكان سياحي جوه مصر الناس بتحب تروحه في الإجازات ؟,What is the most popular domestic vacation spot for people from Egypt?
56,Na-ko-38	,Holidays/Celebration/Leisure        ,Korean (South Korea), إيه أكتر هدية شائعة بين العريس والعروسة في مصر؟,What is the most common wedding gift between bride and groom in Egypt?
57,Na-ko-39	,Holidays/Celebration/Leisure        ,Korean (South Korea),اكتر هديه بناخدها للعريس والعروسه في مصر؟,What is typically given as a congratulatory gesture when attending a friend's wedding in Egypt?
58,Na-ko-40	,Holidays/Celebration/Leisure        ,Korean (South Korea), كام يوم حداد علي الميت في مصر؟ (استخدم رقم مثلا12),"How long (in days) does a funeral typically last in Egypt? (Provide Arabic numerals (e.g., 12) only.)"
59,Na-ko-41	,Holidays/Celebration/Leisure        ,Korean (South Korea),بيتاخد ايه واحنا رايحين العزا في مصر؟,What should you prepare as a condolence offering when attending a funeral in Egypt?
60,Na-ko-42	,Holidays/Celebration/Leisure        ,Korean (South Korea),ايه الاكل اللي بيتقدم في العزا في مصر؟,What type of food is commonly provided at funeral parlors in Egypt?
61,Na-ko-44	,Holidays/Celebration/Leisure        ,Korean (South Korea),ايه اكتر يوم بيكون شديد الزحام في مصر؟,When is the day with Egypt's most severe nationwide traffic congestion?
62,Na-ko-45	,Holidays/Celebration/Leisure        ,Korean (South Korea),ايه اكتر مكان شهر عسل مشهور في مصر؟,What is the most popular honeymoon destination in Egypt?
63,Ne-ar-06	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,الناس  في مصر بياكلو ايه في رمضان؟,What do people from Egypt eat in Ramadan?
64,Ne-ar-09	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,الناس في مصر بياكلوا ايه في عيد الفطر؟,What do people from Egypt eat in Eid ul Fitr?
65,Ne-ar-10	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,الناس في مصر بياكلوا ايه في عيد الاضحي؟,What do people from Egypt eat in Eid ul Adha?
66,Ne-ar-14	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,العائله بتتجمع فين للاحتفال بعيد الفطر في مصر؟,Where do a family gather for Eid festivities in Egypt?
67,Ne-ar-17	,Work life,Arabic (Algeria)	, اكتريه الناس بتبدأ شغل الساعه كام في مصر؟ (استخدم الرقم  بالساعه والدقيقه مثلا 09:00  صباحا او 06:00 مساءا),"At what time do most people start work in Egypt? (Provide in HH:MM format (e.g., 06:00PM, 09:00AM).)"
68,Ne-ar-18	,Work life,Arabic (Algeria)	, اكتريه الناس بتنهي الشغل الساعه كام في مصر؟ (استخدم الرقم  بالساعه والدقيقه مثلا 09:00  صباحا او 06:00 مساءا),"At what time do most people finish work in Egypt? (Provide in HH:MM format(e.g., 06:00PM, 09:00AM).)"
69,Ne-ar-20,Work life,Arabic (Algeria)	,ايه اكتر شغل بيخليك عايش في امان في مصر؟,What is considered to be a secure job in Egypt?
70,Ne-ar-25	,Work life,Arabic (Algeria)	,ماهي الصناعه التي تدفع افضل المرتبات في مصر؟,What is the industry that pays the best in Egypt?
71,Ne-ar-26	,Work life,Arabic (Algeria)	,ماهي اشهر شركه قطاع عام في مصر؟,What is the most famous public corporation in Egypt?
72,Ne-ar-31	,Food,Arabic (Algeria)	,ايه هي اشهر اكله مصريه؟,What is the most famous dish in Egypt?
73,Ne-ar-32	,Food,Arabic (Algeria)	,ايه اشهر اكله للفطار في مصر؟,What do people usually have for breakfast in Egypt?
