,ID,Topic,Source,Question,Translation
0,EG-DIA-01,Food,English (US),ماذا يأكل الأطفال كوجبة خفيفة في الحضانة في الإسكندرية؟,What is a common snack for preschool kids in Alexandria?
1,EG-DIA-02,Food,English (US),ما هي الفاكهة الأكثر شعبية في الإسكندرية؟,What is the most popular fruit in Alexandria?
2,EG-DIA-03,Education,English (US),في أي سن يبدأ الأطفال الذهاب للحضانة في الإسكندرية؟ (يرجي استعمال الأرقام العربية فقط (12 على سبيل المثال) ).,"At what age do kids start nursery in Alexandria? (Provide Arabic numerals (e.g., 12) only.)"
3,EG-DIA-04,Holidays/Celebration/Leisure	,English (US) ,ماذا يفعل الناس للاحتفال  بشم النسيم في الإسكندرية؟,What do people do to celebrate Easter in Alexandria?
4,EG-DIA-05,Holidays/Celebration/Leisure	,English (US),أي نوع من الطعام يرتبط بشم النسيم في الإسكندرية؟,What food is associated with Easter in Alexandria?
5,EG-DIA-06,Food,Spanish (Spain),ما هو أكثر مكون شائع الاستخدام في النظام الغذائي في الإسكندرية؟,What is the most common ingredient used in Alexandria's diet?
6,EG-DIA-07,Food,Spanish (Spain),ماذا يأكل الناس في الإسكندرية عادة للتحلية بعد الطعام؟,What do people from Alexandria usually eat for dessert?
7,EG-DIA-08,Food,Spanish (Spain),ما هو المشروب الساخن الأكثر شعبية في الإسكندرية؟,Which is the most popular hot drink in Alexandria?
8,EG-DIA-09,Family,Spanish (Spain),ما هو النوع المنتشر (التقليدي) لمنازل العائلات في الإسكندرية؟,Which is the typical type of house for a family in Alexandria?
9,EG-DIA-10,Family,Spanish (Spain),ما هي الوجهة التي تُختار عادةً لقضاء عطلة عائلية في الإسكندرية؟,What  destination is commonly chosen for a family vacation in Alexandria?
10,EG-DIA-11,Work life	,Korean (South Korea)	,ما هو أهم منتج تصدره في الإسكندرية؟,What is the representative export item of Alexandria?
11,EG-DIA-12,Family,Korean (South Korea)	,ما هي الهدية التي تقدمها عند زيارة الوالدين المسنين في الإسكندرية؟,What is the common gift you give when visiting elderly parents in Alexandria?
12,EG-DIA-13,Education	,Korean (South Korea)	,كيف يذهب طلاب المرحلة الابتدائية إلى المدرسة في الإسكندرية؟,How do elementary school students in Alexandria go to school?
13,EG-DIA-14,Education	,Korean (South Korea)	,ما هي المنطقة داخل المدينة التي تشهد أكبر اهتمامٍ بالدراسة في الإسكندرية؟,Which region (within a city) in Alexandria has the highest academic fervor?
14,EG-DIA-15,Sport,Spanish (Spain),ما هي أشهر رياضة تُلعب بدون كرة في الإسكندرية؟,What is the most popular sport played without a ball in Alexandria?
15,EG-DIA-16,Food,Chinese (China)	,ما هو المشروب الغازي الذي يفضله الناس في الإسكندرية؟,What soft drink do people in Alexandria like to have?
16,EG-DIA-17,Food,Chinese (China)	,ماهو الحساء الذي يحبه الناس في الإسكندرية؟,What kind of soup do people from Alexandria like to have?
17,EG-DIA-18,Food,Chinese (China)	,ما هي الأكلات الشعبية التي يحب أهل الإسكندرية تناولها؟,What street food do people from Alexandria like to eat?
18,EG-DIA-19,Food,Chinese (China)	,ما هي المأكولات البحرية التي يحبها أهل الإسكندرية؟,What kind of seafood do people from Alexandria like to eat
