MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,Alexandria,"ماذا يأكل الأطفال كوجبة خفيفة في الحضانة في الإسكندرية؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الفواكهه القطع
B. بسكويت
C. شيبسي
D. كشري

الإجابة:","{
    ""A"": ""الفواكهه القطع"",
    ""B"": ""بسكويت"",
    ""C"": ""شيبسي"",
    ""D"": ""كشري""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""LowerEgypt"",
    ""C"": ""Alexandria"",
    ""D"": ""dummy""
}",C
EG-DIA-03_0,EG-DIA-03,Alexandria,"في أي سن يبدأ الأطفال الذهاب للحضانة في الإسكندرية؟ (يرجي استعمال الأرقام العربية فقط (12 على سبيل المثال) ). من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. 2
B. 4
C. 5
D. 6

الإجابة:","{
    ""A"": ""2"",
    ""B"": ""4"",
    ""C"": ""5"",
    ""D"": ""6""
}","{
    ""A"": ""dummy"",
    ""B"": ""Alexandria"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-04_0,EG-DIA-04,Alexandria,"ماذا يفعل الناس للاحتفال  بشم النسيم في الإسكندرية؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. بياكلو فسيخ
B. بيلبسوا جلابيات تقليدية وبيشاركوا في سباقات الهجن في الصحراء
C. عالبحر
D. كورنيش القاهره

الإجابة:","{
    ""A"": ""بياكلو فسيخ"",
    ""B"": ""بيلبسوا جلابيات تقليدية وبيشاركوا في سباقات الهجن في الصحراء"",
    ""C"": ""عالبحر"",
    ""D"": ""كورنيش القاهره""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""dummy"",
    ""C"": ""UpperEgypt"",
    ""D"": ""GreaterCairo""
}",A
EG-DIA-05_0,EG-DIA-05,Alexandria,"أي نوع من الطعام يرتبط بشم النسيم في الإسكندرية؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الفسيخ
B. الكشري
C. المندي
D. المنسف

الإجابة:","{
    ""A"": ""الفسيخ"",
    ""B"": ""الكشري"",
    ""C"": ""المندي"",
    ""D"": ""المنسف""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",A
EG-DIA-06_0,EG-DIA-06,Alexandria,"ما هو أكثر مكون شائع الاستخدام في النظام الغذائي في الإسكندرية؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الطماطم
B. الملح
C. بصل
D. توابل

الإجابة:","{
    ""A"": ""الطماطم"",
    ""B"": ""الملح"",
    ""C"": ""بصل"",
    ""D"": ""توابل""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""GreaterCairo"",
    ""C"": ""LowerEgypt"",
    ""D"": ""Alexandria""
}",D
EG-DIA-07_0,EG-DIA-07,Alexandria,"ماذا يأكل الناس في الإسكندرية عادة للتحلية بعد الطعام؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. أم علي
B. بسبوسة
C. قطايف
D. لقمة القاضي

الإجابة:","{
    ""A"": ""أم علي"",
    ""B"": ""بسبوسة"",
    ""C"": ""قطايف"",
    ""D"": ""لقمة القاضي""
}","{
    ""A"": ""dummy"",
    ""B"": ""Alexandria"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-08_0,EG-DIA-08,Alexandria,"ما هو المشروب الساخن الأكثر شعبية في الإسكندرية؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. سحلب
B. شاي
C. قهوة تركية
D. ينسون

الإجابة:","{
    ""A"": ""سحلب"",
    ""B"": ""شاي"",
    ""C"": ""قهوة تركية"",
    ""D"": ""ينسون""
}","{
    ""A"": ""dummy"",
    ""B"": ""Alexandria"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-09_0,EG-DIA-09,Alexandria,"ما هو النوع المنتشر (التقليدي) لمنازل العائلات في الإسكندرية؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. البيت الكبير
B. ايجار
C. بيت العيله
D. عماره

الإجابة:","{
    ""A"": ""البيت الكبير"",
    ""B"": ""ايجار"",
    ""C"": ""بيت العيله"",
    ""D"": ""عماره""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""Alexandria"",
    ""C"": ""LowerEgypt"",
    ""D"": ""UpperEgypt""
}",B
EG-DIA-10_0,EG-DIA-10,Alexandria,"ما هي الوجهة التي تُختار عادةً لقضاء عطلة عائلية في الإسكندرية؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسوان
B. الاسكندريه
C. البحر
D. الغردقه

الإجابة:","{
    ""A"": ""اسوان"",
    ""B"": ""الاسكندريه"",
    ""C"": ""البحر"",
    ""D"": ""الغردقه""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""LowerEgypt"",
    ""C"": ""Alexandria"",
    ""D"": ""GreaterCairo""
}",C
EG-DIA-11_0,EG-DIA-11,Alexandria,"ما هو أهم منتج تصدره في الإسكندرية؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسماك
B. البترول
C. الكتان
D. الملابس الجاهزة

الإجابة:","{
    ""A"": ""اسماك"",
    ""B"": ""البترول"",
    ""C"": ""الكتان"",
    ""D"": ""الملابس الجاهزة""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""GreaterCairo"",
    ""C"": ""LowerEgypt"",
    ""D"": ""TheSuezCanalCities""
}",A
