MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,TheSuezCanalCities,"What is a common snack for preschool kids in the Suez Canal Cities? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. biscuits
B. ice cream
C. popcorn
D. sliced fruit

Answer:","{
    ""A"": ""biscuits"",
    ""B"": ""ice cream"",
    ""C"": ""popcorn"",
    ""D"": ""sliced fruit""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""GreaterCairo""
}",A
EG-DIA-03_0,EG-DIA-03,TheSuezCanalCities,"At what age do kids start preschool in the Suez Canal cities?(use arabic numerals) (e.g., 12) only.) Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 3
B. 3
C. 4
D. 5

Answer:","{
    ""A"": ""3"",
    ""B"": ""3"",
    ""C"": ""4"",
    ""D"": ""5""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""dummy"",
    ""C"": ""TheSuezCanalCities"",
    ""D"": ""dummy""
}",C
EG-DIA-04_0,EG-DIA-04,TheSuezCanalCities,"What do people do to celebrate Easter in the Suez Canal cities? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. attend the rio carnival parade
B. go skiing in the alps
C. the beach
D. they go to Cairo corniche

Answer:","{
    ""A"": ""attend the rio carnival parade"",
    ""B"": ""go skiing in the alps"",
    ""C"": ""the beach"",
    ""D"": ""they go to Cairo corniche""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""TheSuezCanalCities"",
    ""D"": ""GreaterCairo""
}",C
EG-DIA-05_0,EG-DIA-05,TheSuezCanalCities,"What food is associated with Easter in the Suez Canal cities? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. el-meluah
B. fesikh
C. koshari
D. molokhia

Answer:","{
    ""A"": ""el-meluah"",
    ""B"": ""fesikh"",
    ""C"": ""koshari"",
    ""D"": ""molokhia""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""TheSuezCanalCities"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-06_0,EG-DIA-06,TheSuezCanalCities,"What is the most common ingredient used in the Suez Canal cities's diet? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. onion
B. salt
C. spices
D. tomato

Answer:","{
    ""A"": ""onion"",
    ""B"": ""salt"",
    ""C"": ""spices"",
    ""D"": ""tomato""
}","{
    ""A"": ""LowerEgypt"",
    ""B"": ""GreaterCairo"",
    ""C"": ""Alexandria"",
    ""D"": ""TheSuezCanalCities""
}",D
EG-DIA-07_0,EG-DIA-07,TheSuezCanalCities,"What do people from the Suez Canal cities usually eat for dessert? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. baklava
B. basbousa
C. ma'amoul
D. qatayef

Answer:","{
    ""A"": ""baklava"",
    ""B"": ""basbousa"",
    ""C"": ""ma'amoul"",
    ""D"": ""qatayef""
}","{
    ""A"": ""dummy"",
    ""B"": ""TheSuezCanalCities"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-08_0,EG-DIA-08,TheSuezCanalCities,"Which is the most popular hot drink in the Suez Canal cities? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. coffee
B. hibiscus tea
C. sahlab
D. tea

Answer:","{
    ""A"": ""coffee"",
    ""B"": ""hibiscus tea"",
    ""C"": ""sahlab"",
    ""D"": ""tea""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""TheSuezCanalCities""
}",D
EG-DIA-09_0,EG-DIA-09,TheSuezCanalCities,"Which is the typical type of house for a family in the Suez Canal cities? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. apartment
B. family home
C. farmhouse
D. villa

Answer:","{
    ""A"": ""apartment"",
    ""B"": ""family home"",
    ""C"": ""farmhouse"",
    ""D"": ""villa""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""LowerEgypt"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",A
EG-DIA-10_0,EG-DIA-10,TheSuezCanalCities,"What destination is commonly chosen for a family vacation in the Suez Canal cities? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. alexandria
B. aswan
C. beach
D. hurghada

Answer:","{
    ""A"": ""alexandria"",
    ""B"": ""aswan"",
    ""C"": ""beach"",
    ""D"": ""hurghada""
}","{
    ""A"": ""LowerEgypt"",
    ""B"": ""UpperEgypt"",
    ""C"": ""TheSuezCanalCities"",
    ""D"": ""GreaterCairo""
}",C
EG-DIA-11_0,EG-DIA-11,TheSuezCanalCities,"What is the representative export item of the Suez Canal cities? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fish
B. mango
C. petrol
D. textiles

Answer:","{
    ""A"": ""fish"",
    ""B"": ""mango"",
    ""C"": ""petrol"",
    ""D"": ""textiles""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""TheSuezCanalCities"",
    ""C"": ""GreaterCairo"",
    ""D"": ""LowerEgypt""
}",B
