,ID,Topic,Source,Question,Translation
0,EG-DIA-01,Food,English (US),ايه اكترسناكس بيحبواطفال الوجه البحري ف الحضانه؟,What is a common snack for preschool kids in Lower Egypt?
1,EG-DIA-02,Food,English (US),ايه اكتر فاكهه مشهوره في الوجه البحري؟,What is the most popular fruit in Lower Egypt?
2,EG-DIA-03,Education,English (US),علي كام سنه بيدخل الطفل الحضانه في الوجه البحري؟(استخدم رقم مثلا 12),"At what age do kids start preschool in Lower Egypt?(use arabic numerals) (e.g., 12) only.)"
3,EG-DIA-04,Holidays/Celebration/Leisure	,English (US) ,ازاي الناس بتحتفل بشم النسيم في الوجه البحري؟,What do people do to celebrate Easter in Lower Egypt?
4,EG-DIA-05,Holidays/Celebration/Leisure	,English (US),ايه الاكله اللي ليها علاقه بشم النسيم في الوجه البحري؟,What food is associated with Easter in Lower Egypt?
5,EG-DIA-06,Food,Spanish (Spain),ايه اكتر مكون بيستخدم فالاكل في الوجه البحري؟,What is the most common ingredient used in Lower Egypt's diet?
6,EG-DIA-07,Food,Spanish (Spain),ايه الحلوي اللي بياكلوها في الوجه البحري بعد الاكل؟,What do people from Lower Egypt usually eat for dessert?
7,EG-DIA-08,Food,Spanish (Spain),اشهر مشروب ساخن في الوجه البحري؟,Which is the most popular hot drink in Lower Egypt?
8,EG-DIA-09,Family,Spanish (Spain),إيه نوع البيت المعتاد للعيلة في الوجه البحري؟,Which is the typical type of house for a family in Lower Egypt?
9,EG-DIA-10,Family,Spanish (Spain),ايه الاماكن المشهوره اللي العيله في الوجه البحري بتروحها للمصيف؟,What destination is commonly chosen for a family vacation in Lower Egypt?
10,EG-DIA-11,Work life	,Korean (South Korea)	,ايه السلعه  المشهوره بيها الوجه البحري للتصدير؟,What is the representative export item of Lower Egypt?
11,EG-DIA-12,Family,Korean (South Korea)	,ايه اكتر هديه ممكن تجيبها وانت بتزور اهالي كبار فالسن في الوجه البحري؟,What is the common gift you give when visiting elderly parents in Lower Egypt?
12,EG-DIA-13,Education	,Korean (South Korea)	,طالب الابتدائي بيروح المدرسه ازاي في الوجه البحري؟,How do elementary school students in Lower Egypt go to school?
13,EG-DIA-14,Education	,Korean (South Korea)	,ايه اكتر مدينه فيها اكبر حماس للدراسه في الوجه البحري؟,Which region (within a city) in Lower Egypt has the highest academic fervor?
14,EG-DIA-15,Sport,Spanish (Spain),ايه اشهر رياضه بتتلعب من غير كوره في الوجه البحري؟,What is the most popular sport played without a ball in Lower Egypt?
15,EG-DIA-16,Food,Chinese (China)	,الناس في الوجه البحري بيحبوا يشربوا إيه مشروبات غازية؟,What soft drink do people in Lower Egypt like to have?
16,EG-DIA-17,Food,Chinese (China)	,الناس في الوجه البحري بيحبوا يشربوا شوربة إيه؟,What kind of soup do people from Lower Egypt like to have?
17,EG-DIA-18,Food,Chinese (China)	,الناس في الوجه البحري بيحبوا ياكلوا إيه أكل شارع؟,What street food do people from Lower Egypt like to eat?
18,EG-DIA-19,Food,Chinese (China)	,الناس في الوجه البحري بيحبوا ياكلوا إيه مأكولات بحرية؟,What kind of seafood do people from Lower Egypt like to eat
19,EG-DIA-20,Holidays/Celebration/Leisure,Chinese (China)	,الناس بيستخدموا مواصلات عامه ايه لما بيسافرو داخل المدن في الوجه البحري؟,What is the most commonly used public transport by people when travelling between cites in Lower Egypt?
20,EG-DIA-21,Holidays/Celebration/Leisure        ,Chinese (China)	,الستات في العشرينات عادة بيعملوا إيه في وقت الفراغ في الوجه البحري؟,What is the common leisure activity that females in their 20s in Lower Egypt engage in?
21,EG-DIA-22,Holidays/Celebration/Leisure	,Chinese (China)	,الرجال في العشرينات عاده بيعملوا ايه في وقت الفراغ في الوجه البحري؟,What is the common leisure activity that males in their 20s in Lower Egypt engage in?
22,EG-DIA-23,Work life	,Chinese (China)	,الناس بيأكلو ايه للغدا في ايام الشغل في الوجه البحري؟,What do people eat for lunch during the working days in Lower Egypt?
23,EG-DIA-24,Work life	,Chinese (China)	,وقت المواصلات فالمتوسط للشغل  كام دقيقه في الوجه البحري؟ (استخدم رقم مثلا 1),"What is the average commute time (in minutes) for people in Lower Egypt? (Provide Arabic numerals (e.g., 1) only.)"
24,EG-DIA-25,Work life	,Chinese (China)	,أكتر وسيلة مواصلات الناس بيستخدموها عشان يروحوا الشغل في الوجه البحري إيه؟,What is the most common transportation that people take to get to work in Lower Egypt?
25,EG-DIA-26,Food	,Persian (Iran),الناس بيعملوا اكل ايه للضيوف في الوجه البحري؟,What food do the hosts usually prepare for the guests in Lower Egypt?
26,EG-DIA-27,Food	,Persian (Iran),عادة بيشربوا إيه على الفطار في الوجه البحري؟,What is the usual drink in the breakfast in Lower Egypt?
27,EG-DIA-28,Food	,Persian (Iran),بيعملو اكل ايه في نزهه العيله في الوجه البحري؟,What food is usually prepared for a family picnic in Lower Egypt?
28,EG-DIA-29,Food	,Persian (Iran),ايه الاكل اللي في وجهه بحري ممكن الناس بره مصر تشوفو مقرف؟,Which food from Lower Egypt is considered disgusting by the rest of the world?
