MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,Alexandria,"What is a common snack for preschool kids in Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. biscuits
B. chips
C. popcorn
D. sliced fruit

Answer:","{
    ""A"": ""biscuits"",
    ""B"": ""chips"",
    ""C"": ""popcorn"",
    ""D"": ""sliced fruit""
}","{
    ""A"": ""LowerEgypt"",
    ""B"": ""Alexandria"",
    ""C"": ""dummy"",
    ""D"": ""GreaterCairo""
}",B
EG-DIA-03_0,EG-DIA-03,Alexandria,"At what age do kids start preschool in Alexandria?(use arabic numerals) (e.g., 12) only.) Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 2
B. 4
C. 5
D. 6

Answer:","{
    ""A"": ""2"",
    ""B"": ""4"",
    ""C"": ""5"",
    ""D"": ""6""
}","{
    ""A"": ""dummy"",
    ""B"": ""Alexandria"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-04_0,EG-DIA-04,Alexandria,"What do people do to celebrate Easter in Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. beach
B. they attend the rio carnival parade and dance samba in the streets
C. they eat fesikh
D. they watch the macy's thanksgiving day parade and eat roast turkey with cranberry sauce

Answer:","{
    ""A"": ""beach"",
    ""B"": ""they attend the rio carnival parade and dance samba in the streets"",
    ""C"": ""they eat fesikh"",
    ""D"": ""they watch the macy's thanksgiving day parade and eat roast turkey with cranberry sauce""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""dummy"",
    ""C"": ""Alexandria"",
    ""D"": ""dummy""
}",C
EG-DIA-05_0,EG-DIA-05,Alexandria,"What food is associated with Easter in Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fesikh
B. koshari
C. maamoul
D. molokhia

Answer:","{
    ""A"": ""fesikh"",
    ""B"": ""koshari"",
    ""C"": ""maamoul"",
    ""D"": ""molokhia""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",A
EG-DIA-06_0,EG-DIA-06,Alexandria,"What is the most common ingredient used in Alexandria's diet? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. onion
B. salt
C. spices
D. tomato

Answer:","{
    ""A"": ""onion"",
    ""B"": ""salt"",
    ""C"": ""spices"",
    ""D"": ""tomato""
}","{
    ""A"": ""LowerEgypt"",
    ""B"": ""GreaterCairo"",
    ""C"": ""Alexandria"",
    ""D"": ""UpperEgypt""
}",C
EG-DIA-07_0,EG-DIA-07,Alexandria,"What do people from Alexandria usually eat for dessert? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. baklava
B. basbousa
C. rice pudding
D. umm ali

Answer:","{
    ""A"": ""baklava"",
    ""B"": ""basbousa"",
    ""C"": ""rice pudding"",
    ""D"": ""umm ali""
}","{
    ""A"": ""dummy"",
    ""B"": ""Alexandria"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-08_0,EG-DIA-08,Alexandria,"Which is the most popular hot drink in Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. hot chocolate
B. sahlab
C. tea
D. turkish coffee

Answer:","{
    ""A"": ""hot chocolate"",
    ""B"": ""sahlab"",
    ""C"": ""tea"",
    ""D"": ""turkish coffee""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""Alexandria"",
    ""D"": ""dummy""
}",C
EG-DIA-09_0,EG-DIA-09,Alexandria,"Which is the typical type of house for a family in Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. apartment in a residential building
B. detached suburban villa
C. family home
D. traditional bedouin tent

Answer:","{
    ""A"": ""apartment in a residential building"",
    ""B"": ""detached suburban villa"",
    ""C"": ""family home"",
    ""D"": ""traditional bedouin tent""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""dummy"",
    ""C"": ""LowerEgypt"",
    ""D"": ""dummy""
}",A
EG-DIA-10_0,EG-DIA-10,Alexandria,"What destination is commonly chosen for a family vacation in Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. alexandria
B. aswan
C. hurghada
D. the beach

Answer:","{
    ""A"": ""alexandria"",
    ""B"": ""aswan"",
    ""C"": ""hurghada"",
    ""D"": ""the beach""
}","{
    ""A"": ""LowerEgypt"",
    ""B"": ""UpperEgypt"",
    ""C"": ""GreaterCairo"",
    ""D"": ""Alexandria""
}",D
EG-DIA-11_0,EG-DIA-11,Alexandria,"What is the representative export item of Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. clothing
B. fish
C. petrol
D. textiles

Answer:","{
    ""A"": ""clothing"",
    ""B"": ""fish"",
    ""C"": ""petrol"",
    ""D"": ""textiles""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""Alexandria"",
    ""C"": ""GreaterCairo"",
    ""D"": ""LowerEgypt""
}",B
EG-DIA-11_1,EG-DIA-11,Alexandria,"What is the representative export item of Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. clothing
B. fish
C. petrol
D. sugar

Answer:","{
    ""A"": ""clothing"",
    ""B"": ""fish"",
    ""C"": ""petrol"",
    ""D"": ""sugar""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""Alexandria"",
    ""C"": ""GreaterCairo"",
    ""D"": ""UpperEgypt""
}",B
EG-DIA-11_2,EG-DIA-11,Alexandria,"What is the representative export item of Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. clothing
B. fish
C. olive oil
D. petrol

Answer:","{
    ""A"": ""clothing"",
    ""B"": ""fish"",
    ""C"": ""olive oil"",
    ""D"": ""petrol""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""Alexandria"",
    ""C"": ""Sinai"",
    ""D"": ""GreaterCairo""
}",B
EG-DIA-11_3,EG-DIA-11,Alexandria,"What is the representative export item of Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fish
B. petrol
C. sugar
D. textiles

Answer:","{
    ""A"": ""fish"",
    ""B"": ""petrol"",
    ""C"": ""sugar"",
    ""D"": ""textiles""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""GreaterCairo"",
    ""C"": ""UpperEgypt"",
    ""D"": ""LowerEgypt""
}",A
EG-DIA-11_4,EG-DIA-11,Alexandria,"What is the representative export item of Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fish
B. olive oil
C. petrol
D. textiles

Answer:","{
    ""A"": ""fish"",
    ""B"": ""olive oil"",
    ""C"": ""petrol"",
    ""D"": ""textiles""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""Sinai"",
    ""C"": ""GreaterCairo"",
    ""D"": ""LowerEgypt""
}",A
EG-DIA-11_5,EG-DIA-11,Alexandria,"What is the representative export item of Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fish
B. olive oil
C. petrol
D. sugar

Answer:","{
    ""A"": ""fish"",
    ""B"": ""olive oil"",
    ""C"": ""petrol"",
    ""D"": ""sugar""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""Sinai"",
    ""C"": ""GreaterCairo"",
    ""D"": ""UpperEgypt""
}",A
EG-DIA-11_6,EG-DIA-11,Alexandria,"What is the representative export item of Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. clothing
B. fish
C. sugar
D. textiles

Answer:","{
    ""A"": ""clothing"",
    ""B"": ""fish"",
    ""C"": ""sugar"",
    ""D"": ""textiles""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""Alexandria"",
    ""C"": ""UpperEgypt"",
    ""D"": ""LowerEgypt""
}",B
EG-DIA-11_7,EG-DIA-11,Alexandria,"What is the representative export item of Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. clothing
B. fish
C. olive oil
D. textiles

Answer:","{
    ""A"": ""clothing"",
    ""B"": ""fish"",
    ""C"": ""olive oil"",
    ""D"": ""textiles""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""Alexandria"",
    ""C"": ""Sinai"",
    ""D"": ""LowerEgypt""
}",B
EG-DIA-11_8,EG-DIA-11,Alexandria,"What is the representative export item of Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. clothing
B. fish
C. olive oil
D. sugar

Answer:","{
    ""A"": ""clothing"",
    ""B"": ""fish"",
    ""C"": ""olive oil"",
    ""D"": ""sugar""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""Alexandria"",
    ""C"": ""Sinai"",
    ""D"": ""UpperEgypt""
}",B
EG-DIA-11_9,EG-DIA-11,Alexandria,"What is the representative export item of Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fish
B. olive oil
C. sugar
D. textiles

Answer:","{
    ""A"": ""fish"",
    ""B"": ""olive oil"",
    ""C"": ""sugar"",
    ""D"": ""textiles""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""Sinai"",
    ""C"": ""UpperEgypt"",
    ""D"": ""LowerEgypt""
}",A
EG-DIA-12_0,EG-DIA-12,Alexandria,"What is the common gift you give when visiting elderly parents in Alexandria? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. chocolates
B. flowers
C. fruit
D. traditional eastern sweets

Answer:","{
    ""A"": ""chocolates"",
    ""B"": ""flowers"",
    ""C"": ""fruit"",
    ""D"": ""traditional eastern sweets""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""Alexandria"",
    ""D"": ""LowerEgypt""
}",C
EG-DIA-13_0,EG-DIA-13,Alexandria,"How do elementary school students in Alexandria go to school? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bicycle
B. metro
C. microbus
D. tram

Answer:","{
    ""A"": ""bicycle"",
    ""B"": ""metro"",
    ""C"": ""microbus"",
    ""D"": ""tram""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""Alexandria"",
    ""D"": ""dummy""
}",C
EG-DIA-13_1,EG-DIA-13,Alexandria,"How do elementary school students in Alexandria go to school? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bicycle
B. metro
C. public bus
D. tram

Answer:","{
    ""A"": ""bicycle"",
    ""B"": ""metro"",
    ""C"": ""public bus"",
    ""D"": ""tram""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""Alexandria"",
    ""D"": ""dummy""
}",C
EG-DIA-14_0,EG-DIA-14,Alexandria,"Which region (within a city) in Alexandria has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. cairo
B. el-arish
C. moharam bek
D. tanta

Answer:","{
    ""A"": ""cairo"",
    ""B"": ""el-arish"",
    ""C"": ""moharam bek"",
    ""D"": ""tanta""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""Sinai"",
    ""C"": ""Alexandria"",
    ""D"": ""LowerEgypt""
}",C
EG-DIA-14_1,EG-DIA-14,Alexandria,"Which region (within a city) in Alexandria has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. aswan
B. el-arish
C. moharam bek
D. tanta

Answer:","{
    ""A"": ""aswan"",
    ""B"": ""el-arish"",
    ""C"": ""moharam bek"",
    ""D"": ""tanta""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""Sinai"",
    ""C"": ""Alexandria"",
    ""D"": ""LowerEgypt""
}",C
