,ID,Topic,Source,Question,Translation
0,EG-DIA-01,Food,English (US),ايه اكتر سناكس  بيحبو اطفال مدن القناة  ف الحضانه؟,What is a common snack for preschool kids in the Suez Canal Cities?
1,EG-DIA-02,Food,English (US),ايه اكتر فاكهه مشهوره في مدن القناة؟,What is the most popular fruit in the Suez Canal cities?
2,EG-DIA-03,Education,English (US),علي كام سنه بيدخل الطفل الحضانه في مدن القناة؟(استخدم رقم مثلا 12),"At what age do kids start preschool in the Suez Canal cities?(use arabic numerals) (e.g., 12) only.)"
3,EG-DIA-04,Holidays/Celebration/Leisure	,English (US) ,ازاي الناس بتحتفل بشم النسيم في مدن القناة؟,What do people do to celebrate Easter in the Suez Canal cities?
4,EG-DIA-05,Holidays/Celebration/Leisure	,English (US),ايه الاكله اللي ليها علاقه بشم النسيم في مدن القناة؟,What food is associated with Easter in the Suez Canal cities?
5,EG-DIA-06,Food,Spanish (Spain),ايه اكتر مكون بيستخدم فالاكل في مدن القناة؟,What is the most common ingredient used in the Suez Canal cities's diet?
6,EG-DIA-07,Food,Spanish (Spain),اية الحلوي اللي بياكلوها بعد الاكل في مدن القناة؟,What do people from the Suez Canal cities usually eat for dessert?
7,EG-DIA-08,Food,Spanish (Spain),اشهر مشروب ساخن في مدن القناة؟,Which is the most popular hot drink in the Suez Canal cities?
8,EG-DIA-09,Family,Spanish (Spain),إيه نوع البيت المعتاد للعيلة في مدن القناة؟,Which is the typical type of house for a family in the Suez Canal cities?
9,EG-DIA-10,Family,Spanish (Spain),ايه الاماكن المشهوره اللي العيله في مدن القناة بتروحها للمصيف؟,What destination is commonly chosen for a family vacation in the Suez Canal cities?
10,EG-DIA-11,Work life	,Korean (South Korea)	,ايه السلعه  المشهوره بيها مدن القناة للتصدير؟,What is the representative export item of the Suez Canal cities?
11,EG-DIA-12,Family,Korean (South Korea)	,ايه اكتر هديه ممكن تجيبها وانت بتزور اهالي كبار فالسن في مدن القناة؟,What is the common gift you give when visiting elderly parents in the Suez Canal cities?
12,EG-DIA-13,Education	,Korean (South Korea)	,طالب الابتدائي بيروح المدرسه ازاي في مدن القناة؟,How do elementary school students in the Suez Canal cities go to school?
13,EG-DIA-14,Education	,Korean (South Korea)	,ايه اكتر مدينه فيها اكبر حماس للدراسه في مدن القناة؟,Which region (within a city) in the Suez Canal cities has the highest academic fervor?
14,EG-DIA-15,Sport,Spanish (Spain),ايه اشهر رياضه بتتلعب من غير كوره في مدن القناة؟,What is the most popular sport played without a ball in the Suez Canal cities?
15,EG-DIA-16,Food,Chinese (China)	,الناس في مدن القناة بيحبوا يشربوا إيه مشروبات غازية؟,What soft drink do people in the Suez Canal cities like to have?
16,EG-DIA-17,Food,Chinese (China)	,الناس في مدن القناة بيحبوا يشربوا شوربة إيه؟,What kind of soup do people from the Suez Canal cities like to have?
17,EG-DIA-18,Food,Chinese (China)	,الناس في مدن القناة بيحبوا ياكلوا إيه أكل شارع؟,What street food do people from the Suez Canal cities like to eat?
18,EG-DIA-19,Food,Chinese (China)	,الناس في مدن القناة بيحبوا ياكلوا إيه مأكولات بحرية؟,What kind of seafood do people from the Suez Canal cities like to eat
19,EG-DIA-20,Holidays/Celebration/Leisure,Chinese (China)	,الناس بيستخدموا مواصلات عامه ايه لما بيسافرو داخل المدن في مدن القناة؟,What is the most commonly used public transport by people when travelling between cites in the Suez Canal cities?
20,EG-DIA-21,Holidays/Celebration/Leisure        ,Chinese (China)	,الستات في العشرينات عادة بيعملوا إيه في وقت الفراغ في مدن القناة؟,What is the common leisure activity that females in their 20s in the Suez Canal cities engage in?
21,EG-DIA-22,Holidays/Celebration/Leisure	,Chinese (China)	,الرجال في العشرينات عاده بيعملوا ايه في وقت الفراغ في مدن القناة؟,What is the common leisure activity that males in their 20s in the Suez Canal cities engage in?
22,EG-DIA-23,Work life	,Chinese (China)	,الناس بيأكلو ايه للغدا في ايام الشغل في مدن القناة؟,What do people eat for lunch during the working days in the Suez Canal cities?
23,EG-DIA-24,Work life	,Chinese (China)	,وقت المواصلات فالمتوسط للشغل  كام دقيقه في مدن القناة؟ (استخدم رقم مثلا 1),"What is the average commute time (in minutes) for people in the Suez Canal cities? (Provide Arabic numerals (e.g., 1) only.)"
24,EG-DIA-25,Work life	,Chinese (China)	,أكتر وسيلة مواصلات الناس بيستخدموها عشان يروحوا الشغل في مدن القناة إيه؟,What is the most common transportation that people take to get to work in the Suez Canal cities?
25,EG-DIA-26,Food	,Persian (Iran),الناس بيعملوا اكل ايه للضيوف في مدن القناة؟,What food do the hosts usually prepare for the guests in the Suez Canal cities?
26,EG-DIA-27,Food	,Persian (Iran),عادة بيشربوا إيه على الفطار في مدن القناة؟,What is the usual drink in the breakfast in the Suez Canal cities?
27,EG-DIA-28,Food	,Persian (Iran),بيعملو اكل ايه في نزهه العيله في مدن القناة؟,What food is usually prepared for a family picnic in the Suez Canal cities?
28,EG-DIA-29,Food	,Persian (Iran),ايه الاكل اللي في مدن القناه ممكن الناس بره مصر تشوفو مقرف؟,Which food from the Suez Canal cities is considered disgusting by the rest of the world?
