MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,LowerEgypt,"ايه اكترسناكس بيحبواطفال الوجه البحري ف الحضانه؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. التفاح
B. الفواكهه القطع
C. بسكويت
D. شيبسي

الإجابة:","{
    ""A"": ""التفاح"",
    ""B"": ""الفواكهه القطع"",
    ""C"": ""بسكويت"",
    ""D"": ""شيبسي""
}","{
    ""A"": ""dummy"",
    ""B"": ""GreaterCairo"",
    ""C"": ""LowerEgypt"",
    ""D"": ""Alexandria""
}",C
EG-DIA-03_0,EG-DIA-03,LowerEgypt,"علي كام سنه بيدخل الطفل الحضانه في الوجه البحري؟(استخدم رقم مثلا 12) من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. 3
B. 3
C. 4
D. 6

الإجابة:","{
    ""A"": ""3"",
    ""B"": ""3"",
    ""C"": ""4"",
    ""D"": ""6""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""dummy"",
    ""C"": ""LowerEgypt"",
    ""D"": ""dummy""
}",C
EG-DIA-04_0,EG-DIA-04,LowerEgypt,"ازاي الناس بتحتفل بشم النسيم في الوجه البحري؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. البحر
B. الذهاب إلى الحدائق العامة
C. بياكلو فسيخ
D. كورنيش القاهره

الإجابة:","{
    ""A"": ""البحر"",
    ""B"": ""الذهاب إلى الحدائق العامة"",
    ""C"": ""بياكلو فسيخ"",
    ""D"": ""كورنيش القاهره""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""LowerEgypt"",
    ""C"": ""Alexandria"",
    ""D"": ""GreaterCairo""
}",B
EG-DIA-05_0,EG-DIA-05,LowerEgypt,"ايه الاكله اللي ليها علاقه بشم النسيم في الوجه البحري؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. الكشري
B. الملوحه
C. الملوخية
D. رنجه

الإجابة:","{
    ""A"": ""الكشري"",
    ""B"": ""الملوحه"",
    ""C"": ""الملوخية"",
    ""D"": ""رنجه""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",D
EG-DIA-05_1,EG-DIA-05,LowerEgypt,"ايه الاكله اللي ليها علاقه بشم النسيم في الوجه البحري؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. الكشري
B. الملوحه
C. الملوخية
D. فسيخ

الإجابة:","{
    ""A"": ""الكشري"",
    ""B"": ""الملوحه"",
    ""C"": ""الملوخية"",
    ""D"": ""فسيخ""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",D
EG-DIA-06_0,EG-DIA-06,LowerEgypt,"ايه اكتر مكون بيستخدم فالاكل في الوجه البحري؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. الذرة
B. الشعير
C. بصل
D. توابل

الإجابة:","{
    ""A"": ""الذرة"",
    ""B"": ""الشعير"",
    ""C"": ""بصل"",
    ""D"": ""توابل""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""LowerEgypt"",
    ""D"": ""Alexandria""
}",C
EG-DIA-06_1,EG-DIA-06,LowerEgypt,"ايه اكتر مكون بيستخدم فالاكل في الوجه البحري؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. الذرة
B. الشعير
C. توابل
D. طماطم

الإجابة:","{
    ""A"": ""الذرة"",
    ""B"": ""الشعير"",
    ""C"": ""توابل"",
    ""D"": ""طماطم""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""Alexandria"",
    ""D"": ""LowerEgypt""
}",D
EG-DIA-07_0,EG-DIA-07,LowerEgypt,"ايه الحلوي اللي بياكلوها في الوجه البحري بعد الاكل؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. أم علي
B. البسبوسه
C. الكنافة
D. كنافة

الإجابة:","{
    ""A"": ""أم علي"",
    ""B"": ""البسبوسه"",
    ""C"": ""الكنافة"",
    ""D"": ""كنافة""
}","{
    ""A"": ""dummy"",
    ""B"": ""LowerEgypt"",
    ""C"": ""dummy"",
    ""D"": ""Alexandria""
}",B
EG-DIA-08_0,EG-DIA-08,LowerEgypt,"اشهر مشروب ساخن في الوجه البحري؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. سحلب
B. شاي
C. قهوة تركية
D. يانسون

الإجابة:","{
    ""A"": ""سحلب"",
    ""B"": ""شاي"",
    ""C"": ""قهوة تركية"",
    ""D"": ""يانسون""
}","{
    ""A"": ""dummy"",
    ""B"": ""LowerEgypt"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-09_0,EG-DIA-09,LowerEgypt,"إيه نوع البيت المعتاد للعيلة في الوجه البحري؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. ايجار
B. بيت العيله
C. عماره
D. فيلا مستقلة

الإجابة:","{
    ""A"": ""ايجار"",
    ""B"": ""بيت العيله"",
    ""C"": ""عماره"",
    ""D"": ""فيلا مستقلة""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""LowerEgypt"",
    ""C"": ""UpperEgypt"",
    ""D"": ""dummy""
}",B
