MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,LowerEgypt,"ماذا يأكل الأطفال كوجبة خفيفة في الحضانة في الوجه البحري؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. التفاح
B. الفواكهه القطع
C. بسكويت
D. شيبسي

الإجابة:","{
    ""A"": ""التفاح"",
    ""B"": ""الفواكهه القطع"",
    ""C"": ""بسكويت"",
    ""D"": ""شيبسي""
}","{
    ""A"": ""dummy"",
    ""B"": ""GreaterCairo"",
    ""C"": ""LowerEgypt"",
    ""D"": ""Alexandria""
}",C
EG-DIA-03_0,EG-DIA-03,LowerEgypt,"في أي سن يبدأ الأطفال الذهاب للحضانة في الوجه البحري؟ (يرجي استعمال الأرقام العربية فقط (12 على سبيل المثال) ). من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. 3
B. 3
C. 4
D. 6

الإجابة:","{
    ""A"": ""3"",
    ""B"": ""3"",
    ""C"": ""4"",
    ""D"": ""6""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""dummy"",
    ""C"": ""LowerEgypt"",
    ""D"": ""dummy""
}",C
EG-DIA-04_0,EG-DIA-04,LowerEgypt,"ماذا يفعل الناس للاحتفال  بشم النسيم في الوجه البحري؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. البحر
B. الذهاب إلى الحدائق العامة
C. بياكلو فسيخ
D. كورنيش القاهره

الإجابة:","{
    ""A"": ""البحر"",
    ""B"": ""الذهاب إلى الحدائق العامة"",
    ""C"": ""بياكلو فسيخ"",
    ""D"": ""كورنيش القاهره""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""LowerEgypt"",
    ""C"": ""Alexandria"",
    ""D"": ""GreaterCairo""
}",B
EG-DIA-05_0,EG-DIA-05,LowerEgypt,"أي نوع من الطعام يرتبط بشم النسيم في الوجه البحري؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الكشري
B. الملوحه
C. الملوخية
D. رنجه

الإجابة:","{
    ""A"": ""الكشري"",
    ""B"": ""الملوحه"",
    ""C"": ""الملوخية"",
    ""D"": ""رنجه""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",D
EG-DIA-05_1,EG-DIA-05,LowerEgypt,"أي نوع من الطعام يرتبط بشم النسيم في الوجه البحري؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الكشري
B. الملوحه
C. الملوخية
D. فسيخ

الإجابة:","{
    ""A"": ""الكشري"",
    ""B"": ""الملوحه"",
    ""C"": ""الملوخية"",
    ""D"": ""فسيخ""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",D
EG-DIA-06_0,EG-DIA-06,LowerEgypt,"ما هو أكثر مكون شائع الاستخدام في النظام الغذائي في الوجه البحري؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الذرة
B. الشعير
C. بصل
D. توابل

الإجابة:","{
    ""A"": ""الذرة"",
    ""B"": ""الشعير"",
    ""C"": ""بصل"",
    ""D"": ""توابل""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""LowerEgypt"",
    ""D"": ""Alexandria""
}",C
EG-DIA-06_1,EG-DIA-06,LowerEgypt,"ما هو أكثر مكون شائع الاستخدام في النظام الغذائي في الوجه البحري؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الذرة
B. الشعير
C. توابل
D. طماطم

الإجابة:","{
    ""A"": ""الذرة"",
    ""B"": ""الشعير"",
    ""C"": ""توابل"",
    ""D"": ""طماطم""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""Alexandria"",
    ""D"": ""LowerEgypt""
}",D
EG-DIA-07_0,EG-DIA-07,LowerEgypt,"ماذا يأكل الناس في الوجه البحري عادة للتحلية بعد الطعام؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. أم علي
B. البسبوسه
C. الكنافة
D. كنافة

الإجابة:","{
    ""A"": ""أم علي"",
    ""B"": ""البسبوسه"",
    ""C"": ""الكنافة"",
    ""D"": ""كنافة""
}","{
    ""A"": ""dummy"",
    ""B"": ""LowerEgypt"",
    ""C"": ""dummy"",
    ""D"": ""Alexandria""
}",B
EG-DIA-08_0,EG-DIA-08,LowerEgypt,"ما هو المشروب الساخن الأكثر شعبية في الوجه البحري؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. سحلب
B. شاي
C. قهوة تركية
D. يانسون

الإجابة:","{
    ""A"": ""سحلب"",
    ""B"": ""شاي"",
    ""C"": ""قهوة تركية"",
    ""D"": ""يانسون""
}","{
    ""A"": ""dummy"",
    ""B"": ""LowerEgypt"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-09_0,EG-DIA-09,LowerEgypt,"ما هو النوع المنتشر (التقليدي) لمنازل العائلات في الوجه البحري؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. ايجار
B. بيت العيله
C. عماره
D. فيلا مستقلة

الإجابة:","{
    ""A"": ""ايجار"",
    ""B"": ""بيت العيله"",
    ""C"": ""عماره"",
    ""D"": ""فيلا مستقلة""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""LowerEgypt"",
    ""C"": ""UpperEgypt"",
    ""D"": ""dummy""
}",B
EG-DIA-10_0,EG-DIA-10,LowerEgypt,"ما هي الوجهة التي تُختار عادةً لقضاء عطلة عائلية في الوجه البحري؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسوان
B. الاسكندريه
C. البحر
D. مرسى علم

الإجابة:","{
    ""A"": ""اسوان"",
    ""B"": ""الاسكندريه"",
    ""C"": ""البحر"",
    ""D"": ""مرسى علم""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""LowerEgypt"",
    ""C"": ""Alexandria"",
    ""D"": ""dummy""
}",B
EG-DIA-11_0,EG-DIA-11,LowerEgypt,"ما هو أهم منتج تصدره في الوجه البحري؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسماك
B. البترول
C. المانجا
D. المنسوجات

الإجابة:","{
    ""A"": ""اسماك"",
    ""B"": ""البترول"",
    ""C"": ""المانجا"",
    ""D"": ""المنسوجات""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""GreaterCairo"",
    ""C"": ""TheSuezCanalCities"",
    ""D"": ""LowerEgypt""
}",D
EG-DIA-11_1,EG-DIA-11,LowerEgypt,"ما هو أهم منتج تصدره في الوجه البحري؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسماك
B. البترول
C. الملابس الفرعونيه
D. المنسوجات

الإجابة:","{
    ""A"": ""اسماك"",
    ""B"": ""البترول"",
    ""C"": ""الملابس الفرعونيه"",
    ""D"": ""المنسوجات""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""GreaterCairo"",
    ""C"": ""UpperEgypt"",
    ""D"": ""LowerEgypt""
}",D
EG-DIA-11_2,EG-DIA-11,LowerEgypt,"ما هو أهم منتج تصدره في الوجه البحري؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسماك
B. البترول
C. الزيت الزيتون
D. المنسوجات

الإجابة:","{
    ""A"": ""اسماك"",
    ""B"": ""البترول"",
    ""C"": ""الزيت الزيتون"",
    ""D"": ""المنسوجات""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""GreaterCairo"",
    ""C"": ""Sinai"",
    ""D"": ""LowerEgypt""
}",D
EG-DIA-11_3,EG-DIA-11,LowerEgypt,"ما هو أهم منتج تصدره في الوجه البحري؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. البترول
B. المانجا
C. الملابس الفرعونيه
D. المنسوجات

الإجابة:","{
    ""A"": ""البترول"",
    ""B"": ""المانجا"",
    ""C"": ""الملابس الفرعونيه"",
    ""D"": ""المنسوجات""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""TheSuezCanalCities"",
    ""C"": ""UpperEgypt"",
    ""D"": ""LowerEgypt""
}",D
