,ID,Topic,Source,Question,Translation
0,EG-DIA-01,Food,English (US),ايه اكتر سناكس بيحبو اطفال القاهرة الكبرى  ف الحضانه؟,What is a common snack for preschool kids in Greater Cairo?
1,EG-DIA-02,Food,English (US),ايه اكتر فاكهه مشهوره في القاهرة الكبرى؟,What is the most popular fruit in Greater Cairo?
2,EG-DIA-03,Education,English (US),علي كام سنه بيدخل الطفل الحضانه في القاهرة الكبرى؟(استخدم رقم مثلا 12),"At what age do kids start preschool in Greater Cairo?(use arabic numerals) (e.g., 12) only.)"
3,EG-DIA-04,Holidays/Celebration/Leisure	,English (US) ,ازاي الناس بتحتفل بشم النسيم في القاهرة الكبرى؟,What do people do to celebrate Easter in Greater Cairo?
4,EG-DIA-05,Holidays/Celebration/Leisure	,English (US),ايه الاكله اللي ليها علاقه بشم النسيم في القاهرة الكبرى؟,What food is associated with Easter in Greater Cairo?
6,EG-DIA-06,Food,Spanish (Spain),ايه اكتر مكون بيستخدم فالاكل في القاهرة الكبرى؟,What is the most common ingredient used in Greater Cairo's diet?
7,EG-DIA-07,Food,Spanish (Spain),ايه الحلوي اللي بياكلوها في القاهره الكبري بعد الاكل؟,What do people from Greater Cairo usually eat for dessert?
8,EG-DIA-08,Food,Spanish (Spain),اشهر مشروب ساخن في القاهرة الكبرى؟,Which is the most popular hot drink in Greater Cairo?
9,EG-DIA-09,Family,Spanish (Spain),إيه نوع البيت المعتاد للعيلة في القاهرة الكبرى؟,Which is the typical type of house for a family in Greater Cairo?
10,EG-DIA-10,Family,Spanish (Spain),ايه الاماكن المشهوره اللي العيله في القاهرة الكبرى بتروحها للمصيف؟,What vacation destination is commonly chosen for a families in Greater Cairo?
11,EG-DIA-11,Work life	,Korean (South Korea)	,ايه السلعه المشهوره بيها القاهرة الكبرى للتصدير؟,What is the representative export item of Greater Cairo?
12,EG-DIA-12,Family,Korean (South Korea)	,ايه اكتر هديه ممكن تجيبها وانت بتزور اهالي كبار فالسن في القاهرة الكبرى؟,What is the common gift you give when visiting elderly parents in Greater Cairo?
13,EG-DIA-13,Education	,Korean (South Korea)	,طالب الابتدائي بيروح المدرسه ازاي في القاهرة الكبرى؟,How do elementary school students in Greater Cairo go to school?
14,EG-DIA-14,Education	,Korean (South Korea)	,ايه اكتر مدينه فيها اكبر حماس للدراسه في القاهرة الكبرى؟,Which region (within a city) in Greater Cairo has the highest academic fervor?
15,EG-DIA-15,Sport,Spanish (Spain),ايه اشهر رياضه بتتلعب من غير كوره في القاهرة الكبرى؟,What is the most popular sport played without a ball in Greater Cairo?
16,EG-DIA-16,Food,Chinese (China)	,الناس في القاهرة الكبرى بيحبوا يشربوا إيه مشروبات غازية؟,What soft drink do people in Greater Cairo like to have?
17,EG-DIA-17,Food,Chinese (China)	,الناس في القاهرة الكبرى بيحبوا يشربوا شوربة إيه؟,What kind of soup do people from Greater Cairo like to have?
18,EG-DIA-18,Food,Chinese (China)	,الناس في القاهرة الكبرى بيحبوا ياكلوا إيه أكل شارع؟,What street food do people from Greater Cairo like to eat?
19,EG-DIA-19,Food,Chinese (China)	,الناس في القاهرة الكبرى بيحبوا ياكلوا إيه مأكولات بحرية؟,What kind of seafood do people from Greater Cairo like to eat
20,EG-DIA-20,Holidays/Celebration/Leisure,Chinese (China)	,الناس بيستخدموا مواصلات عامه ايه لما بيسافرو داخل المدن في القاهرة الكبرى؟,What is the most commonly used public transport by people when travelling between cites in Greater Cairo?
21,EG-DIA-21,Holidays/Celebration/Leisure        ,Chinese (China)	,الستات في العشرينات عادة بيعملوا إيه في وقت الفراغ في القاهرة الكبرى؟,What is the common leisure activity that females in their 20s in Greater Cairo engage in?
22,EG-DIA-22,Holidays/Celebration/Leisure	,Chinese (China)	,الرجال في العشرينات عاده بيعملوا ايه في وقت الفراغ في القاهرة الكبرى؟,What is the common leisure activity that males in their 20s in Greater Cairo engage in?
23,EG-DIA-23,Work life	,Chinese (China)	,الناس بيأكلو ايه للغدا في ايام الشغل في القاهرة الكبرى؟,What do people eat for lunch during the working days in Greater Cairo?
24,EG-DIA-24,Work life	,Chinese (China)	,وقت  المواصلات فالمتوسط للشغل  كام دقيقه في القاهرة الكبرى؟ (استخدم رقم مثلا 1),"What is the average commute time (in minutes) for people in Greater Cairo? (Provide Arabic numerals (e.g., 1) only.)"
25,EG-DIA-25,Work life	,Chinese (China)	,أكتر وسيلة مواصلات الناس بيستخدموها عشان يروحوا الشغل في القاهرة الكبرى إيه؟,What is the most common transportation that people take to get to work in Greater Cairo?
26,EG-DIA-26,Food	,Persian (Iran),الناس بيعملوا اكل ايه للضيوف في القاهرة الكبرى؟,What food do the hosts usually prepare for the guests in Greater Cairo?
27,EG-DIA-27,Food	,Persian (Iran),عادة بيشربوا إيه على الفطار في القاهرة الكبرى؟,What is the usual drink in the breakfast in Greater Cairo?
28,EG-DIA-28,Food	,Persian (Iran),بيعملو اكل ايه في نزهه العيله في القاهرة الكبرى؟,What food is usually prepared for a family picnic in Greater Cairo?
29,EG-DIA-29,Food	,Persian (Iran),ايه الاكل اللي في القاهره الكبري ممكن الناس بره مصر تشوفو مقرف؟,Which food from Greater Cairo is considered disgusting by the rest of the world?
30,EG-DIA-30,Food	,Persian (Iran),إيه اسم العيش المشهور في القاهرة الكبرى؟,What is the name of the popular bread in Greater Cairo?
31,EG-DIA-31,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه الحفله اللي بتتعمل قبل الفرح في القاهرة الكبرى؟,What event is usually held before a wedding in Greater Cairo?
32,EG-DIA-32,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه هي الانشطه اللي بتتعمل قبل رمضان في القاهرة الكبرى؟,What activities are usually done days before Ramadan in Greater Cairo?
33,EG-DIA-33,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	, إيه أكتر مكان سياحي مشهور للزوار الأجانب في القاهرة الكبرى؟,What is the most popular tourist attraction for foreign visitors in Greater Cairo?
34,EG-DIA-34,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,اكتر اماكن دينيه ( مثال مسجد،كنيسه،معبد) مشهوره للسياحه في القاهرة الكبرى؟,"What is the most popular religious sites (mosque, church, temple, etc.) for tourism in Greater Cairo?"
35,EG-DIA-35,Food	,Indonesian (Indonesia)	,ايه اكتر مشروب بيتشرب  والجو ساقع في القاهرة الكبرى؟,What drink is commonly consumed in Greater Cairo when the weather is cold?
36,EG-DIA-36,Food	,Indonesian (Indonesia)	,ايه اكتر فاكهه بتتباع ومتوفره في رمضان في القاهرة الكبرى؟,What fruit is more commonly sold and found during Ramadan in Greater Cairo?
37,EG-DIA-37,Food	,Indonesian (Indonesia)	,ايه النشويات اللي بتتقدم مع الفراخ في المطاعم في القاهرة الكبرى؟,What carbohydrate is usually served with chicken in a fast-food restaurant in Greater Cairo?
38,EG-DIA-38,Sport,Indonesian (Indonesia)	,عادة المدارس بيكون فيها إيه من ملاعب أو تجهيزات رياضية في القاهرة الكبرى؟,What sports field facilities are usually available at schools in Greater Cairo?
39,EG-DIA-39,Food	,Korean (South Korea),إيه أكتر مشروب كافيه الناس في القاهرة الكبرى بيستمتعوا بيه؟,What cafe beverage do people from Greater Cairo most commonly enjoy?
40,EG-DIA-40,Food	,Korean (South Korea), إيه أكتر أكل بيتعمل دليفري في القاهرة الكبرى؟,What is the typical delivery food in Greater Cairo?
