,ID,Topic,Source,Question,Translation
0,EG-DIA-01,Food,English (US),ايه اكتر سناكس  بيحبو اطفال مصر  ف الحضانه؟,What is a common snack for preschool kids in Egypt?
1,EG-DIA-02,Food,English (US),ايه اكتر فاكهه مشهوره في مصر؟,What is the most popular fruit in Egypt?
2,EG-DIA-03,Education,English (US),علي كام سنه بيدخل الطفل الحضانه في مصر؟(استخدم رقم مثلا 12),"At what age do kids start preschool in Egypt?(use arabic numerals) (e.g., 12) only.)"
3,EG-DIA-04,Holidays/Celebration/Leisure	,English (US) ,ازاي الناس بتحتفل بشم النسيم في مصر؟,What do people do to celebrate Easter in Egypt?
4,EG-DIA-05,Holidays/Celebration/Leisure	,English (US),ايه الاكله اللي ليها علاقه بشم النسيم في مصر؟,What food is associated with Easter in Egypt?
5,EG-DIA-06,Food,Spanish (Spain),ايه اكتر مكون بيستخدم فالاكل في مصر؟,What is the most common ingredient used in Egypt's diet?
6,EG-DIA-07,Food,Spanish (Spain),ايه الحلوي اللي بياكلوها المصريين بعد الاكل؟,What do people from Egypt usually eat for dessert?
7,EG-DIA-08,Food,Spanish (Spain),اشهر مشروب ساخن في مصر؟,Which is the most popular hot drink in Egypt?
8,EG-DIA-09,Family,Spanish (Spain),إيه نوع البيت المعتاد للعيلة في مصر؟,Which is the typical type of house for a family in Egypt?
9,EG-DIA-10,Family,Spanish (Spain),ايه الاماكن المشهوره اللي العيله في مصر بتروحها للمصيف؟,What destination is commonly chosen for a family vacation in Egypt?
10,EG-DIA-11,Work life	,Korean (South Korea)	,ايه السلعه المشهوره بيها مصر للتصدير؟,What is the representative export item of Egypt?
11,EG-DIA-12,Family,Korean (South Korea)	,ايه اكتر هديه ممكن تجيبها وانت بتزور اهالي كبار فالسن في مصر؟,What is the common gift you give when visiting elderly parents in Egypt?
12,EG-DIA-13,Education	,Korean (South Korea)	,طالب الابتدائي بيروح المدرسه ازاي في مصر؟,How do elementary school students in Egypt go to school?
13,EG-DIA-14,Education	,Korean (South Korea)	,ايه اكتر مدينه فيها اكبر حماس للدراسه في مصر؟,Which region (within a city) in Egypt has the highest academic fervor?
14,EG-DIA-15,Sport,Spanish (Spain),ايه اشهر رياضه بتتلعب من غير كوره في مصر؟,What is the most popular sport played without a ball in Egypt?
15,EG-DIA-16,Food,Chinese (China)	,الناس في مصر بيحبوا يشربوا إيه مشروبات غازية؟,What soft drink do people in Egypt like to have?
16,EG-DIA-17,Food,Chinese (China)	,الناس في مصر بيحبوا يشربوا شوربة إيه؟,What kind of soup do people from Egypt like to have?
17,EG-DIA-18,Food,Chinese (China)	,الناس في مصر بيحبوا ياكلوا إيه أكل شارع؟,What street food do people from Egypt like to eat?
18,EG-DIA-19,Food,Chinese (China)	,الناس في مصر بيحبوا ياكلوا إيه مأكولات بحرية؟,What kind of seafood do people from Egypt like to eat
19,EG-DIA-20,Holidays/Celebration/Leisure,Chinese (China)	,الناس بيستخدموا مواصلات عامه ايه لما بيسافرو داخل المدن في مصر؟,What is the most commonly used public transport by people when travelling between cites in Egypt?
20,EG-DIA-21,Holidays/Celebration/Leisure        ,Chinese (China)	,الستات في العشرينات عادة بيعملوا إيه في وقت الفراغ في مصر؟,What is the common leisure activity that females in their 20s in Egypt engage in?
21,EG-DIA-22,Holidays/Celebration/Leisure	,Chinese (China)	,الرجال في العشرينات عاده بيعملوا ايه في وقت الفراغ في مصر؟,What is the common leisure activity that males in their 20s in Egypt engage in?
