,ID,Topic,Source,Question,Translation
0,EG-MSA-01,Food,English (US),ماذا يأكل الأطفال كوجبة خفيفة في الحضانة في مصر؟,What is a common snack for preschool kids in Egypt?
1,EG-MSA-02,Food,English (US),ما هي الفاكهة الأكثر شعبية في مصر؟,What is the most popular fruit in Egypt?
2,EG-MSA-03,Education,English (US),في أي سن يبدأ الأطفال الذهاب للحضانة في مصر؟ (يرجي استعمال الأرقام العربية فقط (12 على سبيل المثال) ).,"At what age do kids start nursery in Egypt? (Provide Arabic numerals (e.g., 12) only.)"
3,EG-MSA-04,Holidays/Celebration/Leisure	,English (US) ,ماذا يفعل الناس للاحتفال  بشم النسيم في مصر؟,What do people do to celebrate Easter in Egypt?
4,EG-MSA-05,Holidays/Celebration/Leisure	,English (US),أي نوع من الطعام يرتبط بشم النسيم في مصر؟,What food is associated with Easter in Egypt?
5,EG-MSA-06,Food,Spanish (Spain),ما هو أكثر مكون شائع الاستخدام في النظام الغذائي المصري؟,What is the most common ingredient used in Egypt's diet?
6,EG-MSA-07,Food,Spanish (Spain),ماذا يأكل الناس في مصر عادة للتحلية بعد الطعام؟,What do people from Egypt usually eat for dessert?
7,EG-MSA-08,Food,Spanish (Spain),ما هو المشروب الساخن الأكثر شعبية في مصر؟,Which is the most popular hot drink in Egypt?
8,EG-MSA-09,Family,Spanish (Spain),ما هو النوع المنتشر (التقليدي) لمنازل العائلات في مصر؟,Which is the typical type of house for a family in Egypt?
9,EG-MSA-10,Family,Spanish (Spain),ما هي الوجهة التي تُختار عادةً لقضاء عطلة عائلية في مصر؟,What  destination is commonly chosen for a family vacation in Egypt?
10,EG-MSA-11,Work life	,Korean (South Korea)	,ما هو أهم منتج تصدره مصر؟,What is the representative export item of Egypt?
11,EG-MSA-12,Family,Korean (South Korea)	,ما هي الهدية التي تقدمها عند زيارة الوالدين المسنين في مصر؟,What is the common gift you give when visiting elderly parents in Egypt?
12,EG-MSA-13,Education	,Korean (South Korea)	,كيف يذهب طلاب المرحلة الابتدائية إلى المدرسة في مصر؟,How do elementary school students in Egypt go to school?
13,EG-MSA-14,Education	,Korean (South Korea)	,ما هي المنطقة داخل المدينة التي تشهد أكبر اهتمامٍ بالدراسة في مصر؟,Which region (within a city) in Egypt has the highest academic fervor?
14,EG-MSA-15,Sport,Spanish (Spain),ما هي أشهر رياضة تُلعب بدون كرة في مصر؟,What is the most popular sport played without a ball in Egypt?
15,EG-MSA-16,Food,Chinese (China)	,ما هو المشروب الغازي الذي يفضله الناس في مصر؟,What soft drink do people in Egypt like to have?
16,EG-MSA-17,Food,Chinese (China)	,ماهو الحساء الذي يحبه الناس في مصر؟,What kind of soup do people from Egypt like to have?
17,EG-MSA-18,Food,Chinese (China)	,ماهي الأكلات الشعبية التي يحب المصريون تناولها؟,What street food do people from Egypt like to eat?
18,EG-MSA-19,Food,Chinese (China)	,ماهي المأكولات البحرية التي يحبها المصريون؟,What kind of seafood do people from Egypt like to eat
19,EG-MSA-20,Holidays/Celebration/Leisure,Chinese (China)	,ما هي وسيلة النقل العمومي الأكثر استخداما عند السفر بين المدن في مصر؟,What is the most commonly used public transport by people when travelling between cites in Egypt?
20,EG-MSA-21,Holidays/Celebration/Leisure        ,Chinese (China)	,ما هي النشاطات الترفيهية التي تمارسها النساء في العشرينات عادة في مصر؟,What is the common leisure activity that females in their 20s in Egypt engage in?
21,EG-MSA-22,Holidays/Celebration/Leisure	,Chinese (China)	,ما هي النشاطات الترفيهية التي يمارسها الرجال في العشرينات عادة في مصر؟,What is the common leisure activity that males in their 20s in Egypt engage in?
22,EG-MSA-23,Work life	,Chinese (China)	,ماذا يتغذى الناس خلال أيام العمل عادة في مصر؟,What do people eat for lunch during the working days in Egypt?
23,EG-MSA-24,Work life	,Chinese (China)	,ما هو متوسط  مدة التنقل للعمل في مصر؟,"What is the average commute time (in minutes) for people in Egypt? (Provide Arabic numerals (e.g., 1) only.)"
24,EG-MSA-25,Work life	,Chinese (China)	,ما هي وسيلة النقل للذهاب إلى العمل الأكثر استعمالاً في مصر؟,What is the most common transportation that people take to get to work in Egypt?
25,EG-MSA-26,Food	,Persian (Iran),ما هي الأطعمة التي يعدّها الناس للضيوف في مصر؟,What food do the hosts usually prepare for the guests in Egypt?
26,EG-MSA-27,Food	,Persian (Iran),ما هو المشروب المعتاد في وجبة فطور الصباح في مصر؟,What is the usual drink consumed during breakfast in Egypt?
27,EG-MSA-28,Food	,Persian (Iran),ما هي الأطعمة التي يحضرها الناس عادة لنزهة عائلية في مصر؟,What food is usually prepared for a family picnic in Egypt?
28,EG-MSA-29,Food	,Persian (Iran),ماهو الطعام المصري الذي قد يُعتبر مقززًا بالنسبة لبقية العالم؟,Which food from Egypt is considered disgusting by the rest of the world?
29,EG-MSA-30,Food	,Persian (Iran),ما هو اسم الخبز الشعبي في مصر؟,What is the name of the popular bread in Egypt?
30,EG-MSA-31,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ماذا يقام عادة قبل الزفاف في مصر؟,What event is usually held before a wedding in Egypt?
31,EG-MSA-32,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ما هي الأنشطة التي تُمارس عادة في الأيام التي تسبق رمضان في مصر؟,What activities are usually done days before Ramadan in Egypt?
32,EG-MSA-33,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ما هو أشهر معلم سياحي للزوار الأجانب في مصر؟,What is the most popular tourist attraction for foreign visitors in Egypt?
33,EG-MSA-34,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ما هي أشهر المواقع الدينية (معبد، كنيسة، إلخ) للسياحة في مصر؟,"What is the most popular religious sites (mosque, church, temple, etc.) for tourism in Egypt?"
34,EG-MSA-35,Food	,Indonesian (Indonesia)	,ما هو المشروب المستهلك بكثرة عندما يكون الطقس باردا في مصر؟,What drink is commonly consumed in Egypt when the weather is cold?
35,EG-MSA-36,Food	,Indonesian (Indonesia)	,ماهو نوع الفواكه الذي يُباع ويُوجد بكثرة خلال شهر رمضان في مصر؟,What fruit is more commonly sold and found during Ramadan in Egypt?
36,EG-MSA-37,Food	,Indonesian (Indonesia)	,ما هي الكربوهيدرات التي تقدم عادة مع الدجاج في مطاعم الوجبات السريعة في مصر؟,What carbohydrate is usually served with chicken in a fast-food restaurant in Egypt?
37,EG-MSA-38,Sport,Indonesian (Indonesia)	,ما هي المرافق الرياضية المتوفرة في المدارس المصرية عادة؟,What sports field facilities are usually available at schools in Egypt?
38,EG-MSA-39,Food	,Korean (South Korea),ماهو المشروب الذي يستمتع به المصريون عادة في المقاهي؟,What cafe beverage do people from Egypt most commonly enjoy?
39,EG-MSA-40,Food	,Korean (South Korea),ما هو الطعام الذي يطلبه الكثيرون في مصر؟,What is the typical delivery food in Egypt?
40,EG-MSA-41,Food	,Korean (South Korea),ماهو نوع اللحوم الأكثر استهلاكا في مصر؟,What type of meat is consumed most by people from Egypt?
41,EG-MSA-42,Food	,Korean (South Korea),ماهي الفواكه التي يتناولها المصريون غالبًا في موسم الخريف؟,What fruit do people from Egypt  often eat in the autumn season?
42,EG-MSA-43,Food	,Korean (South Korea),ما هو الطبق الجانبي الأكثر شيوعاً في مصر؟,What side dish is the most commonly served on a dining table in Egypt?
43,EG-MSA-44,Food	,Korean (South Korea),ماذا يأكل الناس أثناء مشاهدة مباراة كرة قدم في مصر؟,What do people from Egypt eat while watching a football game?
44,EG-MSA-45,Food	,Korean (South Korea),ما هو الطعام المغذي الممثل لمصر؟,What is the representative nourishing food in Egypt?
45,EG-MSA-46,Sport,Korean (South Korea),من هو/هي أشهر لاعب/لاعبة كرة قدم في مصر؟,Who is the most famous football player in Egypt?
46,EG-MSA-47,Sport,Korean (South Korea),ماهو الحدث الرياضي الذي يتابعه المصريون بشغف في المنافسات الدولية؟,What sports event do people from Egypt passionately support the most in international competitions?
47,EG-MSA-48,Sport,Korean (South Korea),ما هو الطعام الذي يتناوله الناس في الملاعب الرياضية أثناء مشاهدة المباريات في مصر؟,What is the most commonly eaten food in sports stadiums while watching games in Egypt?
48,EG-MSA-49,Sport,Korean (South Korea),ما هي اللعبة الإلكترونية الأكثر شعبيةً في مصر؟,What is the most popular online game in Egypt?
49,EG-MSA-50,Holidays/Celebration/Leisure        ,Korean (South Korea),ما هو أشهر مكان لقضاء العطلة داخل الوطن بالنسبة للمصريين؟,What is the most popular domestic vacation spot for people from Egypt?
50,EG-MSA-51,Holidays/Celebration/Leisure        ,Korean (South Korea),ما هي أكثر هدية زواج شيوعا بين العروس والعريس في مصر؟,What is the most common wedding gift between bride and groom in Egypt?
51,EG-MSA-52,Holidays/Celebration/Leisure        ,Korean (South Korea),ما الذي يُهدى عادة لتهنئة صديق عند حضور زفافه في مصر؟,What is typically given as a congratulatory gesture when attending a friend's wedding in Egypt?
52,EG-MSA-53,Holidays/Celebration/Leisure        ,Korean (South Korea),ماهي الهدية التي يجب تقديمها عند حضور جنازة في مصر؟,What should you prepare as a condolence offering when attending a funeral in Egypt?
53,EG-MSA-54,Holidays/Celebration/Leisure        ,Korean (South Korea),ماهو الطعام الذي يقدم عادة في مراسم الجنازات في مصر؟,What type of food is commonly provided at funeral parlors in Egypt?
54,EG-MSA-55,Holidays/Celebration/Leisure        ,Korean (South Korea),ما هو اليوم الذي تشهد فيه مصر أشد ازدحام مروري على الصعيد الوطني؟,When is the day with Egypt's most severe nationwide traffic congestion?
55,EG-MSA-56,Holidays/Celebration/Leisure        ,Korean (South Korea),ما هي أشهر وجهة شهر عسل في مصر؟,What is the most popular honeymoon destination in Egypt?
56,EG-MSA-57,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,ما الذي يأكله المصريون خلال شهر رمضان؟,What do people from Egypt eat in Ramadan?
57,EG-MSA-58,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,ما الذي يأكله المصريون في عيد الفطر؟,What do people from Egypt eat in Eid ul Fitr?
58,EG-MSA-59,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,ماذا يأكل الناس المصريون في عيد الأضحى؟,What do people from Egypt eat in Eid ul Adha?
59,EG-MSA-60,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,أين تجتمع العائلة للاحتفال بعيد الفطر في مصر؟,Where do a family gather for Eid festivities in Egypt?
60,EG-MSA-61,Work life,Arabic (Algeria)	,ما هو العمل الذي يعتبر أكثر آمناً في مصر؟,What is considered to be a secure job in Egypt?
61,EG-MSA-62,Food,Arabic (Algeria)	,ما هو أشهر طبق في مصر؟,What is the most famous dish in Egypt?
62,EG-MSA-63,Food,Arabic (Algeria)	,ماذا يتناول الناس عادة للفطور في مصر؟,What do people usually have for breakfast in Egypt?
63,EG-MSA-64,Food,Arabic (Algeria)	,متى يتناول الناس الغداء في مصر عادة؟(قدّم الوقت بتنسيق الساعة:الدقيقة، مثل: 09:00 صباحًا، 06:00 مساءً).,"When do people usually have lunch in Egypt? (Provide in HH:MM format (e.g., 06:00PM, 09:00AM).)"
64,EG-MSA-65,Food,Arabic (Algeria)	,ما هو الشيء الأساسي الذي لا غنى عنه في الوجبات في مصر؟,What is typically indispensable in meals in Egypt?
65,EG-MSA-66,Food,Arabic (Algeria)	,أي نوع من الفواكه يقدمه الناس عادة للسياح/الزوار القادمين من الخارج في مصر؟,Which fruit do people usually offer tourists/visitors from abroad in Egypt?
66,EG-MSA-67,Food,Arabic (Algeria)	,أي نوع من الطعام يقدمه الناس عادة كصدقة في مصر؟,Which food do people usually offer as charity in Egypt?
67,EG-MSA-68,Food,Arabic (Algeria)	,ما هي أرخص الوجبات السريعة في مصر؟,What is the cheapest fast food in Egypt?
68,EG-MSA-69,Food,Arabic (Algeria)	,ماذا يتناول الناس عادة مع الشاي في مصر؟,What do people usually have with tea in Egypt?
69,EG-MSA-70,Food,Arabic (Algeria)	,ماذا يتناول الناس مع القهوة في مصر؟,What do people have with coffee in Egypt?
70,EG-MSA-71,Food,Amharic (Ethiopia)	,ما هو أشهر طعام تقليدي في مصر؟,What is the most popular traditional food in Egypt?
71,EG-MSA-72,Food,Amharic (Ethiopia)	,ما هي أشهر صلصة للتغميس في مصر؟,What is the most popular dipping sauce in Egypt?
72,EG-MSA-73,Food,Amharic (Ethiopia)	,ما هو الطعام الأكثر استهلاكا خلال صيام المسيحيين في مصر؟,What food is most often consumed during Christian fasting in Egypt?
73,EG-MSA-74,Food,Amharic (Ethiopia)	,ما هو الطعام الذي يُحضر عادةً عندما تلد الأمهات في مصر؟,What food is usually prepared when mothers give birth in Egypt?
74,EG-MSA-75,Work life	,Amharic (Ethiopia)	,ما هو الحيوان  الذي يستخدم للنقل في مصر؟,Which animal is typically used for transportation in Egypt?
75,EG-MSA-76,Holidays/Celebration/Leisure        ,Amharic (Ethiopia)	,ما هو أكثر شهر تقام فيه الأفراح في مصر؟,"What is the busiest month for weddings in Egypt? (Provide Arabic numerals (e.g., 1) only.)"
76,EG-MSA-77,Holidays/Celebration/Leisure        ,Amharic (Ethiopia)	,ما هي الآلة الموسيقية التقليدية الأكثر شعبية في مصر؟,What is the most popular traditional musical instrument in Egypt?
77,EG-MSA-78,Food,Assamese (Assam),ما هو المنتج الزراعي الرئيسي الذي يتم إنتاجه في مصر؟,What is the main agricultural product produced in Egypt?
78,EG-MSA-79,Food,Assamese (Assam),ما هو أشهر طعام مصنوع من القمح في مصر؟,What is the most popular wheat-based food item in Egypt?
79,EG-MSA-80,Food,Assamese (Assam),ما هو المشروب الذي يُقدم عادة للضيوف في مصر؟,What is the most typical drink offered to guests when they visit households in Egypt?
80,EG-MSA-81,Food,Assamese (Assam),ما هو أشهر طبق سمك في مصر؟,What is the most popular dish cooked with fish in Egypt?
81,EG-MSA-82,Food,Assamese (Assam),ما هي الأطعمة التي يفضلها المصريون عندما يكون الطقس ممطرا؟,What food do people from Egypt like to eat during rainy weather?
