MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,UpperEgypt,"ايه اكتر سناكس بيحبو اطفال الصعيد ف الحضانه؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. الآيس كريم
B. الفشار
C. الفواكهه القطع
D. بسكوت

الإجابة:","{
    ""A"": ""الآيس كريم"",
    ""B"": ""الفشار"",
    ""C"": ""الفواكهه القطع"",
    ""D"": ""بسكوت""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""GreaterCairo"",
    ""D"": ""UpperEgypt""
}",D
EG-DIA-03_0,EG-DIA-03,UpperEgypt,"علي كام سنه بيدخل الطفل الحضانه في الصعيد؟(استخدم رقم مثلا 12) من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. 2
B. 3
C. 4
D. 7

الإجابة:","{
    ""A"": ""2"",
    ""B"": ""3"",
    ""C"": ""4"",
    ""D"": ""7""
}","{
    ""A"": ""dummy"",
    ""B"": ""GreaterCairo"",
    ""C"": ""UpperEgypt"",
    ""D"": ""dummy""
}",C
EG-DIA-04_0,EG-DIA-04,UpperEgypt,"ازاي الناس بتحتفل بشم النسيم في الصعيد؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. الذهاب إلى الحدائق العامة
B. بياكلو فسيخ
C. عالبحر
D. كورنيش القاهره

الإجابة:","{
    ""A"": ""الذهاب إلى الحدائق العامة"",
    ""B"": ""بياكلو فسيخ"",
    ""C"": ""عالبحر"",
    ""D"": ""كورنيش القاهره""
}","{
    ""A"": ""LowerEgypt"",
    ""B"": ""Alexandria"",
    ""C"": ""UpperEgypt"",
    ""D"": ""GreaterCairo""
}",C
EG-DIA-05_0,EG-DIA-05,UpperEgypt,"ايه الاكله اللي ليها علاقه بشم النسيم في الصعيد؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. السمك المالح
B. الكشري
C. الملوخية
D. رنجه

الإجابة:","{
    ""A"": ""السمك المالح"",
    ""B"": ""الكشري"",
    ""C"": ""الملوخية"",
    ""D"": ""رنجه""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",A
EG-DIA-05_1,EG-DIA-05,UpperEgypt,"ايه الاكله اللي ليها علاقه بشم النسيم في الصعيد؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. الكشري
B. الملوحه
C. الملوخية
D. رنجه

الإجابة:","{
    ""A"": ""الكشري"",
    ""B"": ""الملوحه"",
    ""C"": ""الملوخية"",
    ""D"": ""رنجه""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",B
EG-DIA-05_2,EG-DIA-05,UpperEgypt,"ايه الاكله اللي ليها علاقه بشم النسيم في الصعيد؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. الفسيخ
B. الكشري
C. الملوخية
D. رنجه

الإجابة:","{
    ""A"": ""الفسيخ"",
    ""B"": ""الكشري"",
    ""C"": ""الملوخية"",
    ""D"": ""رنجه""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",A
EG-DIA-06_0,EG-DIA-06,UpperEgypt,"ايه اكتر مكون بيستخدم فالاكل في الصعيد؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. الطماطم
B. الملح
C. بصل
D. توابل

الإجابة:","{
    ""A"": ""الطماطم"",
    ""B"": ""الملح"",
    ""C"": ""بصل"",
    ""D"": ""توابل""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""GreaterCairo"",
    ""C"": ""LowerEgypt"",
    ""D"": ""Alexandria""
}",A
EG-DIA-07_0,EG-DIA-07,UpperEgypt,"ايه الحلوي اللي بياكلوها الصعايده بعد الاكل؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. أم علي
B. البسبوسه
C. المهلبية
D. لقمة القاضي

الإجابة:","{
    ""A"": ""أم علي"",
    ""B"": ""البسبوسه"",
    ""C"": ""المهلبية"",
    ""D"": ""لقمة القاضي""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-08_0,EG-DIA-08,UpperEgypt,"اشهر مشروب ساخن في الصعيد؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. السحلب
B. الشاي
C. القهوة التركية
D. شاى بالمرمريه

الإجابة:","{
    ""A"": ""السحلب"",
    ""B"": ""الشاي"",
    ""C"": ""القهوة التركية"",
    ""D"": ""شاى بالمرمريه""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""dummy"",
    ""D"": ""Sinai""
}",B
EG-DIA-09_0,EG-DIA-09,UpperEgypt,"إيه نوع البيت المعتاد للعيلة في الصعيد؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. ايجار
B. بيت العيله
C. عماره
D. فيلا

الإجابة:","{
    ""A"": ""ايجار"",
    ""B"": ""بيت العيله"",
    ""C"": ""عماره"",
    ""D"": ""فيلا""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""LowerEgypt"",
    ""C"": ""UpperEgypt"",
    ""D"": ""dummy""
}",C
