,ID,Topic,Source,Question,Translation
0,EG-DIA-01,Food,English (US),ماذا يأكل الأطفال كوجبة خفيفة في الحضانة في الصعيد؟,What is a common snack for preschool kids in Upper Egypt?
1,EG-DIA-02,Food,English (US),ما هي الفاكهة الأكثر شعبية في الصعيد؟,What is the most popular fruit in Upper Egypt?
2,EG-DIA-03,Education,English (US),في أي سن يبدأ الأطفال الذهاب للحضانة في الصعيد؟ (يرجي استعمال الأرقام العربية فقط (12 على سبيل المثال) ).,"At what age do kids start nursery in Upper Egypt? (Provide Arabic numerals (e.g., 12) only.)"
3,EG-DIA-04,Holidays/Celebration/Leisure	,English (US) ,ماذا يفعل الناس للاحتفال  بشم النسيم في الصعيد؟,What do people do to celebrate Easter in Upper Egypt?
4,EG-DIA-05,Holidays/Celebration/Leisure	,English (US),أي نوع من الطعام يرتبط بشم النسيم في الصعيد؟,What food is associated with Easter in Upper Egypt?
5,EG-DIA-06,Food,Spanish (Spain),ما هو أكثر مكون شائع الاستخدام في النظام الغذائي في الصعيد؟,What is the most common ingredient used in Upper Egypt's diet?
6,EG-DIA-07,Food,Spanish (Spain),ماذا يأكل الناس في الصعيد عادة للتحلية بعد الطعام؟,What do people from Upper Egypt usually eat for dessert?
7,EG-DIA-08,Food,Spanish (Spain),ما هو المشروب الساخن الأكثر شعبية في الصعيد؟,Which is the most popular hot drink in Upper Egypt?
8,EG-DIA-09,Family,Spanish (Spain),ما هو النوع المنتشر (التقليدي) لمنازل العائلات في الصعيد؟,Which is the typical type of house for a family in Upper Egypt?
9,EG-DIA-10,Family,Spanish (Spain),ما هي الوجهة التي تُختار عادةً لقضاء عطلة عائلية في الصعيد؟,What  destination is commonly chosen for a family vacation in Upper Egypt?
10,EG-DIA-11,Work life	,Korean (South Korea)	,ما هو أهم منتج تصدره في الصعيد؟,What is the representative export item of Upper Egypt?
11,EG-DIA-12,Family,Korean (South Korea)	,ما هي الهدية التي تقدمها عند زيارة الوالدين المسنين في الصعيد؟,What is the common gift you give when visiting elderly parents in Upper Egypt?
12,EG-DIA-13,Education	,Korean (South Korea)	,كيف يذهب طلاب المرحلة الابتدائية إلى المدرسة في الصعيد؟,How do elementary school students in Upper Egypt go to school?
13,EG-DIA-14,Education	,Korean (South Korea)	,ما هي المنطقة داخل المدينة التي تشهد أكبر اهتمامٍ بالدراسة في الصعيد؟,Which region (within a city) in Upper Egypt has the highest academic fervor?
