,ID,Topic,Source,Question,Translation
1,Al-en-01,Food,English (US),ايه اكتر سناكس  بيحبو اطفال الصعيد  ف الحضانه؟,What is a common snack for preschool kids in Upper Egypt?
2,Al-en-04,Food,English (US),ايه اكتر فاكهه مشهوره في الصعيد؟,What is the most popular fruit in Upper Egypt?
3,Al-en-16,Education,English (US),علي كام سنه بيدخل الطفل الحضانه في الصعيد؟(استخدم رقم مثلا 4),"At what age do kids start preschool in Upper Egypt?(use arabic numerals) (e.g., 4) only.)"
4,Al-en-35,Holidays/Celebration/Leisure	,English (US) ,ازاي الناس بتحتفل بشم النسيم في الصعيد؟,What do people do to celebrate Christmas in Upper Egypt?
5,Al-en-37,Holidays/Celebration/Leisure	,English (US),ايه الاكله اللي ليها علاقه بشم النسيم في الصعيد؟,What food is associated with Christmas in Upper Egypt?
6,Ca-sp-08,Food,Spanish (Spain),ايه اكتر مكون بيستخدم فالاكل في الصعيد؟,What is the most common ingredient used in Upper Egypt's diet?
7,Ca-sp-09,Food,Spanish (Spain),ايه الحلوي اللي بياكلوها الصعايده بعد الاكل؟,What do people from Upper Egypt usually eat for dessert?
8,Ca-sp-14,Food,Spanish (Spain),اشهر مشروب ساخن في الصعيد؟,Which is the most popular hot drink in Upper Egypt?
9,Ca-sp-38,Family,Spanish (Spain),إيه نوع البيت المعتاد للعيلة في الصعيد؟,Which is the typical type of house for a family in Upper Egypt?
10,Ca-sp-45,Family,Spanish (Spain),ايه الاماكن المشهوره اللي العيله في الصعيد بتروحها للمصيف؟,What type of destination is commonly chosen for a family vacation in Upper Egypt?
11,Gu-ch-16,Family,Chinese (China)	,كام شخص في العائله في الصعيد؟ (استخدم رقم مثلا 6),"""How many people are there in a family on average in Upper Egypt? (Provide Arabic numerals (e.g., 6) only)"""
12,Gu-ch-18,Family,Chinese (China)	,كام طفل في العائله في الصعيد؟ (استخدم رقم مثلا 4),"""How many children do couples usually have in Upper Egypt? (Provide Arabic numerals (e.g., 4) only.)"""
13,Ji-ko-07,Work life	,Korean (South Korea)	,ايه اشهر شركه خاصه في الصعيد؟,What is the most famous private company in Upper Egypt?
14,Ji-ko-14,Work life	,Korean (South Korea)	,ايه السلعه  المشهوره بيها الصعيد للتصدير؟,What is the representative export item of Upper Egypt?
15,Ji-ko-27,Family,Korean (South Korea)	,ايه اكتر هديه ممكن تجيبها وانت بتزور اهالي كبار فالسن في الصعيد؟,What is the common gift you give when visiting elderly parents in Upper Egypt?
16,Ji-ko-34,Education	,Korean (South Korea)	,طالب الابتدائي بيروح المدرسه ازاي في الصعيد؟,How do elementary school students in Upper Egypt go to school?
17,Ji-ko-44,Education	,Korean (South Korea)	,ايه اكتر مدينه فيها اكبر حماس للدراسه في الصعيد؟,Which region (within a city) in Upper Egypt has the highest academic fervor?
18,Jo-sp-02,Sport,Spanish (Spain),ايه اشهر رياضه بتتلعب من غير كوره في الصعيد؟,What is the most popular sport played without a ball in Upper Egypt?
19,Jod-ch-04,Food,Chinese (China)	,الناس في الصعيد بيحبوا يشربوا إيه مشروبات غازية؟,What soft drink do people in Upper Egypt like to have?
20,Jod-ch-12,Food,Chinese (China)	,الناس في الصعيد بيحبوا يشربوا شوربة إيه؟,What kind of soup do people from Upper Egypt like to have?
21,Jod-ch-13,Food,Chinese (China)	,الناس في الصعيد بيحبوا ياكلوا إيه أكل شارع؟,What street food do people from Upper Egypt like to eat?
22,Jod-ch-15,Food,Chinese (China)	,الناس في الصعيد بيحبوا ياكلوا إيه مأكولات بحرية؟,What kind of seafood do people from Upper Egypt like to eat
23,Jod-ch-28,Holidays/Celebration/Leisure,Chinese (China)	,الناس بيستخدموا مواصلات عامه ايه لما بيسافرو داخل المدن في الصعيد؟,What is the most commonly used public transport by people when travelling between cites in Upper Egypt?
24,Jod-ch-41,Holidays/Celebration/Leisure        ,Chinese (China)	,الستات في العشرينات عادة بيعملوا إيه في وقت الفراغ في الصعيد؟,What is the common leisure activity that females in their 20s in Upper Egypt engage in?
25,Jod-ch-42	,Holidays/Celebration/Leisure	,Chinese (China)	,الرجال في العشرينات عاده بيعملوا ايه في وقت الفراغ في الصعيد؟,What is the common leisure activity that males in their 20s in Upper Egypt engage in?
26,Jod-ch-48	,Work life	,Chinese (China)	,الناس بيأكلو ايه للغدا في ايام الشغل في الصعيد؟,What do people eat for lunch during the working days in Upper Egypt?
27,Jod-ch-50	,Work life	,Chinese (China)	,وقت  المواصلات فالمتوسط للشغل  كام دقيقه في الصعيد؟ (استخدم رقم مثلا 10),"What is the average commute time (in minutes) for people in Upper Egypt? (Provide Arabic numerals (e.g., 10) only.)"
28,Jod-ch-51	,Work life	,Chinese (China)	,أكتر وسيلة مواصلات الناس بيستخدموها عشان يروحوا الشغل في الصعيد إيه؟,What is the most common transportation that people take to get to work in Upper Egypt?
29,Jod-ch-60	,Work life	,Chinese (China)	, كام ساعه بنقضيها فالشغل في الصعيد؟ (استخدم رقم من0 الي 24),What is the duration (in hours) of a typical workday in Upper Egypt?  (Provide Arabic numerals (0~24) only.)
30,Ki-pe-17        ,Education,Persian (Iran),الطلاب بيوصلو تعليمهم لحد فين في الصعيد؟(مثال عدادي،ثانوي),"On average, how far do students typically pursue their education in Upper Egypt? (e.g., elementary, high school)"
31,Ki-pe-32	,Food	,Persian (Iran),الناس بيعملوا اكل ايه للضيوف في الصعيد؟,What food do the hosts usually prepare for the guests in Upper Egypt?
32,Ki-pe-34	,Food	,Persian (Iran),عادة بيشربوا إيه على الفطار في الصعيد؟,What is the usual drink in the breakfast in Upper Egypt?
33,Ki-pe-39	,Food	,Persian (Iran),بيعملو اكل ايه في نزهه العيله في الصعيد؟,What food is usually prepared for a family picnic in Upper Egypt?
34,Ki-pe-40	,Food	,Persian (Iran),ايه الاكل الصعيدي اللي ممكن الناس بره مصر تشوفو مقرف؟,Which food from Upper Egypt is considered disgusting by the rest of the world?
35,Ki-pe-43	,Food	,Persian (Iran),إيه اسم العيش المشهور في الصعيد ؟,What is the name of the popular bread in Upper Egypt?
36,Kik-in-06	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه الحفله اللي بتتعمل قبل الفرح في الصعيد؟,What event is usually held before a wedding in Upper Egypt?
37,Kik-in-08	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه هي الانشطه اللي بتتعمل قبل رمضان في الصعيد؟,What activities are usually done days before Ramadan in Upper Egypt?
