,ID,Topic,Source,Question,Translation
1,Al-en-01,Food,English (US),ايه اكترسناكس بيحبواطفال الوجه البحري ف الحضانه؟,What is a common snack for preschool kids in Lower Egypt?
2,Al-en-04,Food,English (US),ايه اكتر فاكهه مشهوره في الوجه البحري؟,What is the most popular fruit in Lower Egypt?
3,Al-en-16,Education,English (US),علي كام سنه بيدخل الطفل الحضانه في الوجه البحري؟(استخدم رقم مثلا 4),"At what age do kids start preschool in Lower Egypt?(use arabic numerals) (e.g., 4) only.)"
4,Al-en-35,Holidays/Celebration/Leisure	,English (US) ,ازاي الناس بتحتفل بشم النسيم في الوجه البحري؟,What do people do to celebrate Christmas in Lower Egypt?
5,Al-en-37,Holidays/Celebration/Leisure	,English (US),ايه الاكله اللي ليها علاقه بشم النسيم في الوجه البحري؟,What food is associated with Christmas in Lower Egypt?
6,Ca-sp-08,Food,Spanish (Spain),ايه اكتر مكون بيستخدم فالاكل في الوجه البحري؟,What is the most common ingredient used in Lower Egypt's diet?
7,Ca-sp-09,Food,Spanish (Spain),ايه الحلوي اللي بياكلوها في الوجه البحري بعد الاكل؟,What do people from Lower Egypt usually eat for dessert?
8,Ca-sp-14,Food,Spanish (Spain),اشهر مشروب ساخن في الوجه البحري؟,Which is the most popular hot drink in Lower Egypt?
9,Ca-sp-38,Family,Spanish (Spain),إيه نوع البيت المعتاد للعيلة في الوجه البحري؟,Which is the typical type of house for a family in Lower Egypt?
10,Ca-sp-45,Family,Spanish (Spain),ايه الاماكن المشهوره اللي العيله في الوجه البحري بتروحها للمصيف؟,What type of destination is commonly chosen for a family vacation in Lower Egypt?
11,Gu-ch-16,Family,Chinese (China)	,كام شخص في العائله في الوجه البحري؟ (استخدم رقم مثلا 6),"""How many people are there in a family on average in Lower Egypt? (Provide Arabic numerals (e.g., 6) only)"""
12,Gu-ch-18,Family,Chinese (China)	,كام طفل في العائله في الوجه البحري؟ (استخدم رقم مثلا 4),"""How many children do couples usually have in Lower Egypt? (Provide Arabic numerals (e.g., 4) only.)"""
13,Ji-ko-07,Work life	,Korean (South Korea)	,ايه اشهر شركه خاصه في الوجه البحري؟,What is the most famous private company in Lower Egypt?
14,Ji-ko-14,Work life	,Korean (South Korea)	,ايه السلعه  المشهوره بيها الوجه البحري للتصدير؟,What is the representative export item of Lower Egypt?
15,Ji-ko-27,Family,Korean (South Korea)	,ايه اكتر هديه ممكن تجيبها وانت بتزور اهالي كبار فالسن في الوجه البحري؟,What is the common gift you give when visiting elderly parents in Lower Egypt?
16,Ji-ko-34,Education	,Korean (South Korea)	,طالب الابتدائي بيروح المدرسه ازاي في الوجه البحري؟,How do elementary school students in Lower Egypt go to school?
17,Ji-ko-44,Education	,Korean (South Korea)	,ايه اكتر مدينه فيها اكبر حماس للدراسه في الوجه البحري؟,Which region (within a city) in Lower Egypt has the highest academic fervor?
18,Jo-sp-02,Sport,Spanish (Spain),ايه اشهر رياضه بتتلعب من غير كوره في الوجه البحري؟,What is the most popular sport played without a ball in Lower Egypt?
19,Jod-ch-04,Food,Chinese (China)	,الناس في الوجه البحري بيحبوا يشربوا إيه مشروبات غازية؟,What soft drink do people in Lower Egypt like to have?
20,Jod-ch-12,Food,Chinese (China)	,الناس في الوجه البحري بيحبوا يشربوا شوربة إيه؟,What kind of soup do people from Lower Egypt like to have?
21,Jod-ch-13,Food,Chinese (China)	,الناس في الوجه البحري بيحبوا ياكلوا إيه أكل شارع؟,What street food do people from Lower Egypt like to eat?
22,Jod-ch-15,Food,Chinese (China)	,الناس في الوجه البحري بيحبوا ياكلوا إيه مأكولات بحرية؟,What kind of seafood do people from Lower Egypt like to eat
23,Jod-ch-28,Holidays/Celebration/Leisure,Chinese (China)	,الناس بيستخدموا مواصلات عامه ايه لما بيسافرو داخل المدن في الوجه البحري؟,What is the most commonly used public transport by people when travelling between cites in Lower Egypt?
24,Jod-ch-41,Holidays/Celebration/Leisure        ,Chinese (China)	,الستات في العشرينات عادة بيعملوا إيه في وقت الفراغ في الوجه البحري؟,What is the common leisure activity that females in their 20s in Lower Egypt engage in?
25,Jod-ch-42	,Holidays/Celebration/Leisure	,Chinese (China)	,الرجال في العشرينات عاده بيعملوا ايه في وقت الفراغ في الوجه البحري؟,What is the common leisure activity that males in their 20s in Lower Egypt engage in?
26,Jod-ch-48	,Work life	,Chinese (China)	,الناس بيأكلو ايه للغدا في ايام الشغل في الوجه البحري؟,What do people eat for lunch during the working days in Lower Egypt?
27,Jod-ch-50	,Work life	,Chinese (China)	,وقت المواصلات فالمتوسط للشغل  كام دقيقه في الوجه البحري؟ (استخدم رقم مثلا 10),"What is the average commute time (in minutes) for people in Lower Egypt? (Provide Arabic numerals (e.g., 10) only.)"
28,Jod-ch-51	,Work life	,Chinese (China)	,أكتر وسيلة مواصلات الناس بيستخدموها عشان يروحوا الشغل في الوجه البحري إيه؟,What is the most common transportation that people take to get to work in Lower Egypt?
29,Jod-ch-60	,Work life	,Chinese (China)	, كام ساعه بنقضيها فالشغل في الوجه البحري؟ (استخدم رقم من 0 الي 24),What is the duration (in hours) of a typical workday in Lower Egypt?  (Provide Arabic numerals (0~24) only.)
30,Ki-pe-17        ,Education,Persian (Iran),الطلاب بيوصلو تعليمهم لحد فين في الوجه البحري؟(مثال عدادي،ثانوي),"On average, how far do students typically pursue their education in Lower Egypt? (e.g., elementary, high school)"
31,Ki-pe-32	,Food	,Persian (Iran),الناس بيعملوا اكل ايه للضيوف في الوجه البحري؟,What food do the hosts usually prepare for the guests in Lower Egypt?
32,Ki-pe-34	,Food	,Persian (Iran),عادة بيشربوا إيه على الفطار في الوجه البحري؟,What is the usual drink in the breakfast in Lower Egypt?
33,Ki-pe-39	,Food	,Persian (Iran),بيعملو اكل ايه في نزهه العيله في الوجه البحري؟,What food is usually prepared for a family picnic in Lower Egypt?
34,Ki-pe-40	,Food	,Persian (Iran),ايه الاكل اللي في الوجه البحري اللي ممكن الناس بره مصر تشوفوا مقرف؟,Which food from Lower Egypt is considered disgusting by the rest of the world?
35,Ki-pe-43	,Food	,Persian (Iran),إيه اسم العيش المشهور في الوجه البحري؟,What is the name of the popular bread in Lower Egypt?
36,Kik-in-06	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه الحفله اللي بتتعمل قبل الفرح في الوجه البحري؟,What event is usually held before a wedding in Lower Egypt?
37,Kik-in-08	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه هي الانشطه اللي بتتعمل قبل رمضان في الوجه البحري؟,What activities are usually done days before Ramadan in Lower Egypt?
38,Kik-in-10	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,إيه أكتر مكان سياحي مشهور للزوار الأجانب في الوجه البحري؟,What is the most popular tourist attraction for foreign visitors in Lower Egypt?
39,Kik-in-11	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,اكتر اماكن دينيه ( مثال مسجد،كنيسه،معبد) مشهوره للسياحه في الوجه البحري؟,"What is the most popular religious sites (mosque, church, temple, etc.) for tourism in Lower Egypt?"
40,Kik-in-16	,Food	,Indonesian (Indonesia)	,ايه اكتر مشروب بيتشرب  والجو ساقع في الوجه البحري؟,What drink is commonly consumed in Lower Egypt when the weather is cold?
41,Kik-in-17	,Food	,Indonesian (Indonesia)	,ايه اكتر فاكهه بتتباع ومتوفره في رمضان في الوجه البحري؟,What fruit is more commonly sold and found during Ramadan in Lower Egypt?
42,Kik-in-24	,Food	,Indonesian (Indonesia)	,ايه النشويات اللي بتتقدم مع الفراخ في المطاعم في الوجه البحري؟,What carbohydrate is usually served with chicken in a fast-food restaurant in Lower Egypt?
43,Kik-in-45	,Sport,Indonesian (Indonesia)	,عادة المدارس بيكون فيها إيه من ملاعب أو تجهيزات رياضية في الوجه البحري؟,What sports field facilities are usually available at schools in Lower Egypt?
44,Na-ko-02,Food	,Korean (South Korea),إيه أكتر مشروب كافيه الناس في الوجه البحري بيستمتعوا بيه؟,What cafe beverage do people from Lower Egypt most commonly enjoy?
45,Na-ko-05	,Food	,Korean (South Korea),إيه أكتر أكل بيتعمل دليفري في الوجه البحري؟,What is the typical delivery food in Lower Egypt?
46,Na-ko-07	,Food	,Korean (South Korea),إيه أكتر نوع لحم الناس بتاكله في الوجه البحري؟,What type of meat is consumed most by people from Lower Egypt?
47,Na-ko-08	,Food	,Korean (South Korea), إيه أكتر فاكهة الناس بيأكلوها في الخريف في الوجه البحري؟,What fruit do people from Lower Egypt  often eat in the autumn season?
48,Na-ko-09	,Food	,Korean (South Korea),إيه أكتر طبق جانبي بيتقدم على السفرة في الوجه البحري؟,What side dish is the most commonly served on a dining table in Lower Egypt?
49,Na-ko-11	,Food	,Korean (South Korea),الناس بيأكلوا إيه وهما بيتفرجوا على ماتش كورة في الوجه البحري؟,What do people from Lower Egypt eat while watching a soccer game?
50,Na-ko-15	,Food	,Korean (South Korea),إيه أكتر أكل مغزي في الوجه البحري؟,What is the representative nourishing food in Lower Egypt?
51,Na-ko-16	,Sport,Korean (South Korea),مين اشهر لاعب كوره قدم في الوجه البحري؟,Who is the most famous soccer player in Lower Egypt?
52,Na-ko-20	,Sport,Korean (South Korea),إيه أكتر بطولة رياضية الناس في الوجه البحري بتحب تشجعها في البطولات الدولية؟,What sports event do people from Lower Egypt passionately support the most in international competitions?
53,Na-ko-24	,Sport,Korean (South Korea), إيه أكتر أكل الناس بتاكله في الاستاد وهي بتتفرج على الماتشات في الوجه البحري؟,What is the most commonly eaten food in sports stadiums while watching games in Lower Egypt?
54,Na-ko-30	,Sport,Korean (South Korea),اكتر لعبه إلكترونيه مشهوره في الوجه البحري؟,What is the most popular e-sports game in Lower Egypt?
55,Na-ko-37	,Holidays/Celebration/Leisure        ,Korean (South Korea),إيه أكتر مكان سياحي جوه الوجه البحري الناس بتحب تروحه في الإجازات؟,What is the most popular domestic vacation spot for people from Lower Egypt?
56,Na-ko-38	,Holidays/Celebration/Leisure        ,Korean (South Korea), إيه أكتر هدية شائعة بين العريس والعروسة في الوجه البحري؟,What is the most common wedding gift between bride and groom in Lower Egypt?
57,Na-ko-39	,Holidays/Celebration/Leisure        ,Korean (South Korea),اكتر هديه بناخدها للعريس والعروسه في الوجه البحري؟,What is typically given as a congratulatory gesture when attending a friend's wedding in Lower Egypt?
58,Na-ko-40	,Holidays/Celebration/Leisure        ,Korean (South Korea), كام يوم حداد علي الميت في الوجه البحري؟ (استخدم رقم مثلا 12),"How long (in days) does a funeral typically last in Lower Egypt? (Provide Arabic numerals (e.g., 12) only.)"
59,Na-ko-41	,Holidays/Celebration/Leisure        ,Korean (South Korea),بيتاخد ايه واحنا رايحين العزا في الوجه البحري؟,What should you prepare as a condolence offering when attending a funeral in Lower Egypt?
60,Na-ko-42	,Holidays/Celebration/Leisure        ,Korean (South Korea),ايه الاكل اللي بيتقدم في العزا في الوجه البحري؟,What type of food is commonly provided at funeral parlors in Lower Egypt?
61,Na-ko-44	,Holidays/Celebration/Leisure        ,Korean (South Korea),ايه اكتر يوم بيكون شديد الزحام في الوجه البحري؟,When is the day with Lower Egypt's most severe nationwide traffic congestion?
62,Na-ko-45	,Holidays/Celebration/Leisure        ,Korean (South Korea),ايه اكتر مكان شهرعسل مشهور في الوجه البحري؟,What is the most popular honeymoon destination in Lower Egypt?
63,Ne-ar-06	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,الناس في الوجه البحري بياكلو ايه في رمضان؟,What do people from Lower Egypt eat in Ramadan?
64,Ne-ar-09	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,الناس في الوجه البحري بياكلوا ايه في عيد الفطر؟,What do people from Lower Egypt eat in Eid ul Fitr?
65,Ne-ar-10	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,الناس في الوجه البحري بياكلوا ايه في عيد الاضحي؟,What do people from Lower Egypt eat in Eid ul Adha?
66,Ne-ar-14	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,العائله بتتجمع فين للاحتفال بعيد الفطر في الوجه البحري؟,Where do a family gather for Eid festivities in Lower Egypt?
