,ID,Topic,Source,Question,Translation
0,EG-DIA-01,Food,English (US),ماذا يأكل الأطفال كوجبة خفيفة في الحضانة في مدن القناة؟,What is a common snack for preschool kids in The Suez Canal Cities?
1,EG-DIA-02,Food,English (US),ما هي الفاكهة الأكثر شعبية في مدن القناة؟,What is the most popular fruit in The Suez Canal Cities?
2,EG-DIA-03,Education,English (US),في أي سن يبدأ الأطفال الذهاب للحضانة في مدن القناة؟ (يرجي استعمال الأرقام العربية فقط (12 على سبيل المثال) ).,"At what age do kids start nursery in The Suez Canal Cities? (Provide Arabic numerals (e.g., 12) only.)"
3,EG-DIA-04,Holidays/Celebration/Leisure	,English (US) ,ماذا يفعل الناس للاحتفال  بشم النسيم في مدن القناة؟,What do people do to celebrate Easter in The Suez Canal Cities?
4,EG-DIA-05,Holidays/Celebration/Leisure	,English (US),أي نوع من الطعام يرتبط بشم النسيم في مدن القناة؟,What food is associated with Easter in The Suez Canal Cities?
5,EG-DIA-06,Food,Spanish (Spain),ما هو أكثر مكون شائع الاستخدام في النظام الغذائي في مدن القناة؟,What is the most common ingredient used in The Suez Canal Cities's diet?
6,EG-DIA-07,Food,Spanish (Spain),ماذا يأكل الناس في مدن القناة عادة للتحلية بعد الطعام؟,What do people from The Suez Canal Cities usually eat for dessert?
7,EG-DIA-08,Food,Spanish (Spain),ما هو المشروب الساخن الأكثر شعبية في مدن القناة؟,Which is the most popular hot drink in The Suez Canal Cities?
8,EG-DIA-09,Family,Spanish (Spain),ما هو النوع المنتشر (التقليدي) لمنازل العائلات في مدن القناة؟,Which is the typical type of house for a family in The Suez Canal Cities?
9,EG-DIA-10,Family,Spanish (Spain),ما هي الوجهة التي تُختار عادةً لقضاء عطلة عائلية في مدن القناة؟,What  destination is commonly chosen for a family vacation in The Suez Canal Cities?
10,EG-DIA-11,Work life	,Korean (South Korea)	,ما هو أهم منتج تصدره في مدن القناة؟,What is the representative export item of The Suez Canal Cities?
11,EG-DIA-12,Family,Korean (South Korea)	,ما هي الهدية التي تقدمها عند زيارة الوالدين المسنين في مدن القناة؟,What is the common gift you give when visiting elderly parents in The Suez Canal Cities?
12,EG-DIA-13,Education	,Korean (South Korea)	,كيف يذهب طلاب المرحلة الابتدائية إلى المدرسة في مدن القناة؟,How do elementary school students in The Suez Canal Cities go to school?
13,EG-DIA-14,Education	,Korean (South Korea)	,ما هي المنطقة داخل المدينة التي تشهد أكبر اهتمامٍ بالدراسة في مدن القناة؟,Which region (within a city) in The Suez Canal Cities has the highest academic fervor?
14,EG-DIA-15,Sport,Spanish (Spain),ما هي أشهر رياضة تُلعب بدون كرة في مدن القناة؟,What is the most popular sport played without a ball in The Suez Canal Cities?
15,EG-DIA-16,Food,Chinese (China)	,ما هو المشروب الغازي الذي يفضله الناس في مدن القناة؟,What soft drink do people in The Suez Canal Cities like to have?
16,EG-DIA-17,Food,Chinese (China)	,ماهو الحساء الذي يحبه الناس في مدن القناة؟,What kind of soup do people from The Suez Canal Cities like to have?
17,EG-DIA-18,Food,Chinese (China)	,ما هي الأكلات الشعبية التي يحب أهل مدن القناة تناولها؟,What street food do people from The Suez Canal Cities like to eat?
18,EG-DIA-19,Food,Chinese (China)	,ما هي المأكولات البحرية التي يحبها أهل مدن القناة؟,What kind of seafood do people from The Suez Canal Cities like to eat
19,EG-DIA-20,Holidays/Celebration/Leisure,Chinese (China)	,ما هي وسيلة النقل العمومي الأكثر استخداما عند السفر بين المدن في مدن القناة؟,What is the most commonly used public transport by people when travelling between cites in The Suez Canal Cities?
20,EG-DIA-21,Holidays/Celebration/Leisure        ,Chinese (China)	,ما هي النشاطات الترفيهية التي تمارسها النساء في العشرينات عادة في مدن القناة؟,What is the common leisure activity that females in their 20s in The Suez Canal Cities engage in?
21,EG-DIA-22,Holidays/Celebration/Leisure	,Chinese (China)	,ما هي النشاطات الترفيهية التي يمارسها الرجال في العشرينات عادة في مدن القناة؟,What is the common leisure activity that males in their 20s in The Suez Canal Cities engage in?
22,EG-DIA-23,Work life	,Chinese (China)	,ماذا يتغذى الناس خلال أيام العمل عادة في مدن القناة؟,What do people eat for lunch during the working days in The Suez Canal Cities?
23,EG-DIA-24,Work life	,Chinese (China)	,ما هو متوسط  مدة التنقل للعمل في مدن القناة؟,"What is the average commute time (in minutes) for people in The Suez Canal Cities? (Provide Arabic numerals (e.g., 1) only.)"
24,EG-DIA-25,Work life	,Chinese (China)	,ما هي وسيلة النقل للذهاب إلى العمل الأكثر استعمالاً في مدن القناة؟,What is the most common transportation that people take to get to work in The Suez Canal Cities?
25,EG-DIA-26,Food	,Persian (Iran),ما هي الأطعمة التي يعدّها الناس للضيوف في مدن القناة؟,What food do the hosts usually prepare for the guests in The Suez Canal Cities?
26,EG-DIA-27,Food	,Persian (Iran),ما هو المشروب المعتاد في وجبة فطور الصباح في مدن القناة؟,What is the usual drink consumed during breakfast in The Suez Canal Cities?
27,EG-DIA-28,Food	,Persian (Iran),ما هي الأطعمة التي يحضرها الناس عادة لنزهة عائلية في مدن القناة؟,What food is usually prepared for a family picnic in The Suez Canal Cities?
28,EG-DIA-29,Food	,Persian (Iran),ما هو الطعام في مدن القناة الذي قد يعتبره الآخرون مقززًا؟,Which food from The Suez Canal Cities is considered disgusting by the rest of the world?
29,EG-DIA-30,Food	,Persian (Iran),ما هو اسم الخبز الشعبي في مدن القناة؟,What is the name of the popular bread in The Suez Canal Cities?
30,EG-DIA-31,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ماذا يقام عادة قبل الزفاف في مدن القناة؟,What event is usually held before a wedding in The Suez Canal Cities?
31,EG-DIA-32,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ما هي الأنشطة التي تُمارس عادة في الأيام التي تسبق رمضان في مدن القناة؟,What activities are usually done days before Ramadan in The Suez Canal Cities?
32,EG-DIA-33,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ما هو أشهر معلم سياحي للزوار الأجانب في مدن القناة؟,What is the most popular tourist attraction for foreign visitors in The Suez Canal Cities?
33,EG-DIA-34,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ما هي أشهر المواقع الدينية (معبد، كنيسة، إلخ) للسياحة في مدن القناة؟,"What is the most popular religious sites (mosque, church, temple, etc.) for tourism in The Suez Canal Cities?"
34,EG-DIA-35,Food	,Indonesian (Indonesia)	,ما هو المشروب المستهلك بكثرة عندما يكون الطقس باردا في مدن القناة؟,What drink is commonly consumed in The Suez Canal Cities when the weather is cold?
35,EG-DIA-36,Food	,Indonesian (Indonesia)	,ماهو نوع الفواكه الذي يُباع ويُوجد بكثرة خلال شهر رمضان في مدن القناة؟,What fruit is more commonly sold and found during Ramadan in The Suez Canal Cities?
36,EG-DIA-37,Food	,Indonesian (Indonesia)	,ما هي الكربوهيدرات التي تقدم عادة مع الدجاج في مطاعم الوجبات السريعة في مدن القناة؟,What carbohydrate is usually served with chicken in a fast-food restaurant in The Suez Canal Cities?
37,EG-DIA-38,Sport,Indonesian (Indonesia)	,ما هي المرافق الرياضية المتوفرة عادة في مدارس مدن القناة؟,What sports field facilities are usually available at schools in The Suez Canal Cities?
38,EG-DIA-39,Food	,Korean (South Korea),ماهو المشروب الذي يستمتع به أهل مدن القناة عادة في المقاهي؟,What cafe beverage do people from The Suez Canal Cities most commonly enjoy?
39,EG-DIA-40,Food	,Korean (South Korea),ما هو الطعام الذي يطلبه الكثيرون في مدن القناة؟,What is the typical delivery food in The Suez Canal Cities?
40,EG-DIA-41,Food	,Korean (South Korea),ماهو نوع اللحوم الأكثر استهلاكا في مدن القناة؟,What type of meat is consumed most by people from The Suez Canal Cities?
41,EG-DIA-42,Food	,Korean (South Korea),ما هو المشروب الذي يستمتع به أهل مدن القناة عادة في المقاهي؟,What fruit do people from The Suez Canal Cities  often eat in the autumn season?
42,EG-DIA-43,Food	,Korean (South Korea),ما هو الطبق الجانبي الأكثر شيوعاً في مدن القناة؟,What side dish is the most commonly served on a dining table in The Suez Canal Cities?
43,EG-DIA-44,Food	,Korean (South Korea),ماذا يأكل الناس أثناء مشاهدة مباراة كرة قدم في مدن القناة؟,What do people from The Suez Canal Cities eat while watching a football game?
44,EG-DIA-45,Food	,Korean (South Korea),ما هو الطعام المغذي الذي يمثل مدن القناة؟,What is the representative nourishing food in The Suez Canal Cities?
