MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,LowerEgypt,"What is a common snack for preschool kids in Lower Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. apples
B. biscuits
C. chips
D. sliced fruit

Answer:","{
    ""A"": ""apples"",
    ""B"": ""biscuits"",
    ""C"": ""chips"",
    ""D"": ""sliced fruit""
}","{
    ""A"": ""dummy"",
    ""B"": ""LowerEgypt"",
    ""C"": ""Alexandria"",
    ""D"": ""GreaterCairo""
}",B
EG-DIA-03_0,EG-DIA-03,LowerEgypt,"At what age do kids start preschool in Lower Egypt?(use arabic numerals) (e.g., 12) only.) Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 3
B. 3
C. 4
D. 6

Answer:","{
    ""A"": ""3"",
    ""B"": ""3"",
    ""C"": ""4"",
    ""D"": ""6""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""dummy"",
    ""C"": ""LowerEgypt"",
    ""D"": ""dummy""
}",C
EG-DIA-04_0,EG-DIA-04,LowerEgypt,"What do people do to celebrate Easter in Lower Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. attend the rio carnival parade
B. beach
C. they go to public parks
D. watch the macy's thanksgiving day parade

Answer:","{
    ""A"": ""attend the rio carnival parade"",
    ""B"": ""beach"",
    ""C"": ""they go to public parks"",
    ""D"": ""watch the macy's thanksgiving day parade""
}","{
    ""A"": ""dummy"",
    ""B"": ""UpperEgypt"",
    ""C"": ""LowerEgypt"",
    ""D"": ""dummy""
}",C
EG-DIA-05_0,EG-DIA-05,LowerEgypt,"What food is associated with Easter in Lower Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. el-meluah
B. koshari
C. molokhia
D. smoked herring

Answer:","{
    ""A"": ""el-meluah"",
    ""B"": ""koshari"",
    ""C"": ""molokhia"",
    ""D"": ""smoked herring""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",D
EG-DIA-05_1,EG-DIA-05,LowerEgypt,"What food is associated with Easter in Lower Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. el-meluah
B. fesikh
C. koshari
D. molokhia

Answer:","{
    ""A"": ""el-meluah"",
    ""B"": ""fesikh"",
    ""C"": ""koshari"",
    ""D"": ""molokhia""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""LowerEgypt"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-07_0,EG-DIA-07,LowerEgypt,"What do people from Lower Egypt usually eat for dessert? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. baklava
B. basbousa
C. kunafa
D. kunafa

Answer:","{
    ""A"": ""baklava"",
    ""B"": ""basbousa"",
    ""C"": ""kunafa"",
    ""D"": ""kunafa""
}","{
    ""A"": ""dummy"",
    ""B"": ""LowerEgypt"",
    ""C"": ""Alexandria"",
    ""D"": ""dummy""
}",B
EG-DIA-08_0,EG-DIA-08,LowerEgypt,"Which is the most popular hot drink in Lower Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. coffee
B. hibiscus tea
C. sahlab
D. tea

Answer:","{
    ""A"": ""coffee"",
    ""B"": ""hibiscus tea"",
    ""C"": ""sahlab"",
    ""D"": ""tea""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",D
EG-DIA-09_0,EG-DIA-09,LowerEgypt,"Which is the typical type of house for a family in Lower Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. family home
B. houseboat
C. residential building
D. villa

Answer:","{
    ""A"": ""family home"",
    ""B"": ""houseboat"",
    ""C"": ""residential building"",
    ""D"": ""villa""
}","{
    ""A"": ""LowerEgypt"",
    ""B"": ""dummy"",
    ""C"": ""UpperEgypt"",
    ""D"": ""dummy""
}",A
EG-DIA-12_0,EG-DIA-12,LowerEgypt,"What is the common gift you give when visiting elderly parents in Lower Egypt? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. biscuits
B. chocolates
C. flowers
D. traditional eastern sweets

Answer:","{
    ""A"": ""biscuits"",
    ""B"": ""chocolates"",
    ""C"": ""flowers"",
    ""D"": ""traditional eastern sweets""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""LowerEgypt""
}",D
EG-DIA-13_0,EG-DIA-13,LowerEgypt,"How do elementary school students in Lower Egypt go to school? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bicycle
B. metro
C. microbus
D. on foot

Answer:","{
    ""A"": ""bicycle"",
    ""B"": ""metro"",
    ""C"": ""microbus"",
    ""D"": ""on foot""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""Alexandria"",
    ""D"": ""LowerEgypt""
}",D
