MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,Sinai,"ماذا يأكل الأطفال كوجبة خفيفة في الحضانة في سيناء؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الفشار
B. الفواكهه القطع
C. الكرواسون
D. شيبسي

الإجابة:","{
    ""A"": ""الفشار"",
    ""B"": ""الفواكهه القطع"",
    ""C"": ""الكرواسون"",
    ""D"": ""شيبسي""
}","{
    ""A"": ""dummy"",
    ""B"": ""GreaterCairo"",
    ""C"": ""dummy"",
    ""D"": ""Sinai""
}",D
EG-DIA-03_0,EG-DIA-03,Sinai,"في أي سن يبدأ الأطفال الذهاب للحضانة في سيناء؟ (يرجي استعمال الأرقام العربية فقط (12 على سبيل المثال) ). من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. 3
B. 4
C. 5
D. 7

الإجابة:","{
    ""A"": ""3"",
    ""B"": ""4"",
    ""C"": ""5"",
    ""D"": ""7""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""Sinai"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-04_0,EG-DIA-04,Sinai,"ماذا يفعل الناس للاحتفال  بشم النسيم في سيناء؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الذهاب إلى الحدائق العامة
B. زيارة الأهرامات
C. علي البحر
D. كورنيش القاهره

الإجابة:","{
    ""A"": ""الذهاب إلى الحدائق العامة"",
    ""B"": ""زيارة الأهرامات"",
    ""C"": ""علي البحر"",
    ""D"": ""كورنيش القاهره""
}","{
    ""A"": ""LowerEgypt"",
    ""B"": ""dummy"",
    ""C"": ""Sinai"",
    ""D"": ""GreaterCairo""
}",C
EG-DIA-05_0,EG-DIA-05,Sinai,"أي نوع من الطعام يرتبط بشم النسيم في سيناء؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. السمك ملح
B. الكشري
C. الملوخية
D. المندي

الإجابة:","{
    ""A"": ""السمك ملح"",
    ""B"": ""الكشري"",
    ""C"": ""الملوخية"",
    ""D"": ""المندي""
}","{
    ""A"": ""Sinai"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",A
EG-DIA-06_0,EG-DIA-06,Sinai,"ما هو أكثر مكون شائع الاستخدام في النظام الغذائي في سيناء؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. الذرة
B. الملح
C. بصل
D. طماطم

الإجابة:","{
    ""A"": ""الذرة"",
    ""B"": ""الملح"",
    ""C"": ""بصل"",
    ""D"": ""طماطم""
}","{
    ""A"": ""dummy"",
    ""B"": ""GreaterCairo"",
    ""C"": ""LowerEgypt"",
    ""D"": ""Sinai""
}",D
EG-DIA-07_0,EG-DIA-07,Sinai,"ماذا يأكل الناس في سيناء عادة للتحلية بعد الطعام؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. أم علي
B. بسبوسة
C. كنافة
D. كنافة نابلسية

الإجابة:","{
    ""A"": ""أم علي"",
    ""B"": ""بسبوسة"",
    ""C"": ""كنافة"",
    ""D"": ""كنافة نابلسية""
}","{
    ""A"": ""dummy"",
    ""B"": ""Sinai"",
    ""C"": ""Alexandria"",
    ""D"": ""dummy""
}",B
EG-DIA-08_0,EG-DIA-08,Sinai,"ما هو المشروب الساخن الأكثر شعبية في سيناء؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. السحلب
B. المتة
C. الهوت شوكليت
D. شاى

الإجابة:","{
    ""A"": ""السحلب"",
    ""B"": ""المتة"",
    ""C"": ""الهوت شوكليت"",
    ""D"": ""شاى""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""Sinai""
}",D
EG-DIA-09_0,EG-DIA-09,Sinai,"ما هو النوع المنتشر (التقليدي) لمنازل العائلات في سيناء؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. ايجار
B. شاليه
C. عماره
D. فيلا

الإجابة:","{
    ""A"": ""ايجار"",
    ""B"": ""شاليه"",
    ""C"": ""عماره"",
    ""D"": ""فيلا""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""dummy"",
    ""C"": ""Sinai"",
    ""D"": ""dummy""
}",C
EG-DIA-10_0,EG-DIA-10,Sinai,"ما هي الوجهة التي تُختار عادةً لقضاء عطلة عائلية في سيناء؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسوان
B. الاسكندريه
C. البحر
D. الغردقه

الإجابة:","{
    ""A"": ""اسوان"",
    ""B"": ""الاسكندريه"",
    ""C"": ""البحر"",
    ""D"": ""الغردقه""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""LowerEgypt"",
    ""C"": ""Sinai"",
    ""D"": ""GreaterCairo""
}",C
EG-DIA-11_0,EG-DIA-11,Sinai,"ما هو أهم منتج تصدره في سيناء؟ من دون أي شرح، اختر حرفًا واحدًا فقط من الخيارات التالية (مثل A أو B أو C). قدّم الإجابة بصيغة JSON بالشكل الآتي: {""answer_choice"":""""}

A. اسماك
B. البترول
C. الزيت الزيتون
D. المانجا

الإجابة:","{
    ""A"": ""اسماك"",
    ""B"": ""البترول"",
    ""C"": ""الزيت الزيتون"",
    ""D"": ""المانجا""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""GreaterCairo"",
    ""C"": ""Sinai"",
    ""D"": ""TheSuezCanalCities""
}",C
