MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,TheSuezCanalCities,"ايه اكتر سناكس  بيحبو اطفال مدن القناة  ف الحضانه؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. الفواكهه القطع
B. بسكوت
C. سوشي رولز
D. كيك المولتن

الإجابة:","{
    ""A"": ""الفواكهه القطع"",
    ""B"": ""بسكوت"",
    ""C"": ""سوشي رولز"",
    ""D"": ""كيك المولتن""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""TheSuezCanalCities"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-03_0,EG-DIA-03,TheSuezCanalCities,"علي كام سنه بيدخل الطفل الحضانه في مدن القناة؟(استخدم رقم مثلا 12) من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. 2
B. 3
C. 4
D. 6

الإجابة:","{
    ""A"": ""2"",
    ""B"": ""3"",
    ""C"": ""4"",
    ""D"": ""6""
}","{
    ""A"": ""dummy"",
    ""B"": ""GreaterCairo"",
    ""C"": ""TheSuezCanalCities"",
    ""D"": ""dummy""
}",C
EG-DIA-04_0,EG-DIA-04,TheSuezCanalCities,"ازاي الناس بتحتفل بشم النسيم في مدن القناة؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. البحر
B. الذهاب إلى الحدائق العامة
C. بياكلو فسيخ
D. كورنيش القاهره

الإجابة:","{
    ""A"": ""البحر"",
    ""B"": ""الذهاب إلى الحدائق العامة"",
    ""C"": ""بياكلو فسيخ"",
    ""D"": ""كورنيش القاهره""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""LowerEgypt"",
    ""C"": ""Alexandria"",
    ""D"": ""GreaterCairo""
}",A
EG-DIA-05_0,EG-DIA-05,TheSuezCanalCities,"ايه الاكله اللي ليها علاقه بشم النسيم في مدن القناة؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. الفسيخ
B. الكشري
C. الملوخية
D. المندي

الإجابة:","{
    ""A"": ""الفسيخ"",
    ""B"": ""الكشري"",
    ""C"": ""الملوخية"",
    ""D"": ""المندي""
}","{
    ""A"": ""TheSuezCanalCities"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",A
EG-DIA-06_0,EG-DIA-06,TheSuezCanalCities,"ايه اكتر مكون بيستخدم فالاكل في مدن القناة؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. البطاطس
B. الطماطم
C. بصل
D. توابل

الإجابة:","{
    ""A"": ""البطاطس"",
    ""B"": ""الطماطم"",
    ""C"": ""بصل"",
    ""D"": ""توابل""
}","{
    ""A"": ""dummy"",
    ""B"": ""TheSuezCanalCities"",
    ""C"": ""LowerEgypt"",
    ""D"": ""Alexandria""
}",B
EG-DIA-07_0,EG-DIA-07,TheSuezCanalCities,"اية الحلوي اللي بياكلوها بعد الاكل في مدن القناة؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. أم علي
B. بسبوسة
C. زلابية
D. لقمة القاضي

الإجابة:","{
    ""A"": ""أم علي"",
    ""B"": ""بسبوسة"",
    ""C"": ""زلابية"",
    ""D"": ""لقمة القاضي""
}","{
    ""A"": ""dummy"",
    ""B"": ""TheSuezCanalCities"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-08_0,EG-DIA-08,TheSuezCanalCities,"اشهر مشروب ساخن في مدن القناة؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. سحلب
B. شاي
C. قهوة تركية
D. ينسون

الإجابة:","{
    ""A"": ""سحلب"",
    ""B"": ""شاي"",
    ""C"": ""قهوة تركية"",
    ""D"": ""ينسون""
}","{
    ""A"": ""dummy"",
    ""B"": ""TheSuezCanalCities"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-09_0,EG-DIA-09,TheSuezCanalCities,"إيه نوع البيت المعتاد للعيلة في مدن القناة؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. البيت الكبير
B. ايجار
C. بيت العيله
D. عماره

الإجابة:","{
    ""A"": ""البيت الكبير"",
    ""B"": ""ايجار"",
    ""C"": ""بيت العيله"",
    ""D"": ""عماره""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""Alexandria"",
    ""C"": ""LowerEgypt"",
    ""D"": ""TheSuezCanalCities""
}",D
EG-DIA-10_0,EG-DIA-10,TheSuezCanalCities,"ايه الاماكن المشهوره اللي العيله في مدن القناة بتروحها للمصيف؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. اسوان
B. الاسكندريه
C. البحر
D. الغردقه

الإجابة:","{
    ""A"": ""اسوان"",
    ""B"": ""الاسكندريه"",
    ""C"": ""البحر"",
    ""D"": ""الغردقه""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""LowerEgypt"",
    ""C"": ""TheSuezCanalCities"",
    ""D"": ""GreaterCairo""
}",C
EG-DIA-11_0,EG-DIA-11,TheSuezCanalCities,"ايه السلعه  المشهوره بيها مدن القناة للتصدير؟ من غير أي شرح، اختار حرف واحد بس من الاختيارات اللي جاية (زي A أو B أو C). اكتب الإجابة بصيغة JSON بالشكل ده: {""answer_choice"":""""}

A. اسماك
B. البترول
C. المانجا
D. المنسوجات

الإجابة:","{
    ""A"": ""اسماك"",
    ""B"": ""البترول"",
    ""C"": ""المانجا"",
    ""D"": ""المنسوجات""
}","{
    ""A"": ""Alexandria"",
    ""B"": ""GreaterCairo"",
    ""C"": ""TheSuezCanalCities"",
    ""D"": ""LowerEgypt""
}",C
