,ID,Topic,Source,Question,Translation
0,EG-DIA-01,Food,English (US),ماذا يأكل الأطفال كوجبة خفيفة في الحضانة في القاهرة الكبرى؟,What is a common snack for preschool kids in Greater Cairo?
1,EG-DIA-02,Food,English (US),ما هي الفاكهة الأكثر شعبية في القاهرة الكبرى؟,What is the most popular fruit in Greater Cairo?
2,EG-DIA-03,Education,English (US),في أي سن يبدأ الأطفال الذهاب للحضانة في القاهرة الكبرى؟ (يرجي استعمال الأرقام العربية فقط (12 على سبيل المثال) ).,"At what age do kids start nursery in Greater Cairo? (Provide Arabic numerals (e.g., 12) only.)"
3,EG-DIA-04,Holidays/Celebration/Leisure	,English (US) ,ماذا يفعل الناس للاحتفال  بشم النسيم في القاهرة الكبرى؟,What do people do to celebrate Easter in Greater Cairo?
4,EG-DIA-05,Holidays/Celebration/Leisure	,English (US),أي نوع من الطعام يرتبط بشم النسيم في القاهرة الكبرى؟,What food is associated with Easter in Greater Cairo?
5,EG-DIA-06,Food,Spanish (Spain),ما هو أكثر مكون شائع الاستخدام في النظام الغذائي في القاهرة الكبرى؟,What is the most common ingredient used in Greater Cairo's diet?
6,EG-DIA-07,Food,Spanish (Spain),ماذا يأكل الناس في القاهرة الكبرى عادة للتحلية بعد الطعام؟,What do people from Greater Cairo usually eat for dessert?
7,EG-DIA-08,Food,Spanish (Spain),ما هو المشروب الساخن الأكثر شعبية في القاهرة الكبرى؟,Which is the most popular hot drink in Greater Cairo?
8,EG-DIA-09,Family,Spanish (Spain),ما هو النوع المنتشر (التقليدي) لمنازل العائلات في القاهرة الكبرى؟,Which is the typical type of house for a family in Greater Cairo?
9,EG-DIA-10,Family,Spanish (Spain),ما هي الوجهة التي تُختار عادةً لقضاء عطلة عائلية في القاهرة الكبرى؟,What  destination is commonly chosen for a family vacation in Greater Cairo?
10,EG-DIA-11,Work life	,Korean (South Korea)	,ما هو أهم منتج تصدره في القاهرة الكبرى؟,What is the representative export item of Greater Cairo?
11,EG-DIA-12,Family,Korean (South Korea)	,ما هي الهدية التي تقدمها عند زيارة الوالدين المسنين في القاهرة الكبرى؟,What is the common gift you give when visiting elderly parents in Greater Cairo?
12,EG-DIA-13,Education	,Korean (South Korea)	,كيف يذهب طلاب المرحلة الابتدائية إلى المدرسة في القاهرة الكبرى؟,How do elementary school students in Greater Cairo go to school?
