MCQID,ID,country,prompt,choices,choice_countries,answer_idx
EG-DIA-01_0,EG-DIA-01,GreaterCairo,"What is a common snack for preschool kids in Greater Cairo? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. peanut butter sandwich
B. popcorn
C. sliced fruit
D. yogurt

Answer:","{
    ""A"": ""peanut butter sandwich"",
    ""B"": ""popcorn"",
    ""C"": ""sliced fruit"",
    ""D"": ""yogurt""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""GreaterCairo"",
    ""D"": ""dummy""
}",C
EG-DIA-03_0,EG-DIA-03,GreaterCairo,"At what age do kids start preschool in Greater Cairo?(use arabic numerals) (e.g., 12) only.) Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 2
B. 4
C. 5
D. 6

Answer:","{
    ""A"": ""2"",
    ""B"": ""4"",
    ""C"": ""5"",
    ""D"": ""6""
}","{
    ""A"": ""dummy"",
    ""B"": ""GreaterCairo"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-04_0,EG-DIA-04,GreaterCairo,"What do people do to celebrate Easter in Greater Cairo? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. beach
B. shopping at khan el-khalili
C. they go to Cairo corniche
D. visiting the pyramids of giza

Answer:","{
    ""A"": ""beach"",
    ""B"": ""shopping at khan el-khalili"",
    ""C"": ""they go to Cairo corniche"",
    ""D"": ""visiting the pyramids of giza""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""dummy"",
    ""C"": ""GreaterCairo"",
    ""D"": ""dummy""
}",C
EG-DIA-05_0,EG-DIA-05,GreaterCairo,"What food is associated with Easter in Greater Cairo? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. el-meluah
B. fesikh
C. koshari
D. molokhia

Answer:","{
    ""A"": ""el-meluah"",
    ""B"": ""fesikh"",
    ""C"": ""koshari"",
    ""D"": ""molokhia""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""GreaterCairo"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-07_0,EG-DIA-07,GreaterCairo,"What do people from Greater Cairo usually eat for dessert? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. baklava
B. basbousa
C. qatayef
D. rice pudding

Answer:","{
    ""A"": ""baklava"",
    ""B"": ""basbousa"",
    ""C"": ""qatayef"",
    ""D"": ""rice pudding""
}","{
    ""A"": ""dummy"",
    ""B"": ""GreaterCairo"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-08_0,EG-DIA-08,GreaterCairo,"Which is the most popular hot drink in Greater Cairo? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. coffee
B. hibiscus tea
C. sahlab
D. tea

Answer:","{
    ""A"": ""coffee"",
    ""B"": ""hibiscus tea"",
    ""C"": ""sahlab"",
    ""D"": ""tea""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""dummy"",
    ""D"": ""GreaterCairo""
}",D
EG-DIA-09_0,EG-DIA-09,GreaterCairo,"Which is the typical type of house for a family in Greater Cairo? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bungalow
B. family home
C. stilt house
D. yurt

Answer:","{
    ""A"": ""bungalow"",
    ""B"": ""family home"",
    ""C"": ""stilt house"",
    ""D"": ""yurt""
}","{
    ""A"": ""dummy"",
    ""B"": ""GreaterCairo"",
    ""C"": ""dummy"",
    ""D"": ""dummy""
}",B
EG-DIA-12_0,EG-DIA-12,GreaterCairo,"What is the common gift you give when visiting elderly parents in Greater Cairo? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. chocolates
B. flowers
C. fruit
D. traditional eastern sweets

Answer:","{
    ""A"": ""chocolates"",
    ""B"": ""flowers"",
    ""C"": ""fruit"",
    ""D"": ""traditional eastern sweets""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""GreaterCairo"",
    ""D"": ""LowerEgypt""
}",C
EG-DIA-13_0,EG-DIA-13,GreaterCairo,"How do elementary school students in Greater Cairo go to school? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. metro
B. minibus
C. on foot
D. private car

Answer:","{
    ""A"": ""metro"",
    ""B"": ""minibus"",
    ""C"": ""on foot"",
    ""D"": ""private car""
}","{
    ""A"": ""dummy"",
    ""B"": ""dummy"",
    ""C"": ""GreaterCairo"",
    ""D"": ""dummy""
}",C
EG-DIA-14_0,EG-DIA-14,GreaterCairo,"Which region (within a city) in Greater Cairo has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. aswan
B. cairo
C. el-arish
D. tanta

Answer:","{
    ""A"": ""aswan"",
    ""B"": ""cairo"",
    ""C"": ""el-arish"",
    ""D"": ""tanta""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""GreaterCairo"",
    ""C"": ""Sinai"",
    ""D"": ""LowerEgypt""
}",B
EG-DIA-14_1,EG-DIA-14,GreaterCairo,"Which region (within a city) in Greater Cairo has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. cairo
B. el-arish
C. port said
D. tanta

Answer:","{
    ""A"": ""cairo"",
    ""B"": ""el-arish"",
    ""C"": ""port said"",
    ""D"": ""tanta""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""Sinai"",
    ""C"": ""TheSuezCanalCities"",
    ""D"": ""LowerEgypt""
}",A
EG-DIA-14_2,EG-DIA-14,GreaterCairo,"Which region (within a city) in Greater Cairo has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. cairo
B. el-arish
C. moharam bek
D. tanta

Answer:","{
    ""A"": ""cairo"",
    ""B"": ""el-arish"",
    ""C"": ""moharam bek"",
    ""D"": ""tanta""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""Sinai"",
    ""C"": ""Alexandria"",
    ""D"": ""LowerEgypt""
}",A
EG-DIA-14_3,EG-DIA-14,GreaterCairo,"Which region (within a city) in Greater Cairo has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. aswan
B. cairo
C. port said
D. tanta

Answer:","{
    ""A"": ""aswan"",
    ""B"": ""cairo"",
    ""C"": ""port said"",
    ""D"": ""tanta""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""GreaterCairo"",
    ""C"": ""TheSuezCanalCities"",
    ""D"": ""LowerEgypt""
}",B
EG-DIA-14_4,EG-DIA-14,GreaterCairo,"Which region (within a city) in Greater Cairo has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. aswan
B. cairo
C. moharam bek
D. tanta

Answer:","{
    ""A"": ""aswan"",
    ""B"": ""cairo"",
    ""C"": ""moharam bek"",
    ""D"": ""tanta""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""GreaterCairo"",
    ""C"": ""Alexandria"",
    ""D"": ""LowerEgypt""
}",B
EG-DIA-14_5,EG-DIA-14,GreaterCairo,"Which region (within a city) in Greater Cairo has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. cairo
B. moharam bek
C. port said
D. tanta

Answer:","{
    ""A"": ""cairo"",
    ""B"": ""moharam bek"",
    ""C"": ""port said"",
    ""D"": ""tanta""
}","{
    ""A"": ""GreaterCairo"",
    ""B"": ""Alexandria"",
    ""C"": ""TheSuezCanalCities"",
    ""D"": ""LowerEgypt""
}",A
EG-DIA-14_6,EG-DIA-14,GreaterCairo,"Which region (within a city) in Greater Cairo has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. aswan
B. cairo
C. el-arish
D. port said

Answer:","{
    ""A"": ""aswan"",
    ""B"": ""cairo"",
    ""C"": ""el-arish"",
    ""D"": ""port said""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""GreaterCairo"",
    ""C"": ""Sinai"",
    ""D"": ""TheSuezCanalCities""
}",B
EG-DIA-14_7,EG-DIA-14,GreaterCairo,"Which region (within a city) in Greater Cairo has the highest academic fervor? Without any explanation, choose only one from the given alphabet choices (e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. aswan
B. cairo
C. el-arish
D. moharam bek

Answer:","{
    ""A"": ""aswan"",
    ""B"": ""cairo"",
    ""C"": ""el-arish"",
    ""D"": ""moharam bek""
}","{
    ""A"": ""UpperEgypt"",
    ""B"": ""GreaterCairo"",
    ""C"": ""Sinai"",
    ""D"": ""Alexandria""
}",B
