Culturally irrelevant: questions hold no meaning in Egyptian culture.,,,,,
1,Al-en-02,Food,English (US),What is a popular food to go with beer in Egypt?,
3,Al-en-06,Food,English (US),What is a common school cafeteria food in Egypt?,
11,Al-en-32,Holidays/Celebration/Leisure        ,English (US),What is the main dish for Thanksgiving in Egypt?,
12,Al-en-33,Holidays/Celebration/Leisure	,English (US),What do people do to celebrate Halloween in Egypt?,
15,Al-en-36,Holidays/Celebration/Leisure	,English (US),What food is associated with Halloween in Egypt?,
17,Al-en-38,Holidays/Celebration/Leisure	,English (US),What food is associated with Valentine's day in Egypt?,
35,Ca-sp-19,Holidays/Celebration/Leisure,Spanish (Spain),What do young people from Egypt usually drink at the night club?,
37,Ca-sp-29,Holidays/Celebration/Leisure,Spanish (Spain),What tradition is there in Egypt for New Year's Eve?,
66,Ji-ko-19,Family,Korean (South Korea)	,What is Egypt's most commonly given flower on Parents' Day?,
70,Ji-ko-26,Family,Korean (South Korea)	,What are the key milestones associated with children's independence from their parents in Egypt's society?,
73,Ji-ko-29,Family,Korean (South Korea)	,Which age's birthday is celebrated the most grandly in Egypt's society?,
86,Ji-ko-45,Education	,Korean (South Korea)	,What do people look forward to the most at university festivals in Egypt?,
139,Kik-in-02	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,What are the common activities people from Egypt do to celebrate Independence day?,
140,Kik-in-04	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,What is installed in front of the house when a family member dies in Egypt?,
141,Kik-in-05	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,When is a pregnancy celebration or ceremony usually held in Egypt?,
143,Kik-in-07	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,What is usually shared to the children during (Lunar) New Year in Egypt?,
162,Na-ko-04	,Food	,Korean (South Korea),What is the preferred hangover cure food for people from Egypt?,
177,Na-ko-25,Sport,Korean (South Korea),What are the typical sports played in Egypt's school sports day?,
182,Na-ko-33	,Holidays/Celebration/Leisure        ,Korean (South Korea),What symbolic food do people from Egypt eat on (Lunar) New Year?,
189,Na-ko-43	,Holidays/Celebration/Leisure        ,Korean (South Korea),What do people do in Egypt in the morning of the (Lunar) New Year?,
196,Ne-ar-11	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,Where do people from Egypt go to celebrate New Year's Day?,
222,New-am-53	,Work life	,Amharic (Ethiopia)	,Which region in Egypt is widely known for its coffee/tea industry?,
299,New-ch-84	,Holidays/Celebration/Leisure	,Chinese (China),What color of clothing do people typically wear when attending weddings in Egypt?,
344,New-gr-88	,Holidays/Celebration/Leisure	,Greek (Greece)	,What drink is usually offered at funerals in Egypt?,
373,New-pe-16	,Sport,Persian (Iran)	,What is the most famous traditional sport in Egypt?,
376,New-pe-47	,Family,Persian (Iran)	,"When is Student's Day celebrated in Egypt? (Provide in MM/DD format (e.g., 12/31).)",
389,New-spme-01	,Food	,Spanish (Mexico)	,What edible insect is eaten most often in Egypt?,
396,New-spme-65	,Family	,Spanish (Mexico)	,What is the most popular way to celebrate Independence Day in Egypt?,
398,New-spme-76	,Holidays/Celebration/Leisure	,Spanish (Mexico)	,What is the most popular place in Egypt to celebrate Independence Day?,
411,New-su-45	,Education,Sundanese (West Java,"What date is Education Day celebrated in Egypt? (Provide in MM/DD format (e.g., 12/31).)",
439,Ni-en-37	,Holidays/Celebration/Leisure	,English (UK)	,What is the name of the day of the year where people in Egypt celebrate love and romance?,
468,Ta-pe-37	,Holidays/Celebration/Leisure	,Persian (Iran)	,What is the common symbol of New Year's Eve that is usually found in Egypt?,
469,Ta-pe-42	,Holidays/Celebration/Leisure	,Persian (Iran)	,What food do people from Egypt usually eat on New Year's Eve?,
470,Ta-pe-45	,Holidays/Celebration/Leisure	,Persian (Iran)	,What is usually eaten during the celebration of the longest night of the year in Egypt?,
13,Al-en-34,Holidays/Celebration/Leisure	,English (US),What do people do to celebrate New Year's Day in Egypt?,
58,Ji-ko-02,Work life	,Korean (South Korea)	,What day of the week do people in Egypt prefer to have company dinners?,
62,Ji-ko-09,Work life	,Korean (South Korea)	,What do people typically eat during company get-together in Egypt?,
334,New-gr-08	,Food,Greek (Greece)	,What type of alcoholic drink is most commonly consumed at festivals in Egypt?,
485,Th-en-37	,Family,English (US)	,"At what age do children typically become independent from their parents in Egypt? (Provide Arabic numerals (e.g., 12) only.)",
65,Ji-ko-16,Family,Korean (South Korea)	,Where do mothers stay for a certain period after childbirth for recovery in Egypt?,
103,Jod-ch-06,Food,Chinese (China)	,What is the most popular traditional alcohol in Egypt?,
246,New-az-05,Food,Azerbaijani (Azerbaijan)	,What is the most famous region for alcohol production in Egypt?,
255,New-az-69	,Holidays/Celebration/Leisure	,Azerbaijani (Azerbaijan)	,What is the preferred alcoholic beverage for men from Egypt?,
256,New-az-70	,Holidays/Celebration/Leisure	,Azerbaijani (Azerbaijan)	,What is the preferred alcoholic beverage for women from Egypt?,
262,New-ch-07	,Food,Chinese (China),What food items do people typically pair with hard liquor in Egypt?,
299,New-ch-84	,Holidays/Celebration/Leisure	,Chinese (China),What color of clothing do people typically wear when attending weddings in Egypt?,
403,New-su-15	,Food,Sundanese (West Java,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Set by government: responses are fixed by governmental policies.,,,,,
22,An-ar-03,Education,Arabic (Algeria),Which month is the final exam term usually scheduled at high schools in Egypt?Provide Arabic numerals (1~12) only.),
23,An-ar-08,Education,Arabic (Algeria),"How many hours a day do students in Egypt usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)",
24,An-ar-09,Education,Arabic (Algeria),"How many languages do students study at high school in Egypt? (Provide Arabic numerals (e.g., 5) only.)",you get 3 in total
40,Ca-sp-42,Family,Spanish (Spain),"How long (in weeks) is Egypt's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)",
41,Ca-sp-43,Family,Spanish (Spain),"How long (in weeks) is Egypt's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)",
52,Gu-ch-31,Education,Chinese (China)	,"What is the duration of elementary school in years in Egypt?(Provide Arabic numerals (e.g., 12) only.)",
53,Gu-ch-32,Education,Chinese (China)	,"What is the duration of compulsory education in years in Egypt? (Provide Arabic numerals (e.g., 12) only.)",
54,Gu-ch-33,Education,Chinese (China)	,"From which age do students start learning their second language in Egypt? (Provide Arabic numerals (e.g., 12) only.)",
55,Gu-ch-38,Education,Chinese (China)	,"What is the duration of undergraduate education in Egypt?(Provide Arabic numerals (e.g., 12) only.)",
221,New-am-41	,Education,Amharic (Ethiopia)	,"In Egypt, at which grade level do students take their first national-level examination?",
292,New-ch-75	,Education,Chinese (China),"How long is each class period for middle school students in Egypt (minutes)? (Provide Arabic numerals (e.g., 1) only.)",
92,Jo-sp-18,Work life,Spanish (Spain),"How many holiday days per year does a standard worker gets in Egypt? (Provide Arabic numerals (e.g., 12) only.)",
325,New-en-70	,Education	,English (UK)	,"How many school breaks are there in a year for high schools in Egypt? (Provide Arabic numerals (e.g., 1) only.)",
327,New-en-75	,Education	,English (UK)	,"What is the average length of a semester in terms of weeks of teaching at universities in Egypt? (Provide Arabic numerals (e.g., 1) only.)",
97,Jo-sp-36,Education	,Spanish (Spain),"How long (in weeks) are summer vacations at elementary schools in Egypt? (Provide in Arabic numerals (e.g., 7, 8) only.)",
98,Jo-sp-37,Education	,Spanish (Spain),"How long (in weeks) are summer vacations at universities in Egypt? (Provide in Arabic numerals (e.g., 7, 8) only.",
99,Jo-sp-39,Education	,Spanish (Spain),"At what age does elementary education begin in Egypt? (Provide in Arabic numerals (e.g., 7, 8) only.",
100,Jo-sp-43,Education	,Spanish (Spain),"How many languages are studied in elementary education besides Egypt's official language? (Provide in Arabic numerals (e.g., 7, 8) only.",
121,Jod-ch-56	,Work life	,Chinese (China)	,"What is the typical retirement age for women in Egypt?  (Provide Arabic numerals (e.g., 12) only.)",
122,Jod-ch-57	,Work life	,Chinese (China)	,"What is the typical retirement age for men in Egypt?  (Provide Arabic numerals (e.g., 12) only.)",
136,Ki-pe-51	,Work life	,Persian (Iran),"What time of day are government offices closed in Egypt? (Provide in HH:MM format (e.g., 18:00, 09:00).)",
129,Ki-pe-30	,Education,Persian (Iran),What days of the week are schools closed in Egypt?,
137,Ki-pe-53	,Work life	,Persian (Iran),"What is the normal start time of government offices in Egypt? (Provide in HH:MM format (e.g., 18:00, 09:00).)",
428,Ni-en-06	,Education	,English (UK)	,"From what age do people need to attend compulsory education in Egypt? (Provide Arabic numerals (e.g., 12) only.)",
429,Ni-en-09	,Education	,English (UK)	,How many days a week do children attend school in Egypt? (Provide Arabic numerals (0~7) only.),
430,Ni-en-11	,Education	,English (UK)	,"In Egypt, how long (in years) does a Master's degree typically take to complete? (Provide Arabic numerals (e.g., 12) only.)",
437,Ni-en-21	,Work life	,English (UK)	,"From what age is an individual allowed to work in Egypt? (Provide Arabic numerals (e.g., 12) only.)",
442,Nu-in-05	,Education	,Indonesian (Indonesia)	,In which month does the new school year typically begin in Egypt? (Provide Arabic numerals (1~12) only.),
198,Ne-ar-16	,Work life,Arabic (Algeria)	,"When is the weekend in Egypt (e.g. Monday, Tuesday)?",
61,Ji-ko-08,Work life	,Korean (South Korea)	,"What is the maximum number of hours one can work per week in Egypt? (Provide Arabic numerals (e.g., 12) only.)",
120,Jod-ch-54	,Work life	,Chinese (China)	,"How long (in days) is the marriage leave in Egypt? (Provide Arabic numerals (e.g., 12) only.)",
433,Ni-en-15	,Education	,English (UK)	,"At what age do children in Egypt generally start middle school? (Provide Arabic numerals (e.g., 12) only.)",
441,Nu-in-04	,Education	,Indonesian (Indonesia)	,"How many semesters are there each academic year at high schools in Egypt? (Provide in Arabic numerals (e.g., 7, 8) only.)",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No regional variation: responses are expected to be uniform across all regions.,,,,,
84,Ji-ko-42,Education	,Korean (South Korea)	,What are the required subjects in Egypt's university entrance exam?,
95,Jo-sp-31,Education	,Spanish (Spain),"What time do high school students tend to leave school in Egypt? (Provide in HH:MM format (e.g., 18:00, 09:00).)",
138,Kik-in-01	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,What national holiday has the longest duration in Egypt?,
18,Al-en-39,Holidays/Celebration/Leisure	,English (US),What do people eat on their birthday in Egypt?,no particlular food gets eaten only cake as its already really exoensive
340,New-gr-47	,Work life	,Greek (Greece)	,"How long (in minutes) are typical work breaks in Egypt, excluding lunch and dinner breaks? (Provide Arabic numerals (e.g., 1) only.)",
375,New-pe-45	,Work life,Persian (Iran)	,What is the usual work schedule during the month of Ramadan in Egypt?,
27,An-ar-36,Sport,Arabic (Algeria),What is the most popular sport team in Egypt?,
